
ＡＲＳ
シールド防御(解説),                サムは障害物に身を隠して攻撃を防いだ！
ミニガン(攻撃),                    ガトリング Hand\EFFECT_RocketPunch(Black)01.bmp 32
ミニガン(命中),                    ガトリング
拡散ミサイル(準備),                ロケットパンチ 黒
拡散ミサイル(攻撃),                小型ミサイルランチャー Hand\EFFECT_RocketPunch(Black)01.bmp 32
拡散ミサイル(命中),                連続爆発
小型ミサイル(準備),                射撃武器 Shield\EFFECT_SFShield03.bmp 32
小型ミサイル(攻撃),                ホーミングミサイル
小型ミサイル(命中),                ホーミングミサイル
ハンドビット(準備),                ロケットパンチ 黒
ハンドビット(攻撃),                ロケットパンチ 黒
ハンドビット(命中),                点打 黒
ロケットランチャー(準備),          射撃武器 Shield\EFFECT_SFShield03.bmp 32
ロケットランチャー(攻撃),          大キャノン砲
ロケットランチャー(命中),          大爆発


海兵隊(ＶＡＮＱＵＩＳＨ)
格闘,                              格闘
手榴弾,                            手榴弾
アサルトライフル,                  マシンガン
スナイパーライフル,                長筒 Weapon\EFFECT_SniperRifle01.bmp 48
ロケットランチャー,                バズーカ


アルゴス(ＶＡＮＱＵＩＳＨ)
機関砲,                            内蔵ガトリング
踏み潰し,                          飛びかかり
機雷,                              ＭＡＰグレネード
対人ビーム砲,                      ２連光弾 青
小型ミサイル,                      小型ミサイル 6
主砲,                              大キャノン砲

アルゴス(人型形態)(ＶＡＮＱＵＩＳＨ)
機関砲,                            内蔵ガトリング
小型レーザー(攻撃),                持続ビーム 橙
小型レーザー(命中),                爆発
機雷,                              ＭＡＰグレネード
小型ミサイル,                      小型ミサイル 6
中型クラスターミサイル(攻撃),      ミサイル
中型クラスターミサイル(命中),      連続爆発
大型ミサイル(攻撃),                回転斬撃;スーパーミサイル 6
大型ミサイル(命中),                連続大爆発
超大型レーザー砲,                  ＭＡＰビーム 橙


バザード(飛行形態)
ガトリング砲,                      内蔵ガトリング
機雷,                              ＭＡＰグレネード
小型レーザー(攻撃),                持続ビーム 橙
小型レーザー(命中),                爆発
拡散ミサイル,                      ホーミングミサイル

バザード(陸上形態)
ジェットブラスト(攻撃),            ＭＡＰフラッシュ 青 Storm.wav
ジェットブラスト(命中),            炎
アーム,                            両手ロケットパンチ
ガトリング砲,                      内蔵ガトリング
機雷,                              ＭＡＰグレネード
小型レーザー(攻撃),                持続ビーム 橙
小型レーザー(命中),                爆発
拡散ミサイル,                      ホーミングミサイル
レーザーキャノン砲,                大ビーム 橙


アンノウン(ＶＡＮＱＵＩＳＨ)
アサルトライフル,                  マシンガン;マシンガン Weapon\EFFECT_Rifle02.bmp 40;マシンガン Weapon\EFFECT_Rifle03.bmp 40
レーザー,                          全拡散ビーム 赤
ロケットランチャー,                キャノン砲 4
喰い付き(攻撃),                    スーパーパンチ 赤
喰い付き(命中),                    噛み付き;連突;超斬撃


クリスタルヴァイパー(ＶＡＮＱＵＩＳＨ)
分身(光学迷彩),                    緊急テレポート 別名=光学迷彩
トラクタービーム,                  リングビーム
電撃,                              ２連ショックビーム 青
電磁ブレード,                      ビームソード 青
切断(準備),                        ビームソード 青
切断(攻撃),                        横大斬撃 青
切断(命中),                        超斬撃
切断(とどめ),                      横分割
スパーク,                          光球 青


ボギー(ＶＡＮＱＵＩＳＨ)
エネルギー機雷(攻撃),              光子魚雷 黄;ＭＡＰフラッシュ 黄
エネルギー機雷(命中),              放電
クラスター爆弾,                    手榴弾
大型ブレード,                      大剣
ビームライフル,                    ビームライフル 青 Weapon\EFFECT_BeamLauncher01.bmp 40
ビームライフル連射,                レーザーマシンガン 青 Weapon\EFFECT_BeamLauncher01.bmp 40
ホーミングレーザー(準備),          粒子集中 青
ホーミングレーザー(攻撃),          拡散ビーム 青
ホーミングレーザー(命中),          ホーミングレーザー 青
収束レーザー(準備),                粒子集中 青
収束レーザー(攻撃),                超ビーム 青
収束レーザー(命中),                超ビーム 青


ＶＡＮＱＵＩＳＨ
機銃,                              機関砲
レールガン,                        レールキャノン
アサルトライフル,                  マシンガン Weapon\EFFECT_NewSubMachineGun01.bmp 40
大型銃剣,                          斬撃
手榴弾,                            手榴弾
ロケットランチャー,                バズーカ
ミサイルランチャー,                ホーミングミサイル
ショットガン,                      ショットガン Weapon\EFFECT_SFLauncher01.bmp 40
大型スナイパーライフル,            ビームライフル 緑 Weapon\EFFECT_AntiTankRifle01.bmp 64
クロー,                            打突
速射ビーム砲,                      ２連光弾 橙
小型レーザー(攻撃),                持続ビーム 橙
小型レーザー(命中),                爆発
大型ランチャー,                    キャノン砲
小型ミサイル,                      小型ミサイル 4
腕部ガトリング砲(準備),            振る武器 Weapon\EFFECT_Gatling01.bmp 48 二刀流
腕部ガトリング砲(攻撃),            ガトリング;ガトリング
腕部ガトリング砲(命中),            ガトリング
巡航追尾ミサイル,                  スーパーミサイル
クラブ型ハンマー,                  メイス
火炎放射器,                        火炎放射器
ロケットドリル,                    ドリルミサイル 遅
ドリル(準備),                      ドリル
ドリル(攻撃),                      ドリル突撃
ドリル(命中),                      ドリル
ビーム砲,                          中ビーム 橙
銃座,                              マシンキャノン
飛行銃座,                          内蔵ガトリング
ビーム砲(モア)(攻撃),              光弾 紫
ビーム砲(モア)(命中),              爆発
対人レーザー(攻撃),                持続ビーム 橙
対人レーザー(命中),                爆発
主砲,                              大キャノン砲
大型円形ノコギリ(攻撃),            スーパーパンチ 黒 Drill(2).wav
大型円形ノコギリ(命中),            超斬撃 黒 Drill(2).wav
自爆,                              超自爆
自爆(小),                          自爆
ミニガン,                          ガトリング
ミサイル,                          ミサイル 2
ローターブレード,                  ビームローター 白
シールド防御(ローターブレード),    ビームシールド 白
小型ガトリング,                    内蔵ガトリング
高速回転,                          スーパータックル 白
クロー(バイア),                    爪撃 二刀流
散弾銃,                            ベアリング
シザース,                          甲殻鋏 赤
大型アックス内蔵機関砲(準備),      射撃武器 Weapon\EFFECT_FireSpear01.bmp 64
大型アックス内蔵機関砲(攻撃),      ヘビーマシンガン Weapon\EFFECT_FireSpear01.bmp 64
大型アックス内蔵機関砲(命中),      ヘビーマシンガン
大型アックス(準備),                射撃武器 Weapon\EFFECT_FireSpear01.bmp 64
大型アックス(攻撃),                大斬撃
大型アックス(命中),                大斬撃
ビット(攻撃),                      ６ＷＡＹ射出
ビット(命中),                      包囲ビーム 緑
アサルトライフル(サム),            サブマシンガン Weapon\EFFECT_NewAssaultRifle01.bmp 40
搭乗部隊,                          バルカン
対空カノン砲,                      キャノン砲
大型ミサイル,                      スーパーミサイル
大型ビーム砲,                      超ビーム
