

タクティクスオウガ
ミニマムダガー(準備), ナイフ
プレイハーネラ(準備), 六芒星 黄 EvilEye.wav
プレイハーネラ(使用), 光柱 Sharara.wav
プレイゾショネル(準備), 六芒星 赤 EvilEye.wav
プレイゾショネル(使用),光柱 Sharara.wav
プレイバーサ(準備), 六芒星 緑 EvilEye.wav
プレイバーサ(使用), 光柱 Sharara.wav
プレイグルーザ(準備), 六芒星 青 EvilEye.wav
プレイグルーザ(使用), 光柱 Sharara.wav
スターティアラ(準備), 六芒星 白 EvilEye.wav
スターティアラ(攻撃), ＭＡＰ発光 白 Stab.wav
スターティアラ(命中), 発光 白
スーパーノヴァ(準備), 六芒星 赤 EvilEye.wav
スーパーノヴァ(攻撃), ＭＡＰ爆発
スーパーノヴァ(命中), 爆発
アースクェイク(準備), 六芒星 緑 EvilEye.wav
アースクェイク(攻撃), ＭＡＰ地震
アースクェイク(命中), 煙 Shock(Low).wav
アイスレクイエム(準備), 六芒星 青 EvilEye.wav
アイスレクイエム(攻撃), ＭＡＰ凍結
アイスレクイエム(命中), 凍結
エアリエルクライ(準備), 六芒星 黄 EvilEye.wav
エアリエルクライ(攻撃), ＭＡＰ強風
エアリエルクライ(命中), 強風 Storm.wav
デッドスクリーム(準備), 六芒星 黒 EvilEye.wav
デッドスクリーム(攻撃), ＭＡＰダークネス
デッドスクリーム(命中), 飛沫 黒
ヒーリング(準備), 六芒星 白 EvilEye.wav
ヒーリング(使用), 回復魔法 白 Sharara.wav
ヒーリングプラス(準備), 六芒星 白 EvilEye.wav
ヒーリングプラス(使用), 回復魔法 白 Sharara.wav
ヒーリングオール(準備), 六芒星 白 EvilEye.wav
ヒーリングオール(使用), 回復魔法 白 Sharara.wav
クリアランス(準備), 六芒星 白 EvilEye.wav
クリアランス(使用), 回復魔法泡 白 Sharara.wav
ライトニングボウ(準備), 六芒星 白 EvilEye.wav
ライトニングボウ(攻撃), 光球 白
ライトニングボウ(命中), 煙 白 Breath.wav
イクソシズム(準備), 六芒星 白 EvilEye.wav
イクソシズム(攻撃), ＭＡＰ発光 白 Stab.wav
イクソシズム(命中), 光噴出 白
スタンスローター(準備), 六芒星 赤 EvilEye.wav
スタンスローター(命中), 飛沫 赤
テレポート(準備), 六芒星 黄 EvilEye.wav
テレポート(使用), 光噴出 黄 Stab.wav
ヒートウェポン(準備), 六芒星 赤 EvilEye.wav
ヒートウェポン(使用), 光噴出 赤 Stab.wav
パラダイム(準備), 六芒星 黒 EvilEye.wav
パラダイム(使用), 時間逆行 黒
チャージスペル(準備), 六芒星 黒 EvilEye.wav
チャージスペル(命中), 粒子集中 黒
ポイズンクラウド(準備), 六芒星 緑 EvilEye.wav
ポイズンクラウド(命中), 煙 Shock(Low).wav
マーシーレイン(準備), 六芒星 青 EvilEye.wav
マーシーレイン(使用), 泡 Sharara.wav
ペトロクラウド(準備), 六芒星 緑 EvilEye.wav
ペトロクラウド(命中), 煙 Shock(Low).wav
チャーム(準備), 六芒星 黒 EvilEye.wav
チャーム(命中), 六芒星 黒
クイックムーブ(準備), 六芒星 黄 EvilEye.wav
クイックムーブ(使用), 時間 黄 Stab.wav
サモンダークネス(準備), 六芒星 黒 EvilEye.wav
サモンダークネス(使用), 発光 黒 Stab.wav
アポカリプス(準備), エストック
アポカリプス(攻撃), 気斬 黒
アポカリプス(命中), 粒子噴射 黒
フレイミングデス(準備), スピア
フレイミングデス(攻撃), スピア突撃
フレイミングデス(命中), 大刺突
ライアットバーン(準備), ソード
ライアットバーン(攻撃), 円月殺法 赤
ライアットバーン(命中), 炎斬撃
デスアベンジャー(準備), ハンマー
デスアベンジャー(攻撃), 白兵乱撃
デスアベンジャー(命中), 乱打
フローヴェノム(準備), ソード
フローヴェノム(攻撃), 斬撃
フローヴェノム(命中), 凍斬撃
サンダーブレイド(準備), クロー
サンダーブレイド(攻撃), 地表衝撃波 黄 Whiz.wav
サンダーブレイド(命中), 球電
デーモンローズ(準備), 鞭
デーモンローズ(攻撃), 斬撃
デーモンローズ(命中), 黒斬撃
ブラックプリズン(準備), 片刃斧
ブラックプリズン(攻撃), 振り下ろし
ブラックプリズン(命中), 大斬撃
ライフフォース(攻撃), 光球 黒
ライフフォース(命中), 吸収 黒
トニトルス(準備), 六芒星 黄 EvilEye.wav
トニトルス(攻撃), ＭＡＰ強風
トニトルス(命中), 強風 Storm.wav
ディールプティオ(準備), 六芒星 赤 EvilEye.wav
ディールプティオ(攻撃), ＭＡＰ爆発
ディールプティオ(命中), 爆発
ポンドゥス(準備), 六芒星 緑 EvilEye.wav
ポンドゥス(攻撃), ＭＡＰ地震
ポンドゥス(命中), 煙 Shock(Low).wav
コンゲラーティオ(準備), 六芒星 青 EvilEye.wav
コンゲラーティオ(攻撃), ＭＡＰ凍結
コンゲラーティオ(命中), 凍結
ラディウス(準備), 六芒星 白 EvilEye.wav
ラディウス(攻撃), ＭＡＰフラッシュ
ラディウス(命中), 発光 白
ウンブラ(準備), 六芒星 黒 EvilEye.wav
ウンブラ(攻撃), ＭＡＰダークネス
ウンブラ(命中), 発光 黒
ファイアーブレス(攻撃), 火炎放射 赤 Breath.wav
ファイアーブレス(命中), 煙 緑 Breath.wav
コールドブレス(攻撃), 火炎放射 青 Breath.wav
コールドブレス(命中), 煙 青 Breath.wav
ポイズンブレス(攻撃), 火炎放射 緑 Breath.wav
ポイズンブレス(命中), 煙 緑 Breath.wav
サンダーブレス(攻撃), 火炎放射 黄 Breath.wav
サンダーブレス(命中), 煙 黄 Breath.wav
トキシックブレス(攻撃), 火炎放射 ブラック Breath.wav
トキシックブレス(命中), 煙 黒 Breath.wav
ペトロブレス(攻撃), 火炎放射 ブラック Breath.wav
ペトロブレス(命中), 煙 黒 Breath.wav
プリティキッス(攻撃), 文字ビーム Chu! 桃 Sharara.wav
プリティキッス(命中), 粒子集中 桃 Sharara.wav
ディープキッス(攻撃), 文字ビーム Chu! 桃 Sharara.wav
ディープキッス(命中), 粒子集中 桃 Sharara.wav
アビス(攻撃), 光打ち下ろし 黒
アビス(命中), 吸収 黒
マジックミサイル(準備), 魔法集中 白
マジックミサイル(攻撃), 光球 白
マジックミサイル(命中), 煙 白 Breath.wav
殴打(攻撃), 格闘
殴打(命中), 乱打
邪眼(攻撃), ＭＡＰフラッシュ
邪眼(命中), 煙 黒 Breath.wav
地竜精(攻撃), 地表衝撃波 青 Whiz.wav
地竜精(命中), 石柱
ブルースパイラル(攻撃), 地表衝撃波 青 Whiz.wav
ブルースパイラル(命中), 煙 青 Breath.wav
メイルシュトロム(攻撃), 光球 青
メイルシュトロム(命中), 津波
クリムゾンノート(準備), 魔法集中 赤
クリムゾンノート(攻撃), 光球 赤
クリムゾンノート(命中), 爆発

汎用
ロンパルディア(ＴＯ)(準備), ソード
ロンパルディア(ＴＯ)(攻撃), 斬撃 Slash.wav
ロンパルディア(ＴＯ)(命中), 斬撃 Slash.wav
# ↑識別子を追加した上で、「タクティクスオウガ」分類から移動してきました。
ブリュンヒルド(ＴＯ)(準備), ハイパービームサーベル ホワイト
ブリュンヒルド(ＴＯ)(攻撃), 斬撃 Slash.wav
ブリュンヒルド(ＴＯ)(命中), 斬撃 Slash.wav
オウガブレード(ＴＯ)(準備), ハイパービームサーベル ブラック
オウガブレード(ＴＯ)(攻撃), 斬撃 Slash.wav
オウガブレード(ＴＯ)(命中), 斬撃 Slash.wav
風のオーブ(ＴＯ)(攻撃), ＭＡＰ強風
風のオーブ(ＴＯ)(命中), 強風 Storm.wav
炎のオーブ(ＴＯ)(攻撃), ＭＡＰ爆発
炎のオーブ(ＴＯ)(命中), 爆発
大地のオーブ(ＴＯ)(攻撃), ＭＡＰ地震
大地のオーブ(ＴＯ)(命中), 煙 Shock(Low).wav
水のオーブ(ＴＯ)(攻撃), ＭＡＰ凍結
水のオーブ(ＴＯ)(命中), 凍結
光のオーブ(ＴＯ)(攻撃), ＭＡＰフラッシュ
光のオーブ(ＴＯ)(命中), 発光 白
闇のオーブ(ＴＯ)(攻撃), ＭＡＰダークネス
闇のオーブ(ＴＯ)(命中), 発光 黒
神鳴明王剣(攻撃), 斬撃 Slash.wav
神鳴明王剣(命中), 斬撃 AntiShipMissile.wav
双魔邪王剣(攻撃), 斬撃 Slash.wav
双魔邪王剣(命中), 斬撃 Crash.wav
鬼哭血散斬(攻撃), 斬撃 Slash.wav
鬼哭血散斬(命中), 斬撃 Bazooka.wav
天聖雷妙波(攻撃), 球電
天聖雷妙波(命中), 放電
怒号魔破拳(攻撃), 気弾
怒号魔破拳(命中), 飛沫 MultipleRocketLauncher.wav
覇王獄炎波(攻撃), 火炎弾
覇王獄炎波(命中), 炎
波動次元斬(攻撃), 斬撃 Slash.wav
波動次元斬(命中), 斬撃 Shock(Low).wav
風裂天破斬(攻撃), 斬撃 Slash.wav
風裂天破斬(命中), 斬撃 Storm.wav
月花地霊斬(攻撃), 斬撃 Slash.wav
月花地霊斬(命中), 斬撃 Fold.wav
竜牙烈風剣(攻撃), 斬撃 Slash.wav
竜牙烈風剣(命中), 斬撃 AntiAirMissile.wav
アニヒレーション(ＴＯ)(準備), 六芒星 紫 EvilEye.wav
アニヒレーション(ＴＯ)(攻撃), ＭＡＰ大爆発
アニヒレーション(ＴＯ)(命中), 爆発
ホワイトミュート(ＴＯ)(準備), 六芒星 紫 EvilEye.wav
ホワイトミュート(ＴＯ)(攻撃), ＭＡＰ吹雪
ホワイトミュート(ＴＯ)(命中), 凍結
テンペスト(ＴＯ)(準備), 六芒星 紫 EvilEye.wav
テンペスト(ＴＯ)(攻撃), ＭＡＰ落雷
テンペスト(ＴＯ)(命中), 球電
メテオストライク(ＴＯ)(準備), 六芒星 紫 Flair.wav
メテオストライク(ＴＯ)(攻撃), 隕石
メテオストライク(ＴＯ)(命中), 煙
ドミニオン(ＴＯ)(準備), 六芒星 紫 Flair.wav
ドミニオン(ＴＯ)(攻撃), ＭＡＰダークネス
ドミニオン(ＴＯ)(命中), 時間逆行
