ＦＦＴ
####### 固有ジョブスキル #######
叫ぶ(使用), オーラ上昇 赤 Charge.wav
処理する(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav;ホーミングレーザー 青
処理する(命中), ホーミングレーザー 青;連続爆発 3;大爆発
粉砕する, ドリル
パラサイト(攻撃), オーラ上昇 黒 Search.wav
パラサイト(命中), -
ディファレンス(攻撃), 魔法放射 黒 BeamSaber.wav
ディファレンス(命中), 炎 黒 LaserGun.wav
ショック(攻撃), @戦闘アニメ_放電準備;魔法放射 橙 -.wav
ショック(命中), 大放電 橙
エナジール(使用), 発光 黒 Whiz.wav
エナジール(発動), 光噴出 黒 Sharara.wav
###### ＮＰＣ専用スキル ######
マバリア(使用), 魔法放射 白 Whiz.wav
マバリア(発動), -
デスペナ(使用), 魔法放射 白 Whiz.wav
デスペナ(発動), 回復魔法泡
マジックルーイン(攻撃), 斬撃;魔法放射 白 -.wav
マジックルーイン(命中), -
マジックルーイン(クリティカル), 魔法陣 白 -.wav;飛沫 白 Glass.wav
スピードルーイン(攻撃), 斬撃;魔法放射 緑 -.wav
スピードルーイン(命中), 光噴出 緑 -.wav;飛沫 緑 Glass.wav
マインドルーイン(攻撃), 斬撃;魔法放射 青 -.wav
マインドルーイン(命中), 魔法集中 青 -.wav;放電
パワールーイン(攻撃), 斬撃;魔法放射 赤 -.wav
パワールーイン(命中), 魔法集中 赤 -.wav;飛沫 赤 Glass.wav
星天停止(攻撃), 魔法放射 青 BeamSaber.wav;ＭＡＰオーラ 青 Interference.wav
星天停止(命中), -
ゾンビー(攻撃), 魔法放射 黒 BeamSaber.wav
ゾンビー(命中), -
ゾンビー(クリティカル), オーラ上昇 黒 Fold.wav
###### 敵専用スキル ######
ドンアク(攻撃), 魔法放射 赤 BeamSaber.wav
ドンアク(命中), -
スリプル(攻撃), 魔法放射 白 BeamSaber.wav
スリプル(命中), -
コンフュ(攻撃), 魔法放射 白 BeamSaber.wav
コンフュ(命中), -
ドレイン(攻撃), 魔法放射 赤 BeamSaber.wav
ドレイン(命中), 吸収 赤
吸血(攻撃), タックル
吸血(命中), 噛み付き;オーラ上昇 赤 Bubble.wav
影縫い(攻撃), 発光 黒 EvilEye.wav
影縫い(命中), -
誘惑(攻撃), 発光 桃 EvilEye.wav
誘惑(命中), -
封印(仕手)(攻撃), 発光 白 EvilEye.wav
封印(仕手)(命中), -
息根止(攻撃), 発光 黒 EvilEye.wav
息根止(命中), -
モスフングスの毒玉(攻撃), 投擲武器 Anime\Magic\EFFECT_MCircle(Green)01.bmp 16 Whiz.wav
モスフングスの毒玉(命中), オーラ上昇 緑 Chaff.wav
悪夢(攻撃), オーラ上昇 黒 BeamSaber.wav
悪夢(命中), -
鶏走(攻撃), オーラ上昇 黒 FlyBy(High).wav
鶏走(命中), -
悪寒(攻撃), オーラ上昇 黒 Wind.wav
悪寒(命中), -
失声(攻撃), オーラ上昇 黒 Search.wav
失声(命中), -
封印(攻撃), オーラ上昇 黒 EvilEye.wav
封印(命中), -
喪失(攻撃), オーラ上昇 黒 Jet.wav
喪失(命中), -
呪縛(攻撃), オーラ上昇 黒 Wind.wav
呪縛(命中), -
暗黒(攻撃), オーラ上昇 黒 Fold.wav
暗黒(命中), -
バイオ(攻撃), 魔法放射 緑 BeamSaber.wav
バイオ(命中), オーラ上昇 緑 Search.wav
バイオラ(攻撃), 魔法放射 緑 BeamSaber.wav
バイオラ(命中), 煙 緑 Search.wav
バイオガ(攻撃), 魔法放射 緑 BeamSaber.wav;ＭＡＰ煙 緑
バイオガ(命中), 炎 緑 BeamSaber.wav
トードジャ(準備), 粒子集中 緑 Whiz.wav
トードジャ(攻撃), 魔法放射 緑 BeamSaber.wav;ＭＡＰ光噴出 緑 PiyoPiyo.wav
トードジャ(命中), -
スリプジャ(準備), 粒子集中 白 Whiz.wav
スリプジャ(攻撃), 魔法放射 白 BeamSaber.wav;ＭＡＰ煙 白 Wind.wav
スリプジャ(命中), -
コンフジャ(準備), 粒子集中 白 Whiz.wav
コンフジャ(攻撃), 魔法放射 白 BeamSaber.wav;ＭＡＰ発光 白 BeamCoat.wav
コンフジャ(命中), -
ブライジャ(準備), 粒子集中 黒 Whiz.wav
ブライジャ(攻撃), 魔法放射 黒 BeamSaber.wav;ＭＡＰ煙 黒 Fold.wav
ブライジャ(命中), -
グラビジャ(準備), 粒子集中 黒 Whiz.wav
グラビジャ(攻撃), 魔法放射 黒 BeamSaber.wav
グラビジャ(命中), -
グラビジャ(クリティカル), 魔法集中 黒 大 Earthquake.wav;@戦闘アニメ_重力圧縮命中 Earthquake.wav;Null.wav
フレアジャ(準備), 粒子集中 橙 Whiz.wav
フレアジャ(攻撃), 魔法放射 橙 BeamSaber.wav
フレアジャ(命中), 周囲回転 Anime\Common\EFFECT_Particle(Orange)01.bmp Breath.wav 3;粒子集中 橙 -.wav;発光 橙 -.wav;2;連続大爆発 3 Breath.wav;超爆発
クエイク(攻撃), 魔法放射 橙 BeamSaber.wav;ＭＡＰ地震 Earthquake.wav
クエイク(命中), 石柱;ダメージ Crash.wav
トルネド(攻撃), 魔法放射 橙 BeamSaber.wav;竜巻 Storm.wav
トルネド(命中), 竜巻 Storm.wav
メルトン(攻撃), 魔法放射 赤 BeamSaber.wav
メルトン(命中), オーラ 赤 Breath.wav;超爆発 -.wav
毒カエル(攻撃), @戦闘アニメ_発光準備 赤
毒カエル(命中), -
へびつかい, 触手 緑
ミドガルズオルム(攻撃), 魔法放射 黒 BeamSaber.wav;2;浮上アップ FFT_MidgardsormrU.bmp 黒
ミドガルズオルム(命中), ホーミングレーザー 黒
クロススラッシュ, 斬撃 二刀流
グランドクロス(準備), 光噴出 黒 -.wav 
グランドクロス(攻撃), 魔法放射 黒 BeamSaber.wav;2;ＭＡＰダークネス Search.wav
グランドクロス(命中), -
リタンジャ(攻撃), 魔法放射 桃 BeamSaber.wav
リタンジャ(命中), -
デスペジャ(攻撃), 魔法放射 青 BeamSaber.wav
デスペジャ(命中), -
ミュート(攻撃), 魔法放射 青 BeamSaber.wav;2;ＭＡＰ光噴出 青 BeamCoat.wav
ミュート(命中), -
アルテマ(攻撃), 魔法放射 青 BeamSaber.wav
アルテマ(命中), 魔法放射 青 大 Charge(High).wav;飛沫 青 -.wav
完全アルテマ(準備), 光噴出 青 -.wav
完全アルテマ(攻撃), 魔法放射 青 BeamSaber.wav;2;ＭＡＰオーラ 青 Interference.wav
完全アルテマ(命中), 魔法放射 青 Inori.wav;魔法放射 青 Inori.wav;飛沫 青 Inori.wav
ライフブレイク(攻撃), 魔法放射 黒 BeamSaber.wav
ライフブレイク(命中), 大放電 黒
ダークホーリー(攻撃), 魔法放射 黒 BeamSaber.wav
ダークホーリー(命中), 周囲回転 Anime\Common\EFFECT_Particle(Black)01.bmp Charge(High).wav 3;粒子集中 黒 -.wav;2;魔法放射 黒 大 Explode(Far).wav
ナノフレア(攻撃), 魔法放射 黒 BeamSaber.wav;ＭＡＰブラックホール 黒 Charge(High).wav;ＭＡＰ大爆発 Explode(Nuclear).wav
ナノフレア(命中), 超爆発 -.wav
###### 汎用ジョブスキル #######
投石, 石
体当たり(攻撃), タックル
体当たり(命中), ダメージ Punch.wav
ためる, 粒子集中 赤 Charge.wav
まじゅう使い, -
まじゅう使い(発動), オーラ上昇 赤
防御, -
防御(発動), シールド防御 Anime\Shield\EFFECT_Shield01.bmp 32 Sword.wav - "　"
手当て, 回復魔法
ポーション(準備), 薬品 白
ポーション(使用), -
ポーション(発動), 回復魔法
ハイポーション(準備), 薬品 白
ハイポーション(使用), -
ハイポーション(発動), 回復魔法
毒消し(準備), 薬品 緑
毒消し(使用), -
毒消し(発動), 回復魔法泡
万能薬(準備), フラスコ
万能薬(使用), -
万能薬(発動), 回復魔法泡
フェニックスの尾投げ(攻撃), 投擲武器 Anime\Common\EFFECT_Feather01.bmp 対象ユニットＩＤ
フェニックスの尾投げ(命中), -
フェニックスの尾投げ(クリティカル), @ＳＰアニメ_祈り 対象ユニットＩＤ 相手ユニットＩＤ
ポーション投げ(使用), @戦闘アニメ_薬品攻撃 白 対象ユニットＩＤ
ポーション投げ(発動), 回復魔法
ハイポーション投げ(使用), @戦闘アニメ_薬品攻撃 白 対象ユニットＩＤ
ハイポーション投げ(発動), 回復魔法
エクスポーション投げ(使用), @戦闘アニメ_薬品攻撃 白 対象ユニットＩＤ
エクスポーション投げ(発動), 回復魔法
エーテル投げ(使用), @戦闘アニメ_薬品攻撃 赤 対象ユニットＩＤ
エーテル投げ(発動), 回復魔法
エリクサー投げ(使用), @戦闘アニメ_薬品攻撃 青 対象ユニットＩＤ
エリクサー投げ(発動), @ＳＰアニメ_ド根性 相手ユニットＩＤ
毒消し投げ(使用), @戦闘アニメ_薬品攻撃 緑 対象ユニットＩＤ
毒消し投げ(発動), 回復魔法泡
乙女のキッス投げ(使用), @戦闘アニメ_薬品攻撃 緑 対象ユニットＩＤ
乙女のキッス投げ(発動), 回復魔法泡
聖水投げ(使用), @戦闘アニメ_聖水攻撃 対象ユニットＩＤ
聖水投げ(発動), 回復魔法泡
万能薬投げ(使用), @戦闘アニメ_フラスコ攻撃 対象ユニットＩＤ
万能薬投げ(発動), 回復魔法泡
自動反撃(オートポーション), @戦闘アニメ_薬品準備 白 相手ユニットＩＤ
オートポーション, -
オートポーション(命中), @戦闘アニメ_回復魔法発動 相手ユニットＩＤ
ウェポンブレイク(攻撃), 斬撃
ウェポンブレイク(命中), 斬撃;ダメージ Crash.wav
シールドブレイク(攻撃), 斬撃
シールドブレイク(命中), 斬撃;ダメージ Crash.wav
アーマーブレイク(攻撃), 斬撃
アーマーブレイク(命中), 斬撃;ダメージ Crash.wav
アーマーブレイク(自動弓), クロスボウ
アーマーブレイク(自動弓)(命中), ダメージ Crash.wav
ヘッドブレイク(攻撃), 斬撃
ヘッドブレイク(命中), 爆撃 Crash.wav;ダメージ -.wav
ヘッドブレイク(自動弓), クロスボウ
ヘッドブレイク(自動弓)(命中), ダメージ Crash.wav
パワーブレイク(攻撃), 斬撃
パワーブレイク(命中), 斬撃;飛沫 赤 -.wav
マインドブレイク(攻撃), 斬撃
マインドブレイク(命中), 斬撃;放電 -.wav
マジックブレイク(攻撃), 斬撃
マジックブレイク(命中), -
マジックブレイク(クリティカル), 魔法陣 白 -.wav;飛沫 白 -.wav
マジックブレイク二刀流(攻撃), 斬撃
マジックブレイク二刀流(命中), -
マジックブレイク二刀流(クリティカル), 魔法陣 白 -.wav;飛沫 白 -.wav
スピードブレイク(攻撃), 斬撃
スピードブレイク(命中), 斬撃;飛沫 緑 -.wav
スピードブレイク二刀流(攻撃), 斬撃
スピードブレイク二刀流(命中), 斬撃;飛沫 緑 -.wav
チャージ＋１, 弓矢
チャージ＋１(命中), 刺突;ダメージ -.wav
チャージ＋４(準備), 弓
チャージ＋４(攻撃), 実弾発射 Anime\Bullet\EFFECT_Arrow01.bmp Bow.wav 速
チャージ＋４(命中), 大刺突;ダメージ -.wav
チャージ＋20(準備), 弓
チャージ＋20(攻撃), @ＳＰアニメ_必中 対象ユニットＩＤ;2;打ち上げ Anime\Bullet\EFFECT_Arrow01.bmp Bow.wav;打ち下ろし Anime\Bullet\EFFECT_Arrow01.bmp -.wav
チャージ＋20(命中), 爆撃 Stab.wav
チャージ＋20(敵)(準備), 弓
チャージ＋20(敵)(攻撃), @ＳＰアニメ_必中 対象ユニットＩＤ;2;打ち上げ Anime\Bullet\EFFECT_Arrow01.bmp Bow.wav;打ち下ろし Anime\Bullet\EFFECT_Arrow01.bmp -.wav
チャージ＋20(敵)(命中), 爆撃 Stab.wav
秘孔拳(攻撃), 打突
秘孔拳(命中), 打撃;ダメージ Inori.wav
裏回し拳(攻撃), なぎ払い
裏回し拳(命中), 強打 Punch.wav
カウンター(攻撃), 打突
カウンター(命中), 強打 Bazooka.wav
ハメドる(攻撃), 振る武器突撃 -.bmp
ハメドる(命中), 強打 Bazooka.wav
波動撃(攻撃), 打突;実弾発射 Anime\Bullet\EFFECT_AuraBall01.bmp Whiz.wav
波動撃(命中), 飛沫 青 Punch.wav
連続拳(攻撃), 連打
連続拳(命中), 連打 Bazooka.wav
地烈斬(攻撃), 振り下ろし;ＭＡＰ石柱 Gunpod.wav
地烈斬(命中), ダメージ Punch.wav
チャクラ(使用), 粒子集中 青 Charge.wav
チャクラ(発動), 発光 青 -.wav
気孔術(使用), 粒子集中 青 Charge.wav
気孔術(発動), 回復魔法泡
ホーリー(攻撃), 魔法放射 白 BeamSaber.wav
ホーリー(命中), 周囲回転 Anime\Common\EFFECT_Particle(Blue)01.bmp Charge(High).wav 3;粒子集中 青 -.wav;2;光柱 Explode(Far).wav
ケアル(使用), 魔法放射 白 Whiz.wav
ケアル(発動), 回復魔法
ケアルラ(使用), 魔法放射 白 Whiz.wav
ケアルラ(発動), 粒子集中 白 Whiz.wav;回復魔法
ケアルガ(使用), 魔法放射 白 Whiz.wav
ケアルガ(発動), 光噴出 白 FlyBy(High).wav;回復魔法
ケアルジャ(使用), 魔法放射 白 Whiz.wav;@戦闘アニメ_ＭＡＰ発光攻撃 白 Evileye.wav
ケアルジャ(発動), 回復魔法
エスナ(使用), 魔法放射 白 Whiz.wav
エスナ(発動), 回復魔法泡
リジェネ(使用), 魔法放射 白 Whiz.wav
リジェネ(発動), 発光 白 Sharara.wav
プロテス(使用), 魔法放射 白 Whiz.wav
プロテス(発動), 粒子集中 橙;決め画像 Anime\Magic\EFFECT_MCircle(Orange)01.bmp Sword.wav
プロテジャ(使用), 魔法放射 白 Whiz.wav
プロテジャ(発動), 粒子集中 橙;決め画像 Anime\Magic\EFFECT_MCircle(Orange)01.bmp Sword.wav
シェル(使用), 魔法放射 白 Whiz.wav
シェル(発動), 粒子集中 緑;決め画像 Anime\Magic\EFFECT_MCircle(Green)01.bmp Sword.wav
シェルジャ(使用), 魔法放射 白 Whiz.wav
シェルジャ(発動), 粒子集中 緑;決め画像 Anime\Magic\EFFECT_MCircle(Green)01.bmp Sword.wav
ウォール(使用), 魔法放射 白 Whiz.wav
ウォール(発動), 結界 白 Sword.wav "　"
ファイア(攻撃), 魔法放射 赤 BeamSaber.wav
ファイア(命中), 爆発 Fire.wav
ファイラ(攻撃), 魔法放射 赤 BeamSaber.wav
ファイラ(命中), 爆発;炎 赤 Fire.wav
ファイガ(攻撃), 魔法放射 赤 BeamSaber.wav
ファイガ(命中), 連続爆発 3 Breath.wav;光噴出 赤 -.wav
ファイジャ(準備), 粒子集中 赤 Whiz.wav
ファイジャ(攻撃), 魔法放射 赤 BeamSaber.wav
ファイジャ(命中), 光噴出 赤 Breath.wav;オーラ上昇 赤 -.wav;連続大爆発 3
サンダー(攻撃), 魔法放射 黄 BeamSaber.wav
サンダー(命中), 粒子集中 黄 Thunder.wav;放電 -.wav
サンダラ(攻撃), 魔法放射 黄 BeamSaber.wav
サンダラ(命中), 粒子集中 黄 -.wav;@戦闘アニメ_落雷攻撃 黄 Thunder.wav
サンダガ(攻撃), 魔法放射 黄 BeamSaber.wav
サンダガ(命中), 粒子集中 黄 -.wav;大電撃
サンダジャ(準備), 粒子集中 黄 Whiz.wav
サンダジャ(攻撃), 魔法放射 黄 BeamSaber.wav
サンダジャ(命中), 大放電 黄;粒子集中 黄 -.wav;@戦闘アニメ_落雷攻撃 黄 Thunder.wav
ブリザド(攻撃), 魔法放射 青 BeamSaber.wav
ブリザド(命中), つらら
ブリザラ(攻撃), 魔法放射 青 BeamSaber.wav
ブリザラ(命中), 粒子集中 白 -.wav;氷柱 Ice.wav
ブリザガ(攻撃), 魔法放射 青 BeamSaber.wav
ブリザガ(命中), 吹雪 Storm.wav;凍結 Ice.wav;2;飛沫 白 Glass.wav
ブリザジャ(準備), 粒子集中 青 Whiz.wav
ブリザジャ(攻撃), 魔法放射 青 BeamSaber.wav
ブリザジャ(命中), 旋風 白 Storm.wav;魔法集中 白 -.wav;飛沫 白 Glass.wav;飛沫 白 Glass.wav
フレア(攻撃), 魔法放射 橙 BeamSaber.wav
フレア(命中), 粒子集中 橙 Charge.wav;2;粒子集中 橙 -.wav;粒子集中 橙 -.wav;発光 橙 -.wav;2;連続大爆発 3 Breath.wav;超爆発
ポイズン(攻撃), 魔法放射 緑 BeamSaber.wav
ポイズン(命中), -
トード(攻撃), 魔法放射 緑 BeamSaber.wav
トード(命中), -
デス(攻撃), 魔法放射 黒 BeamSaber.wav
デス(命中), -
ドンムブ(攻撃), 魔法放射 青 BeamSaber.wav
ドンムブ(命中), -
スロウ(攻撃), 魔法放射 白 BeamSaber.wav
スロウ(命中), -
スロウジャ(攻撃), 魔法放射 白 BeamSaber.wav
スロウジャ(命中), -
ストップ(攻撃), 魔法放射 橙 BeamSaber.wav
ストップ(命中), -
グラビデ(攻撃), 魔法放射 黒 BeamSaber.wav
グラビデ(命中), -
グラビデ(クリティカル), 粒子集中 黒 Whiz.wav;魔法放射 黒 BeamSaber.wav;放電
グラビガ(攻撃), 魔法放射 黒 BeamSaber.wav
グラビガ(命中), -
グラビガ(クリティカル), 粒子集中 黒 Whiz.wav;@戦闘アニメ_重力圧縮命中 BeamSaber.wav
メテオ(攻撃), 魔法放射 橙 BeamSaber.wav;@戦闘アニメ_斜め落ち共通 Anime\Bullet\EFFECT_Meteor01.bmp 48 Interference.wav
メテオ(命中), 超爆発
メテオ(敵)(攻撃), 魔法放射 橙 BeamSaber.wav;@戦闘アニメ_斜め落ち共通 Anime\Bullet\EFFECT_Meteor01.bmp 48 Interference.wav
メテオ(敵)(命中), 超爆発
ヘイスト(使用), 魔法放射 赤 Whiz.wav
ヘイスト(発動), 時間
ヘイスジャ(使用), 魔法放射 赤 Whiz.wav;ＭＡＰ光噴出 赤 FlyBy(High).wav
ヘイスジャ(発動), 時間
レビテト(使用), 魔法放射 白 Whiz.wav
レビテト(発動), オーラ上昇 白 FlyBy(High).wav
リフレク(使用), 魔法放射 白 Whiz.wav
リフレク(発動), エネルギーフィールド展開
クイック(使用), 魔法放射 白 Whiz.wav
クイック(発動), 時間逆行;@ＳＰアニメ_覚醒 相手ユニットＩＤ
ショートチャージ, -
ショートチャージ(発動), オーラ上昇 白 Hittyuu.wav
攻撃無効化(ＥＮすり替え), 粒子集中 白
ラムウ(攻撃), 魔法放射 黄 BeamSaber.wav;浮上アップ FFT_RamuhU.bmp 黄;光打ち下ろし 黄 Thunder.wav
ラムウ(命中), 大放電 黄
イフリート(攻撃), 魔法放射 赤 BeamSaber.wav;浮上アップ FFT_EfreetU.bmp 赤
イフリート(命中), 粒子集中 赤;炎 Breath.wav
シヴァ(攻撃), 魔法放射 白 BeamSaber.wav;浮上アップ FFT_SivaU.bmp 白
シヴァ(命中), 吹雪 Storm.wav;飛沫 白 Glass.wav
タイタン(攻撃), 魔法放射 橙 BeamSaber.wav;浮上アップ FFT_TitanU.bmp 橙;ＭＡＰ地震 Gunpod.wav
タイタン(命中), ダメージ Crash.wav
リヴァイアサン(攻撃), 魔法放射 青 BeamSaber.wav;浮上アップ FFT_LeviathanU.bmp 青 Splash.wav;ＭＡＰ津波
リヴァイアサン(命中), 津波 Interference.wav
オーディン(攻撃), 魔法放射 黄 BeamSaber.wav;飛来アップ FFT_OdinU.bmp 黄 Jet.wav 速 残像
オーディン(命中), クリティカル斬撃
サラマンダー(攻撃), 魔法放射 赤 BeamSaber.wav;浮上アップ FFT_SalamanderU.bmp 赤 Fire.wav
サラマンダー(命中), 火炎放射 赤 Breath.wav;光噴出 赤 -.wav
バハムート(攻撃), 魔法放射 黒 BeamSaber.wav;浮上アップ FFT_BahamutU.bmp 黒;浮上アップ終了 FFT_BahamutU.bmp 黒 Explode(Nuclear).wav
バハムート(命中), 連続大爆発 3 Breath.wav;超爆発
バハムート(敵)(攻撃), 魔法放射 黒 BeamSaber.wav;浮上アップ FFT_BahamutU.bmp 黒;浮上アップ終了 FFT_BahamutU.bmp 黒 Explode(Nuclear).wav
バハムート(敵)(命中), 連続大爆発 3 Breath.wav;超爆発
シルフ(攻撃), 魔法放射 緑 BeamSaber.wav;浮上アップ FFT_ShylphU.bmp 緑
シルフ(命中), 妖精;飛沫 緑 -.wav
リッチ(攻撃), 魔法放射 黒 BeamSaber.wav;浮上アップ FFT_LichU.bmp 黒
リッチ(命中), 光噴出 黒 Storm.wav;オーラ上昇 黒 -.wav
クリュプス(攻撃), 魔法放射 青 BeamSaber.wav;浮上アップ FFT_ClopsU.bmp 青 Storm.wav;浮上アップ終了 FFT_ClopsU.bmp 青 Glass.wav
クリュプス(命中), 魔法集中 白 -.wav;旋風 白 FastGun.wav
ゾディアーク(攻撃), 魔法放射 黒 BeamSaber.wav;浮上アップ FFT_ZodiacU.bmp 黒;ＭＡＰダークネス Interference.wav
ゾディアーク(命中), 火炎放射 黒 AntiAirMissile.wav;光噴出 黒 -.wav
ゾディアーク(敵)(攻撃), 魔法放射 黒 BeamSaber.wav;浮上アップ FFT_ZodiacU.bmp 黒;ＭＡＰダークネス Interference.wav
ゾディアーク(敵)(命中), 火炎放射 黒 AntiAirMissile.wav;光噴出 黒 -.wav
モーグリ(使用), 魔法放射 白 BeamSaber.wav;変形 FFT_MoogleU.bmp Whiz.wav
モーグリ(発動), 回復魔法
ゴーレム(使用), 魔法放射 橙 BeamSaber.wav;浮上アップ FFT_GolemU.bmp 橙;Clear
ゴーレム(発動), 光バリア Flair.wav "　"
カーバンクル(使用), 魔法放射 緑 BeamSaber.wav;浮上アップ FFT_CarbuncleU.bmp 緑;Clear
カーバンクル(発動), エネルギーフィールド展開 BeamCoat.wav
フェアリー(使用), 魔法放射 白 BeamSaber.wav;浮上アップ FFT_FarlyU.bmp Whiz.wav 白;Clear
フェアリー(発動), オーラ上昇 白 Wind.wav
ギル取り(攻撃), タックル
ギル取り(命中), -
武器を盗む(攻撃), タックル
武器を盗む(命中), -
鎧を盗む(攻撃), タックル
鎧を盗む(命中), -
ハートを盗む(攻撃), タックル
ハートを盗む(命中), -
ギルガメの心(攻撃), 発光 赤 EvilEye.wav
ギルガメの心(命中), -
密猟(ダガー), ナイフ
密猟(格闘), 格闘
密猟(ミスリルソード), ソード
解法(攻撃), 魔法放射 青 小 Crowd.wav;魔法放射 青 小 -.wav
解法(命中), -
おどす(攻撃), 魔法放射 橙 小 Crowd.wav;魔法放射 橙 小 -.wav
おどす(命中), -
死の予言(攻撃), 魔法放射 黒 小 Crowd.wav;魔法放射 黒 小 -.wav
死の予言(命中), -
説得(攻撃), 魔法放射 桃 小 Crowd.wav;魔法放射 桃 小 -.wav
説得(命中), -
商談(攻撃), 魔法放射 黄 小 Crowd.wav;魔法放射 黄 小 -.wav
商談(命中), -
説法(攻撃), 魔法放射 青 小 Crowd.wav;魔法放射 青 小 -.wav
説法(命中), -
勧誘(攻撃), 魔法放射 白 小 Crowd.wav;魔法放射 白 小 -.wav
勧誘(命中), -
悪口(攻撃), 魔法放射 赤 小 Crowd.wav;魔法放射 赤 小 -.wav
悪口(命中), -
ダーラボンのまね(攻撃), 魔法放射 緑 小 Crowd.wav;魔法放射 緑 小 -.wav
ダーラボンのまね(命中), -
ほめる(使用), 魔法放射 橙 小 Crowd.wav;魔法放射 橙 小 -.wav
ほめる(発動), 炎 Charge.wav
調教(使用), 魔法放射 桃 小 Crowd.wav;魔法放射 桃 小 -.wav
調教(発動), @ＳＰアニメ_魅惑 対象ユニットＩＤ 相手ユニットＩＤ
