
### フォーマットはめんどいので作りたくない。誰か作らないかな。

### 詠唱文一覧

### 拳術
攻撃(連続拳), 熱き正義の燃えたぎる！ 赤き血潮の拳がうなる！ 連続拳！
攻撃(シルフ), 生々流転なす生命の源流に我を導け！ シルフ！
攻撃(シルフ), 生々流転なす生命の源流に我を導け… 風のささやき！ シルフ！
フェアリー, 水晶に砕けた陽光のすべてをその薄羽に捧げる… フェアリー！
フェアリー, 水晶に砕けた陽光のすべてをその薄羽に捧げる… 妖精の輝き！ フェアリー！
攻撃(リッチ), 骸の手の死を歌い、恐怖の戸を叩き、死の川を渡れ… リッチ！
攻撃(リッチ), 骸の手の死を歌い、恐怖の戸を叩き、死の川を渡れ… 不条理の翼！ リッチ！
攻撃(クリュプス), 陽光閉ざす冷気に、大気は刃となり骸に刻まん！ クリュプス！
攻撃(クリュプス), 陽光閉ざす冷気に、大気は刃となり骸に刻まん… 恐怖の最終章！ クリュプス！
攻撃(ゾディアーク), 絶対なる原理を知らしめしたまえ、暗闇の雲… ゾディアーク！
攻撃(ゾディアーク), 絶対なる原理を知らしめしたまえ、偉大なる戒律の主… ゾディアーク！
攻撃(ゾディアーク(敵)), 絶対なる原理を知らしめしたまえ、暗闇の雲… ゾディアーク！
攻撃(ゾディアーク(敵)), 絶対なる原理を知らしめしたまえ、偉大なる戒律の主… ゾディアーク！
### 陰陽術
攻撃(闇縛符), 光の全ては地に落ち、全ては幻、意識の闇に沈め… 闇縛符！
攻撃(魔吸唱), 魔の理を背負いし全て、我がもとへ光となりて集え… 魔吸唱！
攻撃(命吸唱), 魔の理に従い、鼓動のいくつかを我が身のために… 命吸唱！
信祈仰祷, 全てが神の作りたもうたありのままであることを祈る… 信祈仰祷！
信疑仰祷, 音の響きの意味を求め意志となす、我そのもののために… 信疑仰祷！
攻撃(腐生骸屍), 生命の大樹よ、魂の終焉を迎え朽木と為りて入滅せよ… 腐生骸屍！
攻撃(沈黙唱), 言葉繰りの者共、静寂に真実を求め暫し言葉忘れよ… 沈黙唱！
攻撃(勇猛狂符), 混乱を以って理性となし、蛮勇を以って正義となす… 勇猛狂符！
攻撃(狐鶏鼠), 小さき者、弱き者、死に急ぐ者、身を守る術を思い出せ… 狐鶏鼠！
攻撃(乱心唱), 破滅を求める者をこそ滅ぼせ、汝を駆り立てる者をこそ… 乱心唱！
攻撃(絶装魔脱), 人の手の為す偽りの全て、幻を天に帰す！ 絶装魔脱！
攻撃(不変不動), 心無となり、うつろう風の真相、不変なる律を聞け… 不変不動！
攻撃(夢邪睡符), 青き海に意識薄れ、沈み行く闇、深き静寂に意識閉ざす… 夢邪睡符！
攻撃(碑封印), 肉体の棺に宿りし病める魂を永劫の闇へ還したまえ… 碑封印！
### 引き出す
攻撃(阿修羅【武術幻刀】), 活殺自在、古今無双なる剣をかざせ！ 刀気放出！ 阿修羅！
攻撃(虎鉄【暗闇の呪縛】), 闇にありし怨恨の魂よ、此処に集結せよ… 虎鉄！
攻撃(備前長船【忘却の言霊】), 虚無なる空に記憶の糸を斬る！ 忘れ去らん… 備前長船！
村雨【恵の雨】, 風無くば、刃の音こそ風とならん！ 風に散る某の命とせん！ 村雨！
攻撃(天のむら雲【森羅雲海】), 八雲立つ、出雲の神の知るところ、逝くも還るも、天のむら雲！
清盛【祈祷神羅の風】, 慈悲あれば、許したもうは、剣の心… 悪を裁くは無心の剣！ 清盛！
攻撃(村正【呪われし野望】), 刀に宿りし幾千の、亡霊の呼びていざ抜かん！ 村正！
攻撃(菊一文字【菊一文字】), 三界六道貫く秘剣、仏の道の許さずも共に地獄の火とならん！ 菊一文字！
正宗【精魂投入】, 怒れる剣、我が身を持って鬼となれ、生きるは地獄！ 正宗！
攻撃(塵地螺鈿飾剣【乱の炎】), 赤き五月雨に地を染めろ、火喰い刀！ 塵地螺鈿飾剣！

