ＦＦＴ
ロングソード, Swing.wav
バイオラ(1), Whiz.wav
バイオラ(2), Bubble.wa
バイオラ(3), Swing.wav
バイオラ(3)(命中), Clash.wav
タイタン(準備), Flyby.wav
タイタン, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
リッチ(準備), Flyby.wav
リッチ, 3;MultipleRocketLauncher(Light).wav;Fold.wav
クリュプス(準備), Flyby.wav
クリュプス, 9;Storm.wav;Glass.wav
息根止(クリティカル), Shock(low).wav
ダブルアタック, 1;Swing.wav;Swing.wav
ダブルアタック(命中), 1;Slash.wav;Slash.wav
アルテマ(ルカヴィ), Whiz.wav
スリプジャ, Whiz.wav
スリプジャ(クリティカル), Bubble.wav
ブライジャ, Whiz.wav
ブライジャ(クリティカル), Hide.wav
トードジャ, Whiz.wav
トードジャ(クリティカル), Bubble.wav
コンフジャ, Whiz.wav
コンフジャ(クリティカル), PiyoPiyo.wav
グラビジャ, Bazooka.wav
グラビジャ(命中), Shock(low).wav
フレアジャ(MAP), Explode(Nuclear).wav
フレアジャ, Explode(Nuclear).wav
オーディン(準備), FlyBy.wav
オーディン, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Slash.wav
サラマンダー(準備), FlyBy.wav
サラマンダー, Fire.wav
ミドガルズオルム, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
ゾディアーク(準備), Fold.wav
ゾディアーク, FlyBy.wav;精神コマンド\gekirei[05-08].bmp 640 480 透過;Explode(Nuclear).wav;12;White.bmp 640 480;Clear
クエイク, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
メルトン, 5;MultipleRocketLauncher.wav;Explode(Nuclear).wav
メテオ(準備), Fold.wav
メテオ, 2;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;2;Bomb.wav;3;Explode.wav;1;Explode.wav;2;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
トルネド, Storm.wav
グランドクロス, 3;Storm.wav;1;Glass.wav;1;Glass.wav;1;Glass.wav;Glass.wav
アルテマ(MAP), Charge.wav;8;精神コマンド\gekirei[05-08].bmp 640 480 透過;Flair.wav;1;White.bmp 640 480;Clear
クロススラッシュ, 1;Swing.wav;Swing.wav
クロススラッシュ(命中), Slash.wav
完全アルテマ, Fold.wav;8;精神コマンド\gekirei[05-08].bmp 640 480 透過;Flair.wav;1;White.bmp 640 480;Clear
ケアル, Sharara.wav;6;精神コマンド\Syukufuku[12-14].bmp 透過;Clear
ケアルラ, Sharara.wav;6;精神コマンド\Syukufuku[12-14].bmp 透過;Clear
ケアルガ, Sharara.wav;6;精神コマンド\Syukufuku[12-14].bmp 透過;Clear
エスナ, Sharara.wav;6;精神コマンド\Syukufuku[12-14].bmp 透過;Clear
マバリア, Whiz.wav;6;精神コマンド\Syukufuku[12-14].bmp 透過;Clear
デスペナ, Whiz.wav;6;精神コマンド\Syukufuku[12-14].bmp 透過;Clear
ためる, Charge.wav
叫ぶ, Shock(Low).wav
