
ファイアーエムブレム
鉄の剣(クリティカル), Combo.wav//##############  剣系エフェクト  ##############
パージ, Charge.wav
パージ(命中), Crash.wav
ミィル(準備)(対瀕死), EvilEye.wav
ミィル(準備), BeamSaber.wav
ミィル, Charge(high).wav
ミィル(命中), Drill.wav
ルナ(準備), BeamSaber.wav
ルナ, Charge(high).wav
ルナ(命中), BeamCoat.wav
イクリプス(準備), Hide.wav
イクリプス, Charge(high).wav
イクリプス(命中), Crash.wav
リザイア(準備)(対瀕死), EvilEye.wav
リザイア, BeamSaber.wav
リザイア(命中), 3;BeamShot.wav;BeamCoat.wav
ノスフェラート(準備), Fire.wav
ノスフェラート, MultipleRocketLauncher(Light).wav
ノスフェラート(命中), Crash.wav
ゲスペンスト(準備), 3;Thunder.wav;Thunder.wav
ゲスペンスト, BeamShot.wav
ゲスペンスト(命中), Explode(Nuclear).wav
エレシュキガル(準備), GunPod.wav
エレシュキガル, FlyBy.wav
エレシュキガル(命中), Explode(Nuclear).wav
ライブの杖, Sharara.wav//##############  杖  ##############
リライブの杖, Sharara.wav
リカバーの杖, Sharara.wav
リブローの杖, Sharara.wav
リザーブの杖, Sharara.wav;1;White.bmp 480 480;Clear
ハマーンの杖, Sharara.wav
リカバー, Sharara.wav
リブロー, Sharara.wav
リザーブ, Sharara.wav;1;White.bmp 480 480;Clear
スリープの杖, Applause.wav
スリープの杖(クリティカル), SchoolBell.wav
サイレスの杖, Hide.wav
サイレスの杖(クリティカル), Inori.wav
バサークの杖, Fold.wav
レストの杖, Inori.wav
聖女の杖, Inori.wav;1;White.bmp 480 480;Clear
おどる, Sharara.wav
奏でる, Sharara.wav
クインクレイン(準備), Reload.wav//##############  シューター武器  ##############
クインクレイン, Bomb.wav
クインクレイン(命中), Stab.wav
クインクレイン(クリティカル), Combo.wav
ファイアーガン(準備), Reload.wav
ファイアーガン, Cannon.wav
ファイアーガン(命中), Explode.wav
ファイアーガン投射(準備), Reload.wav
ファイアーガン投射, Bazooka.wav
ファイアーガン投射(命中), Explode.wav
対空クインクレイン(準備), Hittyuu.wav
対空クインクレイン, AntiAirMissile.wav
対空クインクレイン(命中), BreakOff.wav
サンダーボルト(準備), Thunder.wav
サンダーボルト, LaserGun.wav
サンダーボルト(命中), Thunder.wav
ストーンヘッジ(準備), Reload.wav
ストーンヘッジ, Bomb.wav
ストーンヘッジ(命中), Crash.wav
エレファント(準備), Reload.wav
エレファント, Cannon.wav
エレファント(命中), Explode(Nuclear).wav
ロングアーチ(準備), Reload.wav
ロングアーチ, Bomb.wav
ロングアーチ(命中), Stab.wav
ロングアーチ(クリティカル), Combo.wav
アイアンアーチ(準備), Reload.wav
アイアンアーチ, Bomb.wav
アイアンアーチ(命中), Stab.wav
アイアンアーチ(クリティカル), Combo.wav
キラーアーチ(準備), Reload.wav
キラーアーチ, Bomb.wav
キラーアーチ(命中), Stab.wav
キラーアーチ(クリティカル), Combo.wav
ポイズンアーチ(準備), Reload.wav
ポイズンアーチ, Bomb.wav
ポイズンアーチ(命中), Stab.wav
ポイズンアーチ(クリティカル), Combo.wav
攻撃無効化(古代竜族の力), BeamCoat.wav//##############  マムクート  ##############
変形(火竜石), Inori.wav
変形(氷竜石), Fold.wav
変形(魔竜石), Fold.wav
変形(飛竜石), Jet.wav
変形(地竜石), Fold.wav
変形(神竜石), Sharara.wav
火のブレス, AntiShipMissile.wav
氷のブレス, Storm.wav
闇のブレス, GunPod.wav
霧のブレス, Hide.wav
火竜石, Breath.wav
神竜石, Breath.wav
流星剣, 0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;0.5;Swing.wav;Swing.wav//##############  スキル  ##############
流星剣(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Swing.wav;Slash.wav
流星剣(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Swing.wav;Slash.wav
流星剣(命中), 1;Stab.wav;1;Slash.wav;1;Stab.wav;1;Stab.wav;Swing.wav
流星剣(命中), 2;Stab.wav;2;Slash.wav;2;Stab.wav;2;Stab.wav;Swing.wav
流星剣(命中), 2;Slash.wav;2;Saber.wav;2;Slash.wav;2;Stab.wav;Swing.wav
流星剣(命中), 2;Stab.wav;2;Saber.wav;2;Slash.wav;2;Slash.wav;Sword.wav
流星剣(命中), 2;Saber.wav;2;Slash.wav;2;Swing.wav;2;Stab.wav;Slash.wav
流星剣(命中), 1;Saber.wav;1;Slash.wav;1;Swing.wav;1;Stab.wav;Slash.wav
月光剣(準備), Black.bmp 128 128 - -;BeamSaber.wav;2;AUnitOn[01-04].bmp 32 32 - - 透過
月光剣, Swing.wav
月光剣(命中), Shock(Low).wav
太陽剣(準備), Black.bmp 128 128 - -;BeamSaber.wav;2;EUnitOn[01-04].bmp 32 32 - - 透過
太陽剣, Swing.wav
太陽剣(命中), BeamShot.wav
突撃(準備), AntiShipMissile.wav
突撃, Storm.wav
突撃(命中), 2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;Crash.wav
待ち伏せ, Swing.wav
待ち伏せ(命中), Crash.wav
待ち伏せ(クリティカル), Combo.wav
待ち伏せ(弓), Beam.wav
待ち伏せ(弓)(命中), Inori.wav
待ち伏せ(弓)(クリティカル), Combo.wav
待ち伏せ(魔法), Beam.wav
待ち伏せ(魔法)(命中), Inori.wav
待ち伏せ(魔法)(クリティカル), Combo.wav
瞬殺の技(クリティカル), White.bmp 480 480;2;Slash(3).wav;2;Slash(3).wav;2;Slash.wav;Clear
マインスター(命中), 2;Swing.wav;Slash.wav//##############  ティアサガ  ############
シュラム(命中), 2;Swing.wav;Slash.wav
デュラハン(命中), 2;Swing.wav;Slash.wav
ルクード(命中), 2;Swing.wav;Slash.wav
飛竜の技, AntiAirMissile.wav
飛竜の技(命中), 1;Crash.wav;1;Crash.wav;Crash.wav
疾風の技(準備), Flair.wav
疾風の技, AntiAirMissile.wav
疾風の技(命中), Crash.wav
風水の技, AntiShipMissile.wav
風水の技(命中), Glass.wav
烈風の技, AntiShipMissile.wav
烈風の技(命中), Bazooka.wav
連続の技, AntiShipMissile.wav
連続の技(命中), 3;Swing.wav;2;Slash.wav;Slash.wav
破邪, EvilEye.wav
破邪(命中), Inori.wav
突撃(魔法)(準備), Charge.wav
突撃(魔法), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;Beam.wav
突撃(魔法), 1;Beam.wav;4;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
突撃(魔法)(命中), 1;Explode(Small).wav;1;Explode(Small).wav;1;Explode(Small).wav;1;Explode(Small).wav;Explode(Far).wav
突撃(弓)(準備), Hittyuu.wav
突撃(弓), MultipleRocketLauncher(Light).wav
突撃(弓)(命中), MachineCannon.wav
ブレスＳ, AntiShipMissile.wav
ブレスＬ, MicroMissile.wav
盗む, Whiz.wav
盗む(命中), Bow.wav
盗む(クリティカル), Sharara.wav
キルブレード(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
ピラム, Bomb.wav
ピラム(命中), Stab.wav
ピラム(クリティカル), Combo.wav
ジャベリン, Bomb.wav
ジャベリン(命中), Stab.wav
ジャベリン(クリティカル), Combo.wav
スピニングボウ, Bow.wav
スピニングボウ(命中), Stab.wav
スピニングボウ(クリティカル), Combo.wav
メティオール(準備), Bomb.wav
メティオール, Explode(Far).wav
サンフレイム(準備), Alarm.wav
サンフレイム, Fire.wav
オーラレイン(準備), Beam.wav
オーラレイン, MultipleRocketLauncher(Light).wav
オーラレイン(命中), Glass.wav
スターライト, Sharara.wav
プレリュード, Interference.wav
プレリュード(クリティカル), Sharara.wav
ブレンサンダ, Whip.wav
ブレンサンダ(命中), 2;Thunder.wav
ブレンサンダ(クリティカル), Thunder.wav
シルフィード, AntiShipMissile.wav
シルフィード(クリティカル), Sharara.wav
ヴンダーガスト, AntiAirMissile.wav
ヴンダーガスト(クリティカル), Crash.wav
トーネード, Storm.wav
ブラックホール(準備), FlyBy.wav
ブラックホール, Storm.wav
ランドバースト(準備), Jet.wav
ランドバースト(命中), Crash.wav
バウクラッシュ, MicroMissile.wav
ジャヌーラ, BeamSaber.wav
ジャヌーラ(命中), 3;BeamShot.wav;BeamCoat.wav
トゥマハーン, BeamSaber.wav
トゥマハーン(命中), BeamCoat.wav
トゥマハーン(クリティカル), Shock(Low).wav
ザッハーク, Search.wav
ジャヌーラ(命中), Walk(Snow).wav
ゴーレム召喚(準備), BeamCoat.wav
ゴーレム召喚, Walk(Robot).wav
ゴーレム召喚(命中), 2;Swing.wav;Shock(Low).wav
破邪の杖, EvilEye.wav
☆破邪の杖(命中), Inori.wav
☆破邪の杖, EvilEye.wav
破邪の杖(命中), Inori.wav
沈黙の杖, Hide.wav
沈黙の杖(クリティカル), Inori.wav
いやしの杖, Sharara.wav
遠癒しの杖, Sharara.wav
魔力の杖, Sharara.wav
力の杖, Sharara.wav
守りの杖, Sharara.wav
おどる, Sharara.wav
虹色の踊り, Sharara.wav
うたう, Sharara.wav
夢見るうた, Sharara.wav
大スターのうた, Sharara.wav
攻撃無効化, BeamCoat.wav
攻撃無効化(古代竜族の力), Sharara.wav
テレポート, BeamShot.wav


汎用
スターライト(準備), Sharara.wav//##############  アカネイア  ##############
スターライト, PatrolCar.wav
スターライト(命中), 2;Glass.wav;2;Glass.wav;2;Glass.wav;Glass.wav
マフー(準備), FlyBy.wav
マフー, FlyBy.wav
マフー(命中), FlyBy.wav
グラディウス, Swing.wav
グラディウス(命中), Stab.wav
グラディウス(クリティカル), Combo.wav
グラディウス・投擲, Beam.wav
グラディウス・投擲(命中), Stab.wav
グラディウス・投擲(クリティカル), Combo.wav
パルティア(準備), Fire.wav
パルティア, Bow.wav
パルティア(命中), Stab.wav
パルティア(クリティカル), Combo.wav
デュランダル, -.wav//##############  エレブ  ##############
デュランダル(準備), Glass.wav;1;White.bmp 480 480;Clear
デュランダル(命中), 2;Swing.wav;Slash.wav
マルテ(準備), Glass.wav;1;White.bmp 480 480;Clear
マルテ, -.wav
マルテ(命中), 2;Swing.wav;Stab.wav
アルマーズ(準備), Glass.wav;1;White.bmp 480 480;Clear
アルマーズ, -.wav
アルマーズ(命中), 2;Swing.wav;Stab.wav
ミュルグレ(準備), Glass.wav;1;White.bmp 480 480;Clear
ミュルグレ, Bow.wav
ミュルグレ(命中), 2;Beam.wav;Stab.wav
フォルブレイズ(準備)(対瀕死), EvilEye.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
フォルブレイズ(準備), Glass.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
フォルブレイズ, MultipleRocketLauncher(Light).wav
フォルブレイズ(命中), MicroMissile.wav
アーリアル(準備), Glass.wav;1;White.bmp 480 480;Clear
アーリアル, Hittyuu.wav
アーリアル(命中), 3;Flair.wav;MicroMissile.wav
アポカリプス(準備), Glass.wav;1;White.bmp 480 480;Clear;Charge(long).wav
アポカリプス, Storm.wav
アポカリプス(命中), MicroMissile.wav
ティルフィング, Swing.wav//##############  ユグドラル  ##############
ティルフィング(命中), Slash.wav
ティルフィング(クリティカル), Combo.wav
ミストルティン, Swing.wav
ミストルティン(命中), Slash.wav
バルムンク, Swing.wav
バルムンク(命中), Slash.wav
バルムンク(クリティカル), Combo.wav
ゲイボルグ, Swing.wav
ゲイボルグ(命中), Stab.wav
ゲイボルグ(クリティカル), Combo.wav
グングニル, Swing.wav
グングニル(命中), Stab.wav
グングニル(クリティカル), Combo.wav
スワンチカ, Swing.wav
スワンチカ(命中), Slash.wav
スワンチカ(クリティカル), Combo.wav
イチイバル, Bow.wav
イチイバル(命中), Stab.wav
イチイバル(クリティカル), Combo.wav
ファラフレイム, MicroMissile.wav
トールハンマー, MicroMissile.wav
フォルセティ, MicroMissile.wav
ナーガ, Interference.wav
ロプトウス, Interference.wav
ティルフィング(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
ミストルティン(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
バルムンク(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
ゲイボルグ(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
グングニル(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
スワンチカ(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
イチイバル(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
ファラフレイム(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
トールハンマー(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 48 48 - - 透過;2;Clear
フォルセティ(準備), Glass.wav
ナーガ(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 64 64 - - 透過;2;Clear
ロプトウス(準備), Black.bmp 128 128;Glass.wav;2;NUnitOn[01-04].bmp 64 64 - - 透過;2;Clear





