#武器アイコンの添付が不要なanimationです。
#05/04/29の段階で更新停止しています。
#以後、基本的に更新しません。


ファイアーエムブレム
##############  剣系エフェクト  #############
アーマーキラー, 剣
エッケザックス(準備), 巨大剣 Sword.wav
エッケザックス(攻撃), 回転斬撃 MultipleRocketLauncher(Light).wav
エッケザックス(命中), 大斬撃 Slash.wav
エッケザックス・剣圧(準備), 巨大剣 Sword.wav
エッケザックス・剣圧(攻撃), 白兵回転 Swing(2).wav;波動放射 白 MultipleRocketLauncher(Light).wav
エッケザックス・剣圧(命中), 飛沫 白 Slash.wav
封印の剣(準備), 剣 Sword.wav
封印の剣(攻撃), 剣 Saber.wav
封印の剣(命中), 炎斬撃 Slash.wav
封印の剣(クリティカル), @戦闘アニメ_超爆発命中;デフォルト
封印の剣・投射(準備), 剣 Sword.wav;Fire.wav
封印の剣・投射(攻撃), 斬撃 Saber.wav;大キャノン砲 1 Swing.wav
封印の剣・投射(命中), 炎 Explode.wav
封印の剣・投射(クリティカル), @戦闘アニメ_超爆発命中;デフォルト
ソール・カティ(クリティカル), @戦闘アニメ_FE_流星剣攻撃;@戦闘アニメ_斬撃乱舞命中;デフォルト
マインスター, 剣
シュラム, 剣
デュラハン, 剣
ルクード, 剣
リガルブレイド, 野太刀
勇者の剣(準備), -
勇者の剣(準備)(対瀕死), サーベル
勇者の剣(攻撃), 白兵武器
勇者の剣(攻撃)(対瀕死), サーベル突撃
勇者の剣(命中), 斬撃
勇者の剣(命中)(対瀕死), サーベル突撃
勇者の剣(クリティカル), Combo.wav;デフォルト
勇者の剣(クリティカル), @戦闘アニメ_分身斬撃攻撃;3;@戦闘アニメ_アッパー命中 Crash.wav;デフォルト
###########  魔法剣系エフェクト  ##########
光の剣・投射(準備), 剣
光の剣・投射(攻撃), BeamShot.wav
光の剣・投射(命中), 3;発光 橙 Glass.wav;発光 橙 Glass.wav
炎の剣(準備), 炎剣 Fire.wav
炎の剣(攻撃), Bazooka.wav;火炎弾 赤 Cannon.wav
炎の剣(命中), 火柱 Explode(Far).wav
雷の剣(準備), ソード LaserGun.wav
雷の剣(攻撃), 光打ち上げ 黄 Thunder.wav
雷の剣(命中), @戦闘アニメ_落雷 相手ユニットＩＤ Whip.wav
風の剣(準備), ソード BeamShot.wav
風の剣(攻撃), 2;Swing.wav;波動放射 緑 Beam.wav
風の剣(命中), 斬撃
光の剣(準備), ソード Sword.wav
光の剣(攻撃), 持続ビーム 黄 Alarm.wav
光の剣(命中), ２連中ビーム 黄 Glass.wav ランダム方向
大地の剣(準備), ソード Sword.wav
大地の剣(攻撃), 発光 赤 BeamSaber.wav
大地の剣(命中), 吸収 赤 BeamShot.wav;BeamCoat.wav
サンダーソード(準備), ソード LaserGun.wav
サンダーソード(攻撃), 光打ち上げ 黄 Thunder.wav
サンダーソード(命中), @戦闘アニメ_落雷 相手ユニットＩＤ Whip.wav
ルーンソード(準備), 黒剣 Sword.wav
ルーンソード(攻撃), 発光 黒 BeamSaber.wav
ルーンソード(命中), 吸収 黒 BeamShot.wav;BeamCoat.wav
スリープの剣, ソード
バサークの剣, ソード
スリープの剣(クリティカル), 混乱
バサークの剣(クリティカル), 混乱
##############  槍系エフェクト  ##############
鉄の槍(クリティカル), FE槍必殺 Weapon\EFFECT_JapaneseSpear01.bmp 40;FEデフォルト必殺
鋼の槍(クリティカル), FE槍必殺 Weapon\EFFECT_JapaneseSpear01.bmp 40;FEデフォルト必殺
銀の槍(クリティカル), FE槍必殺 Weapon\EFFECT_JapaneseSpear01.bmp 40;FEデフォルト必殺
#@戦闘アニメ_ダメージ命中 Crash.wav;デフォルト
細身の槍(準備)(対瀕死), 中心回転武器 Weapon\EFFECT_JapaneseSpear01.bmp 40 MultipleRocketLauncher(Light).wav
細身の槍(クリティカル), Combo.wav;デフォルト
ナイトキラー(クリティカル), Combo.wav;デフォルト
ホースキラー(クリティカル), Combo.wav;デフォルト
キラーランス(クリティカル), @戦闘アニメ_乱突命中 Swing.wav;Combo.wav;デフォルト
ニードルスピア(クリティカル), Combo.wav;デフォルト
デビルスピア(クリティカル), Combo.wav;デフォルト
聖なる槍(準備)(対瀕死), 中心回転武器 Weapon\EFFECT_JapaneseSpear01.bmp 40 MultipleRocketLauncher(Light).wav
聖なる槍(クリティカル), Combo.wav;デフォルト
手槍(準備), スピア
手槍(攻撃), 投げ槍 Bomb.wav
手槍(命中), ロケットパンチ Weapon\EFFECT_Spear01.bmp Stab.wav
手槍(クリティカル), Combo.wav;デフォルト
ショートスピア(準備), スピア
ショートスピア(攻撃), 投げ槍 Bomb.wav
ショートスピア(命中), ロケットパンチ Weapon\EFFECT_Spear01.bmp Stab.wav
ショートスピア(クリティカル), Combo.wav;デフォルト
スレンドスピア(準備), スピア
スレンドスピア(攻撃), 投げ槍 Bomb.wav
スレンドスピア(命中), ロケットパンチ Weapon\EFFECT_Spear01.bmp Stab.wav
スレンドスピア(クリティカル), Combo.wav;デフォルト
ピラム(準備), スピア
ピラム(攻撃), 投げ槍 Bomb.wav
ピラム(命中), ロケットパンチ Weapon\EFFECT_Spear01.bmp Stab.wav
ピラム(クリティカル), Combo.wav;デフォルト
ジャベリン(準備), スピア
ジャベリン(攻撃), 投げ槍 Bomb.wav
ジャベリン(命中), ロケットパンチ Weapon\EFFECT_Spear01.bmp Stab.wav
ジャベリン(クリティカル), Combo.wav;デフォルト
勇者の槍(攻撃), 刺突;刺突
勇者の槍(命中), 刺突;刺突
マスターランス(攻撃), 刺突;刺突
マスターランス(命中), 刺突;刺突
キラーランス, スピア
ホースキラー, ランス
レークスハスタ, スピア
流星(準備), 発光 緑 Glass.wav;ランス
流星(攻撃), ランス
流星(攻撃)(対瀕死), ランス突撃
流星(命中), ダメージ Stab.wav
流星(クリティカル), Combo.wav;デフォルト
月光(準備), 発光 青 Glass.wav;ランス
月光(攻撃), ランス
月光(攻撃)(対瀕死), ランス突撃
月光(命中), ダメージ Stab.wav
月光(クリティカル), Combo.wav;デフォルト
太陽(準備), 発光 赤 Glass.wav;ランス
太陽(攻撃), ランス
太陽(攻撃)(対瀕死), ランス突撃
太陽(命中), ダメージ Stab.wav
太陽(クリティカル), Combo.wav;デフォルト
########################  斧系エフェクト  ###########################
勇者の斧(攻撃), 連斬撃
勇者の斧(命中), 連斬撃
マスターアクス(攻撃), 連斬撃
マスターアクス(命中), 連斬撃
鉄の斧(クリティカル), Combo.wav;デフォルト
鋼の斧(クリティカル), Combo.wav;デフォルト
銀の斧(クリティカル), Combo.wav;デフォルト
デビルアクス(クリティカル), Combo.wav;デフォルト
ハンマー(クリティカル), Crash.wav;デフォルト
鉄の斧, 鉄の斧
鋼の斧, 鋼の斧
銀の斧, 銀の斧
キラーアクス, 金の斧
デビルアクス, 呪斧
手斧, バイキングアクス投擲
手斧(クリティカル), Combo.wav;デフォルト
トマホーク(準備), 両刃斧
トマホーク(攻撃), 両刃斧投擲
トマホーク(命中), 斬撃
トマホーク(クリティカル), Combo.wav;デフォルト
ハルベルト, ハルバード
ポールアクス, ハルバード
ヴォルフバイル, 片刃斧
バシリコス, 巨大斧
天雷の斧アルマーズ(準備), Glass.wav;1;White.bmp 480 480;Clear;巨大斧
天雷の斧アルマーズ(攻撃), 白兵武器
天雷の斧アルマーズ(命中), 大斬撃
########################  弓系エフェクト  ###########################
鉄の弓(クリティカル), Combo.wav;デフォルト
鋼の弓(クリティカル), Combo.wav;デフォルト
銀の弓(クリティカル), Combo.wav;デフォルト
ボウガン(クリティカル), Combo.wav;デフォルト
勇者の弓(クリティカル), Combo.wav;デフォルト
マスターボウ(クリティカル), Combo.wav;デフォルト
聖なる弓(クリティカル), Combo.wav;デフォルト
スピニングボウ(クリティカル), Combo.wav;デフォルト
弓(クリティカル), Combo.wav;デフォルト
短弓, 矢
鉄の弓・速射, 矢
鋼の弓・速射, 矢
銀の弓・速射, 矢
ボウガン, クロスボウ
リピータボウ(準備), クロスボウ
リピータボウ(攻撃), 矢連射
リピータボウ(命中), 乱突
ガトリングボウ(準備), クロスボウ
ガトリングボウ(攻撃), 矢連射;矢連射
ガトリングボウ(命中), 乱突
勇者の弓(攻撃), 矢;矢
勇者の弓(命中), 連突
マスターボウ(攻撃), 矢連射
マスターボウ(命中), 連突
キラーボウ(準備), 弓
キラーボウ(攻撃), 弓矢 Bow.wav
キラーボウ(命中), 矢 Stab.wav
キラーボウ(クリティカル), Combo.wav;デフォルト
リヤンフレチェ(準備)(対瀕死), 弓 MultipleRocketLauncher(Light).wav
リヤンフレチェ(準備), 弓
リヤンフレチェ(攻撃), 弓矢 Bow.wav
リヤンフレチェ(命中), 矢 Stab.wav
########################  魔法系エフェクト(火)  ###########################
ファイアー(準備), -
ファイアー(攻撃), Bazooka.wav;火炎弾 赤 Cannon.wav
ファイアー(命中), 爆発 Explode.wav
ファイアー(クリティカル), Explode(Far).wav
エルファイアー(準備), -
エルファイアー(攻撃), Bazooka.wav;火炎弾 赤 Cannon.wav
エルファイアー(命中), 火柱 Explode(Far).wav
エルファイアー(クリティカル), Explode(Nuclear).wav
ボルガノン(準備)(対瀕死), オーラ上昇 赤 Fire.wav
ボルガノン(攻撃), 波動放射 赤 MultipleRocketLauncher(Light).wav
ボルガノン(命中), @戦闘アニメ_オーラ上昇準備 赤 MicroMissile.wav 相手ユニットＩＤ
メティオ, 隕石
メティオール, 隕石
サンフレイム(攻撃), 飛来アップ Explode\EFFECT_BigExplode02.bmp 赤 Fire.wav 残像 速 背景なし
サンフレイム(命中), 大爆発
ライナロック(準備), 周囲回転 Fire\EFFECT_Fire(Red)02.bmp 32 Fire.wav 発光 3
ライナロック(攻撃), 大キャノン砲 4
ライナロック(命中), 超爆発
業火の理フォルブレイズ(準備)(対瀕死), EvilEye.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
業火の理フォルブレイズ(準備), Glass.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
業火の理フォルブレイズ(攻撃), @戦闘アニメ_連続爆発命中 MultipleRocketLauncher(Light).wav
業火の理フォルブレイズ(命中), @戦闘アニメ_オーラ上昇準備 赤 MicroMissile.wav 相手ユニットＩＤ
########################  魔法系エフェクト(風)  ###########################
シェイバー, シュートカッター 青
エクスカリバー(準備), 射撃武器 FE_WindBladeU.bmp 64 Flair.wav
エクスカリバー, 実弾発射 FE_WindBladeU.bmp 64 Beam.wav 速 残像 
エクスカリバー(命中), 大斬撃
ギガスカリバー(準備), BeamShot.wav
ギガスカリバー(攻撃), ホーミングレーザー 青 Swing(2).wav
ギガスカリバー(攻撃), ホーミングレーザー 緑 Swing(2).wav
ギガスカリバー(命中), シュートカッター 青 Crash.wav;シュートカッター 緑 Crash.wav;シュートカッター 青 Crash.wav
ウインド(準備), 射撃武器 FE_WindBladeU.bmp 32 Wind.wav
ウインド, 実弾発射 FE_WindBladeU.bmp 32 AntiAirMissile.wav 速
ウインド(命中), 斬撃
エルウインド(準備), BeamShot.wav
エルウインド(攻撃), 2;Swing.wav;波動放射 緑 Beam.wav
エルウインド(命中), 斬撃
トルネード, 竜巻
トルネード(命中), 竜巻
トーネード, 竜巻
トーネード(命中), 竜巻
エイルカリバー(準備), 風 AntiAirMissile.wav
エイルカリバー(攻撃), シュートカッター 緑 Beam.wav
エイルカリバー(命中), シュートカッター 緑 Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
グラフカリバー(準備), BeamShot.wav
グラフカリバー(攻撃), 2;Swing.wav;波動放射 青 Beam.wav
グラフカリバー(命中), 斬撃
ヴンダーガスト(準備), BeamShot.wav
ヴンダーガスト(攻撃), 2;Swing.wav;波動放射 青 Beam.wav
ヴンダーガスト(命中), 斬撃
シルフィード, 旋風 白 Storm.wav
シルフィード(命中), 旋風 白 Storm.wav
ブリザード, 吹雪
########################  魔法系エフェクト(雷)  ###########################
サンダーストーム(準備), -
サンダーストーム(攻撃), 落雷 Thunder.wav
サンダーストーム(命中), 飛沫 黄 Whip.wav
サンダー(準備), Thunder.wav
サンダー(攻撃), 落雷 Whip.wav
サンダー(命中), -
エルサンダー(準備), -
エルサンダー(攻撃), 光打ち上げ 黄 Thunder.wav
エルサンダー(命中), @戦闘アニメ_落雷 相手ユニットＩＤ Whip.wav
トロン(準備), -
トロン(攻撃), 小ビーム 青 LaserGun.wav
トロン(命中), 球電
トローン(準備), -
トローン(攻撃), 中ビーム 青 LaserGun.wav
トローン(命中), 球電
ゴッドアハンド(準備), 放電 BeamSaber.wav
ゴッドアハンド(攻撃), 中ビーム 青 LaserGun.wav
ゴッドアハンド(命中), 球電
ダイムサンダ, 光打ち上げ 黄 LaserGun.wav
ダイムサンダ(命中), @戦闘アニメ_落雷 Thunder.wav;@戦闘アニメ_落雷 Thunder.wav
ブレンサンダ, 光打ち上げ 黄 LaserGun.wav
ブレンサンダ(命中), @戦闘アニメ_落雷 Thunder.wav;@戦闘アニメ_落雷 Thunder.wav
待ち伏せ(ダイムサンダ)(準備), Sharara.wav;強風 -.wav
待ち伏せ(ダイムサンダ)(攻撃), 光打ち上げ 黄 LaserGun.wav
待ち伏せ(ダイムサンダ)(命中), @戦闘アニメ_落雷 Thunder.wav;@戦闘アニメ_落雷 Thunder.wav
########################  魔法系エフェクト(その他)  ###########################
ブリザー(準備)(対瀕死), 五芒星 白
ブリザー, つらら
フィンブル(準備), -
フィンブル(準備)(対瀕死), 光噴出 白
フィンブル(攻撃), 吹雪 AntiShipMissile.wav
フィンブル(命中), 凍結 Chaff.wav
アロー(準備)(対瀕死), 五芒星 白
アロー(攻撃), 拡散ビーム 白
アロー(命中), 拡散ビーム 白
ウォーム(攻撃), 回転発射 Common\EFFECT_Particle(Black)02.bmp Hide.wav 遅
ウォーム(命中), 乱突
イリュージョン(ソルジャー)(準備), 五芒星 青
イリュージョン(ソルジャー)(攻撃), FE_多重召還 FEA_SoldierU.bmp
イリュージョン(ソルジャー)(命中), 乱突
イリュージョン(Ｐナイト)(準備), 五芒星 青
イリュージョン(Ｐナイト)(攻撃), FE_多重召還 FEA_CleaU.bmp
イリュージョン(Ｐナイト)(命中), 乱突
イリュージョン(魔戦士)(準備), 五芒星 青
イリュージョン(魔戦士)(攻撃), FE_多重召還 FEA_DemonWarriorU.bmp
イリュージョン(魔戦士)(命中), 斬撃乱舞
メサイア(準備), 六芒星 赤 Fold.wav
メサイア(攻撃), ＭＡＰキャノン砲 Hide.wav
メサイア(命中), ダメージ Stab.wav
########################  魔法系エフェクト(光)  ###########################
シャイン(準備), -
シャイン(攻撃), 小ビーム 白 BeamShot.wav
シャイン(命中), 小ビーム 白 Glass.wav
ライトニング(準備), -
ライトニング(攻撃), 持続ビーム 黄 Alarm.wav
ライトニング(命中),  ２連中ビーム 黄 Glass.wav ランダム方向
ディヴァイン(準備), -
ディヴァイン(攻撃), 光長距離 橙 Beam.wav
ディヴァイン(命中), 発光 橙 BeamCoat.wav
アルジローレ, FE_オーラ
パージ(攻撃), FE画面外ビーム - 相手ユニット 白 Glass.wav
パージ(命中), ダメージ Glass.wav
ルーチェ(準備), 発光 黄 Glass.wav
ルーチェ(攻撃), 光打ち上げ 白 Sharara.wav
ルーチェ(命中), @戦闘アニメ_大落雷 Beam.wav 相手ユニットＩＤ
#エンジェル(攻撃), 妖精 Sharara.wav
エンジェル(攻撃), 連気弾 Sharara.wav 残像
エンジェル(命中), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
プレリュード, ホーミングレーザー 白
スターライト(攻撃), 降下アップ Common\EFFECT_Particle(Yellow)02.bmp 青 Sharara.wav 残像
スターライト(命中), 飛沫 白 Glass.wav;飛沫 青 Glass.wav;飛沫 黄 Glass.wav
オーラ, FE_オーラ
ディル, ＭＡＰビーム 白 Sharara.wav
オーラレイン(準備), @戦闘アニメ_光打ち上げ攻撃 白
オーラレイン, ＭＡＰビーム 白 MultipleRocketLauncher(Light).wav
オーラレイン(命中), Glass.wav
########################  魔法系エフェクト(闇)  ###########################
ルナ(攻撃), 周囲回転 Common\EFFECT_GravityBall01.bmp 32 FlyBy.wav 相手ユニットＩＤ 2
ルナ(命中), 粒子集中 黒 Drill.wav
ミィル(攻撃), Charge(high).wav;重力弾 -.wav
ミィル(命中), 粒子集中 黒 Drill.wav
イクリプス, ホーミングレーザー 黒
ポイズン(攻撃), 粒子噴射 黒 Bubble.wav
ポイズン(命中), 粒子集中 黒 Hide.wav
フェンリル(攻撃), 決め画像 Action\EFFECT_Bloodcurdling01.bmp BeamSaber.wav 前面 対象ユニットＩＤ;持続ビーム 黒
フェンリル(命中), 交差ビーム 黒 赤 Crash.wav ランダム方向
マフー(攻撃), 旋風 黒 FlyBy.wav
マフー(命中), 旋風 黒 FlyBy.wav
ヨツムンガンド(攻撃), 旋風 黒 Warship.wav
ヨツムンガンド(命中), 旋風 黒 Crash.wav
ヘル(攻撃), 飛来アップ Action\EFFECT_Bloodcurdling01.bmp 黒 Search.wav
ヘル(命中), 粒子噴射 黒 BeamCoat.wav
ドゥラーム(攻撃),  FE２連画面外ビーム - 相手ユニット 赤 Search.wav
ドゥラーム(命中), 飛沫 赤 Warship.wav
エレシュキガル(準備), オーラ上昇 黒 BeamSaber.wav
エレシュキガル(攻撃), 周囲回転 Common\EFFECT_GravityBall01.bmp 32 FlyBy.wav 相手ユニットＩＤ 3;決め画像 Map\EFFECT_MapHole(Black)02.bmp 相手ユニットＩＤ Inori.wav
エレシュキガル(命中), 大放電 黒
ストーン, 必殺光線 黒
リザイア(準備)(対瀕死), EvilEye.wav
リザイア(準備), -
リザイア(攻撃), 発光 黒 BeamSaber.wav
リザイア(命中), 吸収 黒 BeamShot.wav;BeamCoat.wav
ノスフェラート(準備), Fire.wav
ノスフェラート(攻撃), 周囲回転 Fire\EFFECT_Fire(Black)04.bmp 32 MultipleRocketLauncher(Light).wav 相手ユニットＩＤ 2
ノスフェラート(命中), 炎 黒 Crash.wav
ゲスペンスト(準備), 発光 黄 Glass.wav
ゲスペンスト(攻撃), 2;Thunder.wav;飛来アップ Map\EFFECT_MapHole(Black)02.bmp 黒 Thunder.wav;Thunder.wav
ゲスペンスト(命中), 重力圧縮
ジャヌーラ(攻撃), 小ビーム 赤
ジャヌーラ(命中), 小ビーム 赤;吸収 赤 BeamShot.wav;BeamCoat.wav
トゥマハーン, 重力弾
ランドバースト, ＭＡＰ石柱 Crash.wav
ランドバースト(命中), 強打
バウクラッシュ, ＭＡＰ石柱 Crash.wav
バウクラッシュ(命中), 強打
ザッハーク(攻撃), 旋風 黒 FlyBy.wav
ザッハーク(命中), 旋風 黒 FlyBy.wav
ドーラ(攻撃), FlyBy.wav;重力弾 Warship.wav
ドーラ(命中), ダメージ
スライム(攻撃), 回転発射 Smoke\EFFECT_SmokeA(Green)01.bmp Hide.wav 遅
スライム(命中), 煙 緑 Splash.wav
デス(攻撃), 決め画像 Action\EFFECT_Bloodcurdling01.bmp BeamSaber.wav 前面 対象ユニットＩＤ;２連小ビーム 赤
デス(命中), ２連小ビーム 赤
メデューサ(攻撃), 持続ビーム 赤
メデューサ(命中), 爆発
メガクェイク, ＭＡＰ石柱 Crash.wav
メガクェイク(命中), ダメージ Crash.wav
##############  シューター系エフェクト  #############
ファイアーガン, キャノン砲
ファイアーガン投射, キャノン砲長距離
クインクレイン(攻撃), 矢 Bomb.wav
クインクレイン, 矢
対空クインクレイン(攻撃), 矢連射 Bomb.wav
対空クインクレイン, 矢連射
サンダーボルト(攻撃), ２連小ビーム イエロー LaserGun.wav
サンダーボルト(命中), ２連小ビーム イエロー Thunder.wav
ストーンヘッジ(攻撃), 岩 Bomb.wav
ストーンヘッジ(命中), 強打 Crash.wav
エレファント, 大キャノン砲
ポイズンアーチ, 矢
ロングアーチ, 矢
アイアンアーチ, 矢
キラーアーチ, 矢
########################  スキルエフェクト  ###########################
流星剣(準備), 発光 緑 Sharara.wav
流星剣(攻撃), FE_流星剣
流星剣(命中), 連斬撃;連斬撃;斬撃
月光剣(準備), 発光 青 Sharara.wav
月光剣(攻撃), 円月殺法 青
月光剣(命中), 超斬撃
太陽剣(準備), 発光 赤 Sharara.wav
太陽剣(攻撃), エナジーブレード突撃 赤
太陽剣(命中), エナジーブレード 赤;吸収 赤 BeamShot.wav;BeamCoat.wav
突撃(攻撃), スーパータックル
突撃(命中), スーパータックル Crash.wav
突撃(魔法)(準備), エネルギーフィールド展開
突撃(魔法)(攻撃), 交差ビーム 赤 黄
突撃(魔法)(命中), 交差ビーム 赤 黄 Explode(Small).wav ランダム方向
突撃(弓)(準備), Hittyuu.wav
突撃(弓)(攻撃), 矢連射 MultipleRocketLauncher(Light).wav
突撃(弓)(命中), 乱突
待ち伏せ(準備), Sharara.wav;強風 -.wav
待ち伏せ(攻撃), 斬撃 Swing(2).wav
待ち伏せ(命中), ダメージ Crash.wav
待ち伏せ(魔法)(準備), Sharara.wav;強風 -.wav
待ち伏せ(魔法)(攻撃), 中ビーム ピンク
待ち伏せ(魔法)(命中), 中ビーム ピンク
待ち伏せ(弓)(準備), Sharara.wav;強風 -.wav
待ち伏せ(弓)(攻撃), 矢 AntiAirMissile.wav
待ち伏せ(弓)(命中), 大刺突
飛竜の技(攻撃), 振り上げ
飛竜の技(命中), アッパー Slash.wav;大爆発
疾風の技(準備), Whiz.wav;強風 -.wav
疾風の技(攻撃), 分身斬撃
疾風の技(命中), 斬撃
風水の技(攻撃), エナジーブレード突撃 青
風水の技(命中), 超斬撃
地聖の技(攻撃), 木の葉乱舞
地聖の技(命中), 凍斬撃 Combo.wav
烈風の技(攻撃), スーパータックル
烈風の技(命中), 唐竹割り
竜聖の技(準備), 発光 緑 Sharara.wav
竜聖の技(攻撃), FE_流星剣
竜聖の技(命中), 連斬撃;連斬撃;斬撃
連続の技(準備), ソード
連続の技(攻撃), ソード突撃
連続の技(命中), 連斬撃
破邪(攻撃), 小ビーム 白
破邪(命中), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
盗む(攻撃), タックル
盗む(命中), 刺突 Bow.wav
強盗, スーパータックル 黒
シーフソード, エナジーブレード 黒
瞬殺の技(準備), ナイフ Sword.wav 二刀流
瞬殺の技(攻撃), 斬撃 Swing.wav 二刀流
瞬殺の技(命中), 斬撃 二刀流
瞬殺の技(クリティカル), White.bmp 480 480;2;Slash(3).wav;2;Slash(3).wav;2;Slash.wav;Clear
トライアングルアタック, 同時スーパータックル
########################  アビリティエフェクト  ###########################
変身(使用), 落雷
変身(発動), 能力コピー Sharara.wav
おどる, @戦闘アニメ_バラ吹雪準備  Sharara.wav;決め画像 Common\EFFECT_Heart01.bmp UnitOn.wav 背面
ニニスの守護, 凍結 Sword.wav
ファーラの力, 炎
トォルの怒り, 落雷
セチの祈り, 強風 Sharara.wav
奏でる, 音符
うたう, @戦闘アニメ_ＭＡＰ音符攻撃 Sharara.wav
夢見るうた, @戦闘アニメ_音波攻撃 Sharara.wav
大スターのうた(使用), @戦闘アニメ_Ｍ全投ビーム共通 桃 Sharara.wav 4
大スターのうた(発動), -
虹色の踊り, 粒子集中 赤 Sharara.wav;粒子集中 橙 -.wav;粒子集中 黄 -.wav;粒子集中 緑 Sharara.wav;粒子集中 青 -.wav
########################  攻撃杖系エフェクト  ###########################
ゴーレム召還, 岩
破邪の杖(攻撃), 中ビーム 白 BeamShot.wav
破邪の杖(命中), 中ビーム 白 Glass.wav
☆破邪の杖, ＭＡＰビーム 白 Sharara.wav
########################  回復杖系エフェクト  ###########################
ライブの杖, 回復魔法泡
リライブの杖, 回復魔法
リカバーの杖, 回復魔法;回復魔法泡
リブローの杖(使用), 飛沫 白 Sharara.wav
リブローの杖(発動), 回復魔法泡 Sharara.wav
リザーブの杖(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 4
リザーブの杖(発動), -
聖女の杖(使用), @戦闘アニメ_Ｍ全投ビーム共通 黄 Sharara.wav 4
聖女の杖(発動), -
リカバー, 回復魔法泡
リブロー(使用), 飛沫 白 Sharara.wav
リブロー(発動), 回復魔法泡 Sharara.wav
リザーブ(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 4
リザーブ(発動), -
いやしの杖, 回復魔法泡
遠癒しの杖(使用), 飛沫 白 Sharara.wav
遠癒しの杖(発動), 回復魔法泡 Sharara.wav
レストの杖, エネルギーフィールド展開 Inori.wav 相手ユニット
ハマーンの杖, 時間逆行 Sharara.wav
リペアの杖, 時間逆行 Sharara.wav
キアの杖, 粒子集中 白 Sharara.wav;粒子集中 青 Sharara.wav
リペアハンマー(準備), ウォーハンマー Reload.wav
リペアハンマー(使用), @戦闘アニメ_白兵武器攻撃 Swing.wav
リペアハンマー(発動), 飛沫 白 Sword.wav;飛沫 青 Sword.wav;飛沫 白 Sword.wav
守りの杖, @ＳＰアニメ_鉄壁 相手ユニット 相手ユニット
ちからの杖, 六芒星 赤 Charge.wav
魔力の杖, 五芒星 青 Charge.wav
Ｍアップ, 五芒星 青 Charge.wav
########################  防御エフェクト  ###########################
攻撃無効化(竜の盾), 光バリア Glass.wav 龍の盾
攻撃無効化(マフー), 暗黒バリア BeamCoat.wav マフーの加護
攻撃無効化(銀の盾), バリア Sword.wav 銀の盾
シールド防御(大盾), 結界 青 Glass.wav 大盾
########################  非人間エフェクト  ###########################
霧のブレス(攻撃), 火炎放射 白 Interference.wav
霧のブレス(命中), 火炎放射 白 -.wav
闇のブレス(攻撃), 火炎放射 黒 MicroMissile.wav
闇のブレス(命中), 火炎放射 黒 -.wav
氷のブレス(攻撃), 火炎放射 白 Breath.wav
氷のブレス(命中), 吹雪 Storm.wav
アイビーム, ２連小ビーム 赤
