ＴＦ
変形(トランスフォーム), Transform.wav
クラスター爆弾, ミサイル 2
口径可変式マシンガン, 機関砲
テレポート, テレポート - ワープ
熱源追尾ミサイル, ミサイル 2
ソニックブーム, 強風
ロケットドローン, ミサイル 2
焼夷弾, ミサイル 2
振動ミサイル, ミサイル 2
自動ミサイルランチャー, ミサイル 2
空対空ミサイル, ミサイル 2
対空カセットロン, ２ＷＡＹ射出
対地上カセットロン, ３ＷＡＹ射出
対地上カセットロン(命中), 連打
振動ブラスターガン, ビームライフル 白
ＭＣＭロケットランチャー, 小型ミサイル 6
ソニック・スクリーム, レーザーガン(２) 白
カセットロン一斉攻撃, ２ＷＡＹ射出;_３ＷＡＹ射出
ハンマーアーム, ＭＡＰ地震
レーザーキャノン, ２連中ビーム 紫
モーターキャノン, ２連小ビーム 紫
熱源探知ミサイル, ミサイル 2
電磁刀, 斬撃
ジャイロブラスター, ビームライフル 紫
炸裂弾, キャノン砲
チェーンガン, 内蔵ガトリング
熱源探知振動ミサイル, ミサイル 1
アームワイヤー(準備), -
アームワイヤー(攻撃), 実弾発射 Weapon\EFFECT_IronClaw01.bmp 32 Whiz.wav 有線
アームワイヤー(命中), 打撃 Reload.wav
イオン置換ライフル, ビームライフル 紫
ソーラービーム・ライフル, ビームランチャー 紫
ミサイルドリル, ドリルミサイル
レーザーピストル, レーザーガン(２) 紫
ビームソード, ライトセイバー 紫
衝撃爆弾ランチャー, ミサイル 1
二連ＨＳミサイル, ミサイル 2
赤外線キャノン, キャノン砲
サブマシンガン, 機関砲
セレブロシェル(準備), -
セレブロシェル(攻撃), 小型ミサイル 1
セレブロシェル(命中), 粒子集中 白
追撃砲, キャノン砲
電子工作波, 音波
サンダーアタック, 電撃
サイクロンガン, 旋風
アイオナイザーソード, ソード
エア・コンプレッサーガン, ビームライフル 白
二連エアコンプレッサー砲, ２連小ビーム 白
Ｓショットガン, 拡散ビーム
Ｓショットガン(MAP), 拡散ビーム
二連プラズマキャノン, キャノン砲 2
振動キャノン, ２連小ビーム 白
グラヴィト・ガン, 電撃ランチャー
Ｐエナジーブラスター, ２連小ビーム 紫
ソニック・スタンガン, 音波
フォトン・ミサイル, ミサイル 2
Ｘ線レーザー, 持続ビーム 赤
アイオニックブラスター, ビームライフル 紫
ツインキャノン, キャノン砲 2
ＳＡＴグルー・ガン, レーザーガン(２) 白
竜巻, ＭＡＰ強風
大砲, キャノン砲
エレクトロンガン, 電撃
二連ソニックキャノン, 音波
ジャイロガン, ビームライフル 紫
スキャッター・ブラスター, キャノン砲

総司令官コンボイ
メガトロン・ガンモード(Ｃ)(準備), 射撃武器 TF1_Megatron(G)U.bmp Transform.wav
メガトロン・ガンモード(Ｃ), 超ビーム 紫

総司令官コンボイ(V)
トランスフォームアタック(準備), 変形 Transform.wav TF1_convoyU.bmp
トランスフォームアタック, 拡散ビームライフル

破壊大帝メガトロン
トランスフォームアタック(準備), 変形 Transform.wav TF1_Megatron(G)U.bmp
トランスフォームアタック, 超ビーム 紫
メガトロン・ガンモード(Ｃ)(準備), 変形 Transform.wav TF1_Megatron(G)U.bmp
メガトロン・ガンモード(Ｃ), 超ビーム 紫
メガトロン・ガンモード(ＳＳ)(準備), 変形 Transform.wav TF1_Megatron(G)U.bmp
メガトロン・ガンモード(ＳＳ), 超ビーム 紫
メガトロン・ガンモード(ＳＷ)(準備), 変形 Transform.wav TF1_Megatron(G)U.bmp
メガトロン・ガンモード(ＳＷ), 超ビーム 紫

防衛参謀レーザーウェーブ
トランスフォームアタック(準備), 変形 Transform.wav TF1_Laserwave(G)U.bmp
トランスフォームアタック, 大ビーム 紫

航空参謀スタースクリーム
メガトロン・ガンモード(ＳＳ)(準備), 射撃武器 TF1_Megatron(G)U.bmp Transform.wav
メガトロン・ガンモード(ＳＳ), 超ビーム 紫

情報参謀サウンドウェーブ
メガトロン・ガンモード(ＳＷ)(準備), 射撃武器 TF1_Megatron(G)U.bmp Transform.wav
メガトロン・ガンモード(ＳＷ), 超ビーム 紫
