汎用
攻撃無効化(対鳳龍剣技), $(Call(戦闘アニメ_パターン解除))
景光(命中), Slash.wav
グレイブ, Swing.wav
グレイブ(命中), Stab.wav
切り裂きの剣, Swing.wav
切り裂きの剣(命中), Slash.wav
カシナートの剣, Swing.wav
カシナートの剣(命中), Slash.wav
悪のサーベル, Swing.wav
悪のサーベル(命中), Slash.wav
アヴェンジャー, Swing.wav
アヴェンジャー(命中), Slash.wav
刀, Swing.wav
刀(命中), Slash.wav
早業の短剣, Swing.wav
早業の短剣(命中), Stab.wav
小型弓, Bow.wav
小型弓(命中), Stab.wav
杖, Swing.wav
杖(命中), Punch.wav
堅い杖, Swing.wav
堅い杖(命中), Punch.wav
フレイル, Swing.wav
フレイル(命中), FightHit(3).wav
粉砕のメイス, Swing.wav
粉砕のメイス(命中), FightHit(3).wav
義手, Swing.wav
義手(命中), Stab.wav
カティノ, Whiz.wav
カティノ(命中), -
カティノ(クリティカル), Bubble.wav
マモーリス, Whiz.wav
マモーリス(命中), -
マモーリス(クリティカル), Shock(Low).wav
ハリト, Fire.wav
マハリト, Fire.wav
モリト, Thunder.wav
ダルト, Storm.wav
ラハリト, Fire.wav
マカニト, Interference.wav
マダルト, Storm.wav
ラカニト, Interference.wav
ラカニト(命中), Whiz.wav
ラダルト, Storm.wav
ジルワン(準備), Whiz.wav
ジルワン, Flair.wav
ジルワン(命中), Glass.wav
ティルトウェイト, Explode(Nuclear).wav
ディオス, Sharara.wav
ディアル, Sharara.wav
ディアルマ, Sharara.wav
マディ, Sharara.wav
ディアルコ, Sharara.wav
ラツモフィス, Sharara.wav
バマツ, Whiz.wav
モンティノ(準備), Whiz.wav
モンティノ, -
モンティノ(クリティカル), Chaff.wav
マニフォ, Whiz.wav
マニフォ(クリティカル), Search.wav
バディオス, Whiz.wav
バディアル, Whiz.wav
リトカン, Fire.wav
バディアルマ, Whiz.wav
バディ, Whiz.wav
ロルト, 3;Swing(2).wav;3;Swing(2).wav;3;Swing(2).wav;Swing(2).wav
ロルト(命中), Storm.wav
マバディ, Whiz.wav
マリクト, Inori.wav
ディスペル, Whiz.wav
エナジードレイン, Search.wav
ポーフィック, 5;Hide.wav;Sword.wav
マポーフィック, 5;Hide.wav;Sword.wav

ウィザードリィ・モンスターズ
首斬, Swing.wav
首斬(命中), 2;Stab.wav;Glass.wav
接触, Swing.wav
接触(命中), -
鳳龍爆裂波(準備), Charge.wav
鳳龍爆裂波, Bazooka.wav
鳳龍爆裂波(命中), Explode.wav
剣圧, Swing.wav
剣圧(命中), GunPod.wav
大剣圧, MicroMissile.wav
大剣圧(命中), Explode.wav
ハリト, Fire.wav
マハリト, Fire.wav
ラハリト, Fire.wav
マカニト, Interference.wav
マダルト, Storm.wav
ラカニト, Interference.wav
ジルワン(準備), Whiz.wav
ジルワン, Flair.wav
ジルワン(命中), Glass.wav
ティルトウェイト, Explode(Nuclear).wav
ディオス, Sharara.wav
ディアル, Sharara.wav
ディアルマ, Sharara.wav
マディ, Sharara.wav
ディアルコ, Sharara.wav
ラツモフィス, Sharara.wav
マニフォ(準備), Whiz.wav
マニフォ, -
マニフォ(クリティカル), Search.wav
バディオス, Whiz.wav
バディアル, Whiz.wav
リトカン, Fire.wav
バディアルマ, Whiz.wav
バディ, Whiz.wav
ロルト, 3;Swing(2).wav;3;Swing(2).wav;3;Swing(2).wav;Swing(2).wav
ロルト(命中), Storm.wav
マバディ, Whiz.wav
マリクト, Inori.wav
ディスペル, Whiz.wav
エナジードレイン, Search.wav
