
ウィザードリィ・コミックス
カティノ(攻撃), ＭＡＰ煙 Whiz.wav
鳳龍水月斬(攻撃), 振り下ろし Null.wav;Swing.wav
鳳龍水月斬(命中), クリティカル斬撃 Null.wav;Slash(4).wav
鳳龍千手斬(準備), 日本刀
鳳龍千手斬(攻撃), 連突
鳳龍千手斬(命中), 拡散ビーム 黒 Stab.wav
波動放射, 実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp Whiz.wav
剣圧(攻撃), 斬撃
剣圧(命中), 連続爆発 GunPod.wav
大剣圧(攻撃), 斬撃 Null.wav;実弾発射 Bullet\EFFECT_GroundCutter(Yellow)01.bmp MicroMissile.wav
大剣圧(命中), 大爆発 Explode.wav
幻影陣, 分身斬撃
幻影陣(命中), 分身斬撃
癒しの杖, 魔法放射 ピンク Sharara.wav
義手, 斬撃 Swing.wav
義手(命中), 刺突 Stab.wav
邪波動, ビーム 黒 Bow.wav
邪波動(命中), ビーム 黒 Stab.wav
邪波動連射, 拡散ビーム 黒 Bow.wav;2;Bow.wav;Bow.wav
邪波動連射(命中), 拡散ビーム 黒 Stab.wav;2;Stab.wav;Stab.wav
気斬, BeamSaber.wav;斬撃
気斬(命中), 大刺突 Slash.wav
カシナートの剣, ソード
村正, 日本刀
一文字, 日本刀
兼光, 日本刀
景光, 日本刀
グレイブ, ナギナタ
エクスカリバー, 大剣
首斬(攻撃), デフォルト
首斬(命中), 超斬撃
首斬(とどめ), 横分割
シールド防御(魔力の盾), シールド防御 Shield\EFFECT_BeamShield(Yellow)01.bmp
シールド防御(魔力の大盾), シールド防御 Shield\EFFECT_BeamShield(Blue)01.bmp

ウィザードリィ・モンスターズ
ハリト, 火炎弾
マハリト, 炎投射
ラハリト, 炎投射
マダルト, 吹雪
ラカニト(攻撃), 光投射 白 Interference.wav
ラカニト(命中), 飛沫 白 Whiz.wav
ジルワン(攻撃), 光投射 白 Flair.wav
ジルワン(命中), 魔方陣 白 Null.wav;飛沫 白 Glass.wav
ティルトウェイト(攻撃), 光投射 白 Whiz.wav
ティルトウェイト(命中), 超爆発;@戦闘アニメ_ＭＡＰフラッシュ攻撃 相手ユニットＩＤ
ティルトウェイト(M)(攻撃), ＭＡＰビーム 白;ＭＡＰフラッシュ
ティルトウェイト(M)(命中), 超爆発
モンティノ(攻撃), -
モンティノ(命中), -
マニフォ, Whiz.wav
マニフォ(クリティカル), Search.wav
バディオス, 光投射 黒 Whiz.wav
バディアル, 光投射 黒 Whiz.wav
バディアルマ, 光投射 黒 Whiz.wav
マバディ(攻撃), 魔法放射 黒 Whiz.wav
マバディ(命中), @戦闘アニメ_死神
アヴェンジャー, 呪剣
首斬(攻撃), デフォルト
首斬(命中), 超斬撃
首斬(とどめ), 横分割
鳳龍爆裂波(準備), 日本刀
鳳龍爆裂波(攻撃), 斬撃 Bazooka.wav
鳳龍爆裂波(命中), 爆発
剣圧(攻撃), 斬撃
剣圧(命中), 連続爆発 GunPod.wav
大剣圧(攻撃), 斬撃 Null.wav;実弾発射 Bullet\EFFECT_GroundCutter(Yellow)01.bmp MicroMissile.wav
大剣圧(命中), 大爆発 Explode.wav
