龍虎の拳
極限流連舞拳(命中), Punch(4).wav
ライジングスピア(命中), 7;MachineCannon.wav;Crash.wav
反射(Ｈ・シュートスアグリフ), 4;Slap.wav;1;Swing.wav;Combo.wav
カットストレート(命中), Punch.wav
ダイブドロップ(命中), 4;Swing.wav;Shock(Low).wav
クイックアンダーストレート, Saber.wav
クイックアンダーストレート(命中), Punch.wav
Ｇ・Ｈ・Ｆ・Ｏ(命中), 1.5;Swing.wav;Punch.wav
クイックバックナックル, Saber.wav
クイックバックナックル(命中), Bazooka.wav
Ａ・Ｆ・Ｂ(命中), 1;Swing.wav;2.5;Shock(Low).wav;1;Swing.wav;2.5;Shock(Low).wav;1;Swing.wav;2.5;Shock(Low).wav;1;Swing.wav;2.5;Shock(Low).wav;1;Swing.wav;2.5;Shock(Low).wav;1;Swing.wav;2.5;Shock(Low).wav;1;Swing.wav;Shock(Low).wav
シミター(命中), Slash.wav
ビジョンカッター(準備), 8;BeamSaber.wav;8;BeamSaber.wav;BeamSaber.wav
ビジョンカッター, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
ビジョンカッター(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
回転剣攻撃, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
回転剣攻撃(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
ダイブソード, Swing.wav
ダイブソード(命中), Slash.wav
ハイパーオーラ斬り, BeamSaber.wav
ハイパーオーラ斬り(命中), Slash.wav
反射(跳ね返し), Shock(low).wav
バスターパンチ(命中), Punch.wav
バスターパンチ(命中), 2;Punch.wav;2;Punch.wav;Punch.wav
バスターパンチ(命中), 2;Punch.wav;2;Punch.wav;Bazooka.wav
バスタースルー(命中), 5;BreakOff.wav;4;Swing.wav;Crash.wav
レッドショルダー(命中), Bazooka.wav
アコーズキック(命中), Punch.wav
ブラックアウト, 2;Swing.wav;Storm.wav
ブラックアウト(命中), Crash.wav
