
リョウ＝サカザキ
巴投げ, ブレーンバスター
覇王拳, スーパーパンチ オレンジ
飛燕疾風散撃脚(攻撃), キック
飛燕疾風散撃脚(命中), 乱打;強打 Bazooka.wav
覇王圧挟拳(準備), 同時粒子集中 オレンジ
覇王圧挟拳(攻撃), 同時実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 Beam.wav 残像
覇王圧挟拳(命中), 超爆発 Warship.wav
覇王拡散照射拳(準備), 透明化 UnitID(リョウ＝サカザキ) 反映;周囲回転 AOF_RyoSakazakiU.bmp Swing.wav UnitID(ロバート＝ガルシア)
覇王拡散照射拳(攻撃), 透明化 解除;ＭＡＰビーム オレンジ LaserGun.wav
覇王拡散照射拳(命中), 拡散ビーム オレンジ
覇王翔吼龍虎拳(準備), 同時粒子集中 オレンジ Fire.wav
覇王翔吼龍虎拳(攻撃), 対象指定発射 UnitID(ロバート＝ガルシア) UnitID(リョウ＝サカザキ) Fire\EFFECT_TigerFire_S(Orange)01.bmp 64 発光 残像;竜炎 オレンジ Storm.wav
覇王翔吼龍虎拳(命中), 超爆発
双星龍虎乱舞(準備), 同時光噴出 オレンジ Fire.wav
双星龍虎乱舞(攻撃), 同時スーパーパンチ オレンジ
双星龍虎乱舞(命中), 同時乱打;@戦闘アニメ_同時粒子集中準備 オレンジ Charge(High).wav;@戦闘アニメ_同時実弾発射攻撃 Common\EFFECT_SonicBoom(Orange)01.bmp 96 Beam.wav 残像;超爆発 Warship.wav


ロバート＝ガルシア
首切り投げ, 投げ飛ばし
極限流連舞拳, 連打
龍牙, アッパー
飛燕龍神脚, スーパーキック オレンジ
龍撃拳(攻撃), 気弾 オレンジ Beam.wav
龍撃拳(命中), ダメージ Shock(Low).wav
飛燕疾風脚(攻撃), スーパータックル オレンジ
飛燕疾風脚(命中), 強打 Punch.wav;@戦闘アニメ_キック攻撃;超打 Bazooka.wav
幻影脚(攻撃), 乱突 Saber.wav
幻影脚(命中), 乱打;強打 Bazooka.wav
龍斬翔(攻撃), 格闘
龍斬翔(命中), 打突;連打;@戦闘アニメ_サマーソルト攻撃;0.1;「そりゃあ！！」;振り上げ Crash.wav
龍斬翔(命中), 打突;連打;@戦闘アニメ_サマーソルト攻撃;0.1;「龍斬翔ッ！！」;振り上げ Crash.wav
覇王翔吼拳(準備), 粒子集中 オレンジ
覇王翔吼拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 MultipleRocketLauncher.wav 残像
覇王翔吼拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 MultipleRocketLauncher.wav 残像
覇王翔吼拳(命中), 超爆発
龍虎乱舞(準備), 粒子集中 オレンジ;オーラ上昇 Evileye.wav
龍虎乱舞(攻撃), @戦闘アニメ_テレポート発動 Charge(high).wav " "
龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;乱打 Glass.wav;@戦闘アニメ_アッパー攻撃 Storm.wav;振り上げ Crash.wav
ハイテンションキック, キック
勾龍降脚蹴り, キック
極限流連舞脚(攻撃), タックル
極限流連舞脚(命中), ダメージ Punch.wav;@戦闘アニメ_タックル攻撃;ダメージ Punch.wav;@戦闘アニメ_キック攻撃;アッパー Punch.wav
旋燕連舞脚(攻撃), 打突
旋燕連舞脚(命中), ダメージ Punch.wav;@戦闘アニメ_打突攻撃;ダメージ Punch.wav;@戦闘アニメ_スピンキック攻撃;アッパー Punch.wav
飛燕旋風脚(攻撃), 連続なぎ払い
飛燕旋風脚(命中), 連続なぎ払い Punch.wav
龍撃閃(攻撃), なぎ払い;実弾発射 DGoods\EFFECT_CompactDisk01.bmp Beam.wav
龍撃閃(命中), ダメージ Shock(Low).wav
無影疾風重段脚(攻撃), キック
無影疾風重段脚(命中), 乱突 AntiAirMissile.wav;@戦闘アニメ_サマーソルト攻撃;振り上げ Crash.wav
無影旋風十段脚(攻撃), キック
無影旋風十段脚(命中), 超アッパー;@戦闘アニメ_乱突攻撃 AntiAirMissile.wav;乱突 AntiAirMissile.wav;強打 Crash.wav
背牙龍(攻撃), 打突
背牙龍(命中), ダメージ Shock(Low).wav;@戦闘アニメ_超アッパー攻撃 Storm.wav;乱打
九頭龍閃(攻撃), サマーソルト Saber.wav;サマーソルト Saber.wav;サマーソルト Saber.wav
九頭龍閃(命中), 振り上げ Inori.wav;振り上げ Inori.wav;振り上げ Inori.wav
覇王圧挟拳(準備), 同時粒子集中 オレンジ
覇王圧挟拳(攻撃), 同時実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 Beam.wav 残像
覇王圧挟拳(命中), 超爆発 Warship.wav
覇王拡散照射拳(準備), 透明化 UnitID(ロバート＝ガルシア) 反映;周囲回転 AOF_RobertGarciaU.bmp Swing.wav UnitID(リョウ＝サカザキ)
覇王拡散照射拳(攻撃), 透明化 解除;ＭＡＰビーム オレンジ LaserGun.wav
覇王拡散照射拳(命中), 拡散ビーム オレンジ
覇王翔吼龍虎拳(準備), 同時粒子集中 オレンジ Fire.wav
覇王翔吼龍虎拳(攻撃), 対象指定発射 UnitID(リョウ＝サカザキ) UnitID(ロバート＝ガルシア) Fire\EFFECT_DragonFire_S(Orange)01.bmp 64 発光 残像;虎炎 オレンジ Storm.wav
覇王翔吼龍虎拳(命中), 超爆発
双星龍虎乱舞(準備), 同時光噴出 オレンジ Fire.wav
双星龍虎乱舞(攻撃), 同時スーパーパンチ オレンジ
双星龍虎乱舞(命中), 同時乱打;@戦闘アニメ_同時粒子集中準備 オレンジ Charge(High).wav;@戦闘アニメ_同時実弾発射攻撃 Common\EFFECT_SonicBoom(Orange)01.bmp 96 Beam.wav 残像;超爆発 Warship.wav


ユリ＝サカザキ
燕翼, タックル
燕舞脚, 連打
雷煌拳(攻撃), 気弾 ピンク Beam.wav
雷煌拳(命中), 火柱 Explode.wav
虎煌拳(攻撃), 気弾 ピンク Beam.wav
虎煌拳(命中), ダメージ Shock(Low).wav
砕破(攻撃), 突く武器突撃 Common\EFFECT_SonicBoom(Pink)02.bmp
砕破(命中), ダメージ
百烈ビンタ(攻撃), 打撃突撃
百烈ビンタ(命中), 乱打;強打 Whip.wav
覇王翔吼拳(準備), 粒子集中 ピンク
覇王翔吼拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Pink)01.bmp 96 MultipleRocketLauncher.wav 残像
覇王翔吼拳(命中), 超爆発
飛燕鳳凰脚(準備), オーラ上昇 ピンク Charge.wav
飛燕鳳凰脚(攻撃), 打撃突撃
飛燕鳳凰脚(命中), 連打;@戦闘アニメ_サマーソルト攻撃 Combo.wav;超打 Inori.wav
空牙(攻撃), アッパー
空牙(命中), アッパー;0.1;「だぼぉー！」;@戦闘アニメ_アッパー攻撃;アッパー
飛燕疾風拳, スーパーパンチ ピンク
飛燕旋風脚(攻撃), 連続なぎ払い
飛燕旋風脚(命中), 連続なぎ払い Punch.wav
飛燕烈孔(攻撃), タックル
飛燕烈孔(命中), @戦闘アニメ_超アッパー攻撃;超アッパー Bazooka.wav;1;@戦闘アニメ_超アッパー攻撃;超アッパー Bazooka.wav;1;@戦闘アニメ_超アッパー攻撃;超アッパー Bazooka.wav
滅鬼斬空牙(攻撃), 超アッパー
滅鬼斬空牙(命中), 打撃 Punch.wav;ダメージ Punch.wav;超アッパー Explode.wav


タクマ＝サカザキ
ビルトアッパー, アッパー
鬼神激, 連打
虎煌拳(攻撃), 気弾 オレンジ Beam.wav
虎煌拳(命中), ダメージ Shock(Low).wav
飛燕疾風脚(攻撃), スーパータックル オレンジ
飛燕疾風脚(命中), 強打 Punch.wav;@戦闘アニメ_キック攻撃;超打 Bazooka.wav
暫烈拳(攻撃), 乱打
暫烈拳(命中), 乱打;強打 Bazooka.wav
翔乱脚(攻撃), 打撃突撃
翔乱脚(命中), 立ち固め FightHit(1).wav 4 速;超打 Crash.wav
覇王至高拳(準備), 粒子集中 オレンジ
覇王至高拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 MultipleRocketLauncher(Light).wav 残像
覇王至高拳(命中), 超爆発
龍虎乱舞(準備), 粒子集中 オレンジ;オーラ上昇 Evileye.wav
龍虎乱舞(攻撃), @戦闘アニメ_テレポート発動 Charge(high).wav " "
龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;0.1;「<BIG><B>覇王至高拳！！</B></BIG>」;@戦闘アニメ_波動放射攻撃 残像 オレンジ MultipleRocketLauncher(Light).wav;超爆発
龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;0.1;「<BIG><B>トドメじゃあッ！！</B></BIG>」;@戦闘アニメ_波動放射攻撃 残像 オレンジ MultipleRocketLauncher(Light).wav;超爆発
虎咆, アッパー
猛虎無頼岩(準備), 音再生 Flair.wav
猛虎無頼岩(攻撃), 打突
猛虎無頼岩(命中), 強打 Bazooka.wav
真・鬼神撃(準備), 粒子集中 ブルー
真・鬼神撃(攻撃), 打突
真・鬼神撃(命中), ダメージ Bazooka.wav;1;@戦闘アニメ_打突攻撃;ダメージ Shock(low).wav;1;@戦闘アニメ_打突攻撃;ダメージ Explode.wav
極限虎咆(準備), 粒子集中 ブルー
極限虎咆(攻撃), 超アッパー Bazooka.wav
極限虎咆(命中), 超アッパー Explode(Nuclear).wav
超覇王至高拳(準備), 粒子集中 ブルー
超覇王至高拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 Bazooka.wav 残像 速;1;実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 Bazooka.wav 残像 速;1;実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 Bazooka.wav 残像 速
超覇王至高拳(命中), 超爆発
超龍虎乱舞(準備), 粒子集中 ブルー;オーラ上昇 Evileye.wav
超龍虎乱舞(攻撃), @戦闘アニメ_テレポート発動 Charge(high).wav " "
超龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;0.1;「<BIG><B>せゃああああーっ！！</B></BIG>」;@戦闘アニメ_波動放射攻撃 残像 ブルー Bazooka.wav;@戦闘アニメ_波動放射攻撃 残像 ブルー Bazooka.wav;@戦闘アニメ_波動放射攻撃 残像 ブルー Bazooka.wav;超爆発 Explode(Nuclear).wav


Ｍｒ．カラテ
ビルトアッパー, アッパー
鬼神激, 連打
虎煌拳(攻撃), 気弾 ブルー Beam.wav
虎煌拳(命中), ダメージ Shock(Low).wav
飛燕疾風脚(攻撃), スーパータックル ブルー
飛燕疾風脚(命中), 強打 Punch.wav;@戦闘アニメ_キック攻撃;超打 Bazooka.wav
暫烈拳(攻撃), 乱打
暫烈拳(命中), 乱打;強打 Bazooka.wav
翔乱脚(攻撃), 打撃突撃
翔乱脚(命中), 立ち固め FightHit(1).wav 4 速;超打 Crash.wav
覇王翔吼拳(準備), 粒子集中 ブルー
覇王翔吼拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 MultipleRocketLauncher.wav 残像
覇王翔吼拳(命中), 超爆発
覇王至高拳(準備), 粒子集中 オレンジ
覇王至高拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 96 MultipleRocketLauncher(Light).wav 残像
覇王至高拳(命中), 超爆発
龍虎乱舞(準備), 粒子集中 ブルー;オーラ上昇 Evileye.wav
龍虎乱舞(攻撃), @戦闘アニメ_緊急テレポート発動 Charge(high).wav ""
龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;乱打 Glass.wav;@戦闘アニメ_超アッパー攻撃 Storm.wav;超アッパー Crash.wav
虎咆, アッパー
猛虎無頼岩(準備), 音再生 Flair.wav
猛虎無頼岩(攻撃), 打突
猛虎無頼岩(命中), 強打 Bazooka.wav
真・鬼神撃(準備), 粒子集中 ブルー
真・鬼神撃(攻撃), 打突
真・鬼神撃(命中), ダメージ Bazooka.wav;1;@戦闘アニメ_打突攻撃;ダメージ Shock(low).wav;1;@戦闘アニメ_打突攻撃;ダメージ Explode.wav
極限虎咆(準備), 粒子集中 ブルー
極限虎咆(攻撃), 超アッパー Bazooka.wav
極限虎咆(命中), 超アッパー Explode(Nuclear).wav
超覇王至高拳(準備), 粒子集中 ブルー
超覇王至高拳(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 Bazooka.wav 残像 速;1;実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 Bazooka.wav 残像 速;1;実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp 96 Bazooka.wav 残像 速
超覇王至高拳(命中), 超爆発
超龍虎乱舞(準備), 粒子集中 ブルー;オーラ上昇 Evileye.wav
超龍虎乱舞(攻撃), @戦闘アニメ_テレポート発動 Charge(high).wav " "
超龍虎乱舞(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;0.1;「<BIG><B>せゃああああーっ！！</B></BIG>」;@戦闘アニメ_波動放射攻撃 残像 ブルー Bazooka.wav;@戦闘アニメ_波動放射攻撃 残像 ブルー Bazooka.wav;@戦闘アニメ_波動放射攻撃 残像 ブルー Bazooka.wav;超爆発 Explode(Nuclear).wav


藤堂竜白
藤堂流古武術(攻撃), 格闘
藤堂流古武術(命中), ダメージ
藤堂流古武術(命中), 打撃
藤堂流古武術(命中), 強打
重ね当て(攻撃), 振り下ろし;実弾発射 Laser\EFFECT_EnergyBlade(Pink)03.bmp AntiAirMissile.wav 残像
重ね当て(命中), ダメージ Shock(low).wav
白山桃, アッパー
扇溝流し, 連打
竜巻槍打, 連打
殺拳陰打(攻撃), 打突
殺拳陰打(命中), 強打 Glass.wav
殺掌陰蹴(攻撃), タックル
殺掌陰蹴(命中), 強打 Glass.wav
滅身無投, 投げ飛ばし
半身・諸手返し, 投げ飛ばし
盟王武雷陣(準備), 光噴出 Wind.wav
盟王武雷陣(攻撃), 振り下ろし;実弾発射 Laser\EFFECT_EnergyBlade(Blue)03.bmp 64 MultipleRocketLauncher.wav 残像
盟王武雷陣(命中), ダメージ Crash.wav
不知火(攻撃), 打突
不知火(命中), 電撃 Inori.wav;飛沫 ホワイト Glass.wav
心眼・葛落とし(準備), フェイスアップ AOF_TodohRyuhaku.bmp Saber.wav 衝撃
心眼・葛落とし(攻撃), 投げ飛ばし
心眼・葛落とし(命中), ビームサーベル ホワイト Saber.wav 対象ユニットＩＤ;投げ飛ばし;@戦闘アニメ_打突攻撃;ダメージ レッド Bazooka.wav


ジャック＝ターナー
スライディング, キック
ボンバーダンス(攻撃), 連打
ボンバーダンス(命中), 打撃;打撃;アッパー;強打
極ナックルパート, スーパーパンチ イエロー
ブレインショックバット(準備), 音再生 BreakOff.wav
ブレインショックバット(攻撃), ヘッドバット
ブレインショックバット(命中), 立ち固め 5 Crash.wav
スーパードロップキック(攻撃), キック Whiz.wav
スーパードロップキック(命中), 超打 Shock(low).wav
ダイナマイトラリアート, スーパーパンチ イエロー
極ヒップアタック(攻撃), 急降下
極ヒップアタック(命中), 急降下;踏み潰し Bazooka.wav
ヘルダイビング(攻撃), 投げ飛ばし
ヘルダイビング(命中), 投げ飛ばし;@戦闘アニメ_スピンジャンプアタック攻撃;スピンジャンプアタック
ジャイアントプレス(攻撃), スーパーキック
ジャイアントプレス(命中), スーパーキック BreakOff.wav;投げ飛ばし


リー＝パイロン
華中猛腕脚(攻撃), 連打
華中猛腕脚(命中), 連打;@戦闘アニメ_キック攻撃;打撃
華中鷹爪激(攻撃), 急降下
華中鷹爪激(命中), 急降下 Slash.wav
百烈拳(攻撃), 乱突
百烈拳(命中), 乱突 Punch.wav
鉄の爪(準備), クロー Sword.wav 二刀流
鉄の爪(攻撃), 連続なぎ払い
鉄の爪(命中), 爪撃 二刀流 連続
百烈旋風脚(攻撃), 打撃突撃
百烈旋風脚(命中), 打撃突撃
真空空転爪(準備), クロー Sword.wav 二刀流;旋風;透明化
真空空転爪(攻撃), 竜巻
真空空転爪(命中), 竜巻 Slash.wav
華中飛猿爪(準備), クロー Sword.wav 二刀流;旋風;透明化
華中飛猿爪(攻撃), 回転投擲武器 AOF_LeePaiLongU.bmp
華中飛猿爪(命中), 唐竹割り;唐竹割り;唐竹割り;唐竹割り
飛翔旋風撃(準備), 光噴出 Wind.wav
飛翔旋風撃(攻撃), 急降下 Saber.wav
飛翔旋風撃(命中), 急降下 Slash.wav;風 Slash.wav;連続なぎ払い Slash.wav;強風 Slash.wav


キング(龍虎の拳)
烈風脚(攻撃), 連突 Saber.wav
烈風脚(命中), 連打;@戦闘アニメ_なぎ払い攻撃;ダメージ Punch.wav
猛襲脚(攻撃), 連突 Swing.wav
猛襲脚(命中), 連打;@戦闘アニメ_キック攻撃;ダメージ Punch.wav
跳び二段蹴り(攻撃), スーパータックル ブルー
跳び二段蹴り(命中), ダメージ Punch.wav;強打 Bazooka.wav
トルネードキック(攻撃), スピンキック
トルネードキック(命中), なぎ払い Punch.wav;振り下ろし Bazooka.wav
トラップショット(攻撃), サマーソルト
トラップショット(命中), アッパー;@戦闘アニメ_連突攻撃 Saber.wav;乱打
ベノムストライク(攻撃), キック;実弾発射 Bullet\EFFECT_AuraBall(Red)01.bmp Beam.wav 速
ベノムストライク(命中), 飛沫 レッド Explode(Small).wav
ダブルストライク(攻撃), キック;実弾発射 Bullet\EFFECT_AuraBall(Red)01.bmp Beam.wav 速
ダブルストライク(命中), 飛沫 レッド Explode.wav
サプライズローズ(攻撃), スーパーキック 前転
サプライズローズ(命中), スーパーキック Combo.wav;肩乗り Punch.wav 1 速;スーパーキック Combo.wav
ミラージュキック(攻撃), タックル
ミラージュキック(命中), 連打
ミラージュダンス(攻撃), タックル
ミラージュダンス(命中), 連打
イリュージョンダンス(攻撃), バック転 Saber.wav;透明化;回転発射 AOF_KingU.bmp 速
イリュージョンダンス(命中), 連打 FightHit(1).wav;ダメージ 連続 Punch.wav;連続なぎ払い FightHit(2).wav;強打 Bazooka.wav
サイレントフラッシュ(攻撃), バック転
サイレントフラッシュ(命中), アッパー Punch.wav;@戦闘アニメ_反転上昇攻撃;アッパー Combo.wav
ブラッディダンス(準備), 光噴出 イエロー
ブラッディダンス(攻撃), タックル
ブラッディダンス(命中), 連打 FightHit(1).wav;乱打 FightHit(2).wav;@戦闘アニメ_スーパーパンチ攻撃 イエロー;超打


男装キング(龍虎の拳)
烈風脚(攻撃), 連突 Saber.wav
烈風脚(命中), 連打;@戦闘アニメ_なぎ払い攻撃;ダメージ Punch.wav
猛襲脚(攻撃), 連突 Swing.wav
猛襲脚(命中), 連打;@戦闘アニメ_キック攻撃;ダメージ Punch.wav
跳び二段蹴り(攻撃), スーパータックル ブルー
跳び二段蹴り(命中), ダメージ Punch.wav;強打 Bazooka.wav
トルネードキック(攻撃), スピンキック
トルネードキック(命中), なぎ払い Punch.wav;振り下ろし Bazooka.wav
トラップショット(攻撃), サマーソルト
トラップショット(命中), アッパー;@戦闘アニメ_連突攻撃 Saber.wav;乱打
ベノムストライク(攻撃), キック;実弾発射 Bullet\EFFECT_AuraBall(Red)01.bmp Beam.wav 速
ベノムストライク(命中), 飛沫 レッド Explode(Small).wav
ダブルストライク(攻撃), キック;実弾発射 Bullet\EFFECT_AuraBall(Red)01.bmp Beam.wav 速
ダブルストライク(命中), 飛沫 レッド Explode.wav
サプライズローズ(攻撃), スーパーキック 前転
サプライズローズ(命中), スーパーキック Combo.wav;肩乗り Punch.wav 1 速;スーパーキック Combo.wav
ミラージュキック(攻撃), タックル
ミラージュキック(命中), 連打
ミラージュダンス(攻撃), タックル
ミラージュダンス(命中), 連打
イリュージョンダンス(攻撃), バック転 Saber.wav;透明化;回転発射 AOF_KingU.bmp 速
イリュージョンダンス(命中), 連打 FightHit(1).wav;ダメージ 連続 Punch.wav;連続なぎ払い FightHit(2).wav;強打 Bazooka.wav
サイレントフラッシュ(攻撃), バック転
サイレントフラッシュ(命中), アッパー Punch.wav;@戦闘アニメ_反転上昇攻撃;アッパー Combo.wav
ブラッディダンス(準備), 光噴出 イエロー
ブラッディダンス(攻撃), タックル
ブラッディダンス(命中), 連打 FightHit(1).wav;乱打 FightHit(2).wav;@戦闘アニメ_スーパーパンチ攻撃 イエロー;超打


ミッキー＝ロジャース
コンビネーション, 連打
チョッピングライト(準備), 風 Swing.wav
チョッピングライト(攻撃), スーパーパンチ オレンジ
チョッピングライト(命中), 打突 Punch.wav
クレイジーアッパー(攻撃), アッパー Drill.wav
クレイジーアッパー(命中), アッパー Crash.wav
ローリングアッパー(攻撃), 振り上げ;地表衝撃波 レッド Inori.wav
ローリングアッパー(命中), 光噴出 レッド Crash.wav
バーニングアッパー(攻撃), アッパー;光弾 レッド AntiAirMissile.wav
バーニングアッパー(命中), ダメージ Shock(low).wav
プラネットゲイル(攻撃), 連打;旋風 レッド;旋風 レッド
プラネットゲイル(命中), 旋風 レッド Crash.wav;旋風 レッド Crash.wav
ラッシュボンバー(準備), 光噴出 レッド Fire.wav
ラッシュボンバー(攻撃), タックル Saber.wav
ラッシュボンバー(命中), 乱打 Punch.wav;@戦闘アニメ_スーパーパンチ攻撃 オレンジ;超打 Crash.wav
バーニングラッシュ(準備), 光噴出 イエロー
バーニングラッシュ(攻撃), タックル Saber.wav
バーニングラッシュ(命中), 乱打 Punch.wav;@戦闘アニメ_アッパー攻撃;@戦闘アニメ_光弾攻撃 Beam.wav;ダメージ Shock(low).wav


ジョン＝クローリー
メガスマッシュ, 小ビーム イエロー
オーバードライブキック(攻撃), 連突
オーバードライブキック(命中), 連打;強打
フライングアタック(攻撃), 急降下 Flyby.wav
フライングアタック(命中), 急降下;連打
スパイラルレッグボマー, スーパーキック
メガスマッシャー(準備), 粒子集中 イエロー;投擲武器 Common\EFFECT_LightningBall03.bmp BeamSaber.wav
メガスマッシャー(攻撃), 球電 Beam.wav
メガスマッシャー(命中), ダメージ Explode.wav
アトミックスマッシュ(攻撃), 乱打 Beam.wav
アトミックスマッシュ(命中), 拡散ビーム イエロー
スピニングラッシュ(準備), 光噴出 イエロー
スピニングラッシュ(攻撃), タックル
スピニングラッシュ(命中), 連打 FightHit(2).wav;連突 Punch.wav;@戦闘アニメ_急降下攻撃 Bow.wav;急降下 Storm.wav;強風 FightHit(1).wav


Ｍｒ．ＢＩＧ
ローリングスピア(準備), 警棒突撃 二刀流
ローリングスピア(攻撃), 警棒突撃 二刀流
ローリングスピア(命中), 連打
ドラムショット(攻撃), 警棒突撃 二刀流
ドラムショット(命中), 乱打
スピニングランサー(準備), 警棒 二刀流;鉄パイプ Sword.wav
スピニングランサー(攻撃), 連続なぎ払い
スピニングランサー(命中), 連打 Crash.wav;刺突 Bazooka.wav
グランドブラスター, 地表衝撃波 イエロー
クロスダイビング(攻撃), 打撃突撃 Swing(2).wav
クロスダイビング(命中), 打撃突撃 Crash.wav
ブラスターウェーブ(準備), 放電
ブラスターウェーブ(攻撃), ２連ショックビーム
ブラスターウェーブ(命中), ２連ショックビーム
ライジングスピア(準備), 警棒 二刀流
ライジングスピア(攻撃), アッパー
ライジングスピア(命中), 背負い固め 6 速 Punch.wav;落下
クレイジードラム(攻撃), 警棒突撃 二刀流
クレイジードラム(命中), 乱打
カリフォルニアロマンス(攻撃), 警棒突撃 二刀流
カリフォルニアロマンス(命中), @戦闘アニメ_アッパー攻撃 Combo.wav;アッパー Bazooka.wav
ライトニングクロス(準備), 光噴出 イエロー
ライトニングクロス(攻撃), スーパーパンチ ブルー Beam.wav
ライトニングクロス(命中), ダメージ ブルー Crash.wav
ドラムショットタイフーン(準備), 警棒突撃 二刀流
ドラムショットタイフーン(攻撃), 警棒突撃 二刀流
ドラムショットタイフーン(命中), 連打;連突 Punch.wav;振り上げ Whip.wav;斬撃 Sword.wav;なぎ払い Shock(low).wav;唐竹割り Crash.wav


如月影二
反射(流影陣), 反射 BeamCoat.wav 流影陣
如月流連拳脚, スピンキック
如月流連拳脚(命中), 打突;@戦闘アニメ_浴びせ蹴り攻撃;打突
流影陣(攻撃), なぎ払い BeamSaber.wav
流影陣(命中), ダメージ Slash.wav
骨破斬り(攻撃), タックル Saber.wav
骨破斬り(命中), @戦闘アニメ_なぎ払い攻撃;横大斬撃
天馬脚(攻撃), スーパーキック Swing(2).wav
天馬脚(命中), スーパーキック Combo.wav
気孔砲(攻撃), タックル
気孔砲(命中), 小ビーム イエロー Bazooka.wav
霞み斬り(攻撃), 斬撃
霞み斬り(命中), ビームサーベル イエロー Inori.wav
斬鉄破(攻撃), 振り下ろし;実弾発射 Bullet\EFFECT_ShootingCutter(Yellow)01.bmp AntiAirMissile.wav
斬鉄破(命中), 大斬撃
斬鉄蟷螂拳(準備), オーラ上昇 グリーン Charge.wav
斬鉄蟷螂拳(攻撃), 打撃突撃
斬鉄蟷螂拳(命中), 連続なぎ払い;連打;@戦闘アニメ_斬撃攻撃;ビームサーベル イエロー Inori.wav
闇狩り(攻撃), @戦闘アニメ_テレポート発動 Swing(2).wav " ";透明化 対象ユニットＩＤ 反映;センタリング 相手ユニットＩＤ
闇狩り(命中), Event\Black.bmp 480 480 保持;1;大斬撃 Slash.wav;1;Event\Black.bmp 480 480;横大斬撃 Slash.wav;1;Event\Black.bmp 480 480;唐竹割り Inori.wav


テムジン(龍虎の拳)
シールド防御(蒙古気弾壁), バリア Shock(low).wav 蒙古気弾壁
蒙古連撃拳(攻撃), タックル
蒙古連撃拳(命中), タックル;打突;打突;強打
蒙古竜巻激(攻撃), 透明化 対象ユニットＩＤ;実弾発射 AOF_TemjinU.bmp
蒙古竜巻激(命中), 連打;透明化 対象ユニットＩＤ 解除
蒙古大車輪投げ, スクリューバックドライバー
蒙古雷撃弾, ジャンプバスター
蒙古猛烈破砕弾, スーパータックル
