

本田飛鳥
フリッカー(命中), Punch.wav
ぶちかましラリアット(命中), Punch.wav
ぶちかましクラッシュ(命中), Punch.wav
キャシイ・ボム(命中), Shock(Low).wav
いてこまし・スペシャル(命中), 16;Punch(4).wav;16;Punch(4).wav;16;Punch(4).wav;16;Punch(4).wav;16;Punch(4).wav
キャシィ・エリアルスラム(命中), 4;Punch.wav;4;Punch.wav;4;Punch.wav


北条虎美
下段前蹴り(命中), Punch.wav
正拳(命中), Punch.wav
足甲砕き(命中), Punch.wav
真空飛び足刀(命中), Punch.wav
覇王拳(命中), Punch.wav
飛び膝踵落とし(命中), Punch(2).wav
双龍拳(命中), Punch(4).wav
雷龍覇王拳(命中), Punch(3).wav
雷龍閃斧(命中), Punch(4).wav
雷龍衝撃波, Thunder.wav
雷龍無双(命中), Combo.wav
雷龍降臨脚(命中), Punch(3).wav


新堂環
ボレークイック(命中), Punch.wav
攻撃・Ｖ(命中), Punch(2).wav
要撃・Ｖ(命中), Punch(2).wav
迎撃・Ｖ(命中), Punch(2).wav
百裂サーブ, Swing.wav
百裂サーブ(命中), Punch.wav
ロブ落とし, Swing.wav
ロブ落とし(命中), Punch.wav
ダイマナイトサーブ, Swing.wav
ダイマナイトサーブ(命中), Punch(3).wav
勝利のＶ, Swing.wav
勝利のＶ(命中), Punch(4).wav
真・ロブ落とし, Swing.wav
真・ロブ落とし(命中), Punch(3).wav
ヴィクトリーダンス, Swing.wav
ヴィクトリーダンス(命中), 8;Punch(2).wav;8;Punch(2).wav;8;Punch(2).wav
ハードヒットフラッシュ(命中), Punch.wav


川崎忍
特攻キック(命中), Punch.wav
番長バズーカ(命中), Punch.wav
番長・秘密パンチ(命中), Punch.wav
番長・秘密パンチ改(命中), Punch.wav
番長ストライカー(命中), Punch.wav
番長トルネード(命中), Punch(3).wav
番長ダイナマイト(命中), Punch(2).wav
必殺メガトンスラッシュ(命中), Punch(3).wav
必殺メガトンパイル(命中), Punch(3).wav
必殺メガトンバズーカ(命中), Punch(4).wav
必殺メガトンダイナマイト(命中), Punch(4).wav
必殺メガトンブレイク(命中), Combo.wav


扇ヶ谷鉄子
遠心破砕拳, Bow.wav
遠心破砕拳(命中), Explode(Small).wav
マッハ・ジャブ(命中), Punch(4).wav
扇ヶ谷・コンビネーション(命中), Punch(3).wav
インパクトチャージ(命中), 8;Punch(2).wav;4;Punch.wav
フェノメノン・クラッシュ, Swing.wav
フェノメノン・クラッシュ(命中), Explode(Small).wav
遠心連殺拳, Bow.wav
遠心連殺拳(命中), Explode.wav
インパクトラッシュ, Swing.wav
インパクトラッシュ(命中), Combo.wav
超フェノメノン・クラッシュ, Swing.wav
超フェノメノン・クラッシュ(命中), Explode.wav
超ケミカルインパクト(命中), Combo.wav


新堂源一郎
乾坤一擲(命中), Punch.wav
疾風怒涛(命中), Punch(3).wav
質実剛拳(命中), Punch.wav
因果応報(命中), Punch(3).wav
臥龍点睛(命中), Punch(4).wav
泰山鳴動(命中), Punch(4).wav
一騎当千(命中), 12;Punch(3).wav;12;Punch(3).wav;12;Punch(3).wav;4;Punch.wav


古館伊知子
熱狂！パワフルシュート, Swing.wav
熱狂！パワフルシュート(命中), Slash.wav
突撃！インタビューアタック(命中), Punch.wav
強烈！ハッスルレポーター(命中), Punch(2).wav
無謀！パニックレポーター(命中), Punch(4).wav
恐怖！パイナップルボンバー, Swing.wav
恐怖！パイナップルボンバー(命中), Explode.wav
必勝！パワフルフォース, Swing.wav
必勝！パワフルフォース(命中), 4;Slash.wav;4;Slash.wav;4;Slash.wav


忍者歴史同好会
モデルガン, Bow.wav
モデルガン(命中), Punch.wav
集中砲火２, Bow.wav
集中砲火２(命中), Punch.wav
集中砲火３, Bow.wav
集中砲火３(命中), Punch.wav
集中砲火４, Bow.wav
集中砲火４(命中), Punch.wav


