
汎用
スーパーキノコ, 5;Mario_PowerUp.wav
グースカ(準備), MouseWhisle.wav
グースカ(攻撃), 実弾発射 SMW_Gooska(W)U.bmp Bubble.wav;実弾発射 SMW_Gooska(W)U.bmp Bubble.wav;実弾発射 SMW_Gooska(W)U.bmp Bubble.wav
グースカ(命中), 乱打
岩(準備), 殴打武器 DGoods\EFFECT_Shovel01.bmp
岩(攻撃), 回転投擲武器 Weapon\EFFECT_Rock01.bmp 遅 Shock(Low).wav
# クッパファミリー
ブレス(攻撃), 火炎放射 赤 AntiShipMissile.wav
ブレス(命中), 火炎放射 赤 Fire.wav
メカクッパ(攻撃), 投擲武器 SMW_MekaKoopaU.bmp;投擲武器 SMW_MekaKoopaU.bmp
火の玉(６発)(攻撃), キャノン砲 6 Breath.wav
火の玉(６発)(命中), 炎
鉄球(準備), 振る武器 Weapon\EFFECT_IronBall01.bmp
鉄球(攻撃), 実弾発射 Weapon\EFFECT_IronBall01.bmp Bazooka.wav
鉄球(命中), 強打
プチブレス(攻撃), 火炎放射 赤 Breath.wav
プチブレス(命中), 火炎放射 赤 Fire.wav
スピンアタック, スーパータックル 白 Drill.wav
リング(攻撃), 回転投擲武器 EFFECT_SMB3_Ring.bmp Sharara.wav
ボール(攻撃), 回転投擲武器 EFFECT_SMB3_Ball.bmp
砲台, キャノン砲
回転砲台(攻撃), キャノン砲;4;Reload.wav;キャノン砲
回転砲台(命中), 爆発
巨大砲台(攻撃), 実弾発射 Weapon\EFFECT_IronBall01.bmp Bazooka.wav
巨大砲台(命中), 大爆発
バーナー(攻撃), 火炎放射 赤 Breath.wav
バーナー(命中), 炎
# 解説集
マントガメ(解説), $(ユニット)はマントガメを口笛で呼び寄せた。
グースカ(解説), $(ユニット)はグースカを口笛で呼び寄せた。
バブル(解説), $(ユニット)は攻撃を仕掛けた。
ガリガリ(解説), $(ユニット)は攻撃を仕掛けた。
ガリガリ<M>(解説), $(ユニット)は攻撃を仕掛けた。
グルグル(解説), $(ユニット)は攻撃を仕掛けた。
グルグル<M>(解説), $(ユニット)は攻撃を仕掛けた。
フィッシング(解説), $(ユニット)は相手を釣ろうとした。

