
########　・体術
パンチ,			 700,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
かめごうら割り,		1800,  1,  1,  +15,   -,  50, 110, AAAA,  +20, 武劣
疾風打,			1900,  1,  1,   +0,   -,  40, 115, AAAA,  +10, 武魔射
からすとうさぎ,		2100,  1,  1,   +0,   -,  60, 120, AAAA,   +0, 武即


########　・弓技
狩人の弓,		1000,  1,  4,  -10,  20,   -,   -, AACA,   +0, 実格共
レンジャーボウ,		1000,  1,  4,  -10,  20,   -,   -, AACA,   +0, 実格共
エルダーボウ,		1100,  1,  4,  -10,  20,   -,   -, AACA,   +0, 実格共
妖精王のリラ,		1200,  1,  4,  -10,  20,   -,   -, AACA,   +0, 実格共

でたらめ矢,		1000,  1,  3,  -20,  10,  10,   -, AACA,   +0, 実格共Ｍ投L1
狙い撃ち,		1200,  1,  4,   +5,  20,   5,   -, AACA,   +0, 実格共
アローレイン,		1200,  1,  3,  -10,  10,  25,   -, AACA,   +0, 実格共Ｍ投L1
毒矢,			1100,  1,  4,  -10,  20,  10,   -, AACA,  +20, 魔実毒共
バードハンティング,	1300,  1,  4,  -10,  20,  10,   -, AACA,   +5, 魔実火共獣
イド・ブレイク,		1400,  1,  4,  -15,  20,  15,   -, AACA,  +10, 格実共
死ね矢,			1400,  1,  4,  -10,  20,  15,   -, AACA,  +30, 魔実共
光の矢,			1700,  1,  4,  +10,  20,  30, 110, AACA,  -10, 魔実Ｂ共
針千本,			1700,  1,  4,   +0,  10,  25, 110, AACA,   +0, 実格共
ウインドブレーカー,	1800,  1,  4,  +10,  20,  40, 115, AACA,   +0, 魔実共
イズナ,			1900,  1,  4,   +0,  20,  50, 115, AACA,  +10, 魔実共
水晶のピラミッド,	2000,  1,  4,  +15,  10,  50, 120, AACA,  +15, 実格共


########　・樹術

風と樹のうた,		   0,  1,  4,   +0,   -,  40, 120, AACA,  +15, 魔術精恐乱Ｍ全
スリープ,		   0,  1,  4,  -10,   -,  20,   -, AAAA,  +25, 魔術眠
ブッシュファイア,	1400,  1,  3,   +5,   -,  20,   -, AAAA,  -10, 魔術火
ウッドストック,		1300,  1,  4,  -10,   -,  15,   -, AACA,   +0, 魔術金
ニードルショット,	1300,  1,  3,  -10,   -,  10,   -, AACA,   +5, 魔術
生命の水,		回復Lv4, 1,  -,  30,   -, 魔術


########　・石術
ウォーターハンマー,	1100,  1,  4,  -10,   -,  10,   -, AAAA,  +10, 魔術水精恐乱
マグマプロージョン,	1600,  2,  4,  -10,   -,  20, 110, AAAA,   +0, 魔術火
デルタ・ペトラ,		1600,  1,  3,   +5,   -,  30,   -, AAAA,  -10, 魔術石
アクティブシールド=ガードビースト
フィールドLv1=ロックアーマー 全 5 100


########　・炎術
フレイムナーガ,		1500,  2,  4,  -10,   -,  20,   -, AAAA,   +0, 魔術火
ファイアーストーム,	1800,  1,  3,   +0,   -,  60, 120, AAAA,   +0, 魔術火Ｍ投L1
焼殺,			2000,  1,  3,  -10,   -,  60, 120, AAAA,  +15, 魔術火
生命の息吹,		治癒, 1,  -,  20,   -, 魔術
魂の歌,			状態Lv3=攻撃力ＵＰ 付加Lv3=ＨＰ回復Lv1,  3,  -, 100,  130, 魔術音Ｍ全


########　・水術
アクアバイパー,		1100,  1,  3,   +0,   -,   5,   -, AAAA,   +0, 魔術水
毒音波,			1400,  1,  3,  +10,   -,  40, 110, AAAA,   +0, 魔術音毒Ｍ全
召雷,			1700,  2,  5,  -10,   -,  40, 110, AACA,  +10, 魔術雷
天雷,			1900,  1,  3,  -15,   -,  60, 120, AACA,   +0, 魔術雷
パーマネンス,		付加Lv3=抵抗力Lv5,  1,  -,  40,    -, 魔術


########　・音術
石の記憶,		   0,  1,  3,  -10,   -,  40, 110, AACA,  +15, 魔術石
スポイルウェイブ,	   0,  1,  3,   +0,   -,  20,   -, AACA,  +10, 魔術脱
音,					 900,  1,  4,  -10,   -,   5,   -, AACA,   +0, 魔術音
ソニックバーナー,	1300,  1,  2,  -15,   -,  10,   -, AAAA,   +0, 魔術音Ｂ火Ｐ
清歌,			1900,  1,  3,  -15,   -,  80, 130, AAAA,   +0, 魔術音Ｍ全聖
音の聖域,		付加Lv3=射撃強化Lv1,  3,   -,  15,   -, 魔術


########　・獣術
マインドスケープ,	付加Lv3=命中強化Lv1 付加Lv3=回避強化Lv1,  3,   -,  15,   -, 魔術
ハウリングへヴン,	1500,  1,  3,  +10,   -,  15,   -, AAAA,   +0, 魔術音
ＨＰ回復Lv1=生命力強化／ＨＰ回復Lv1
ブースト=ベルセルク


########　・装備固有技
暗殺術・蛇,		1100,  1,  3,  -10,   -,   5,   -, AAAA,  +20, 魔毒
コメットフォール,	1600,  1,  3,  +10,   -,  40,   -, AACA,  +10, 魔
メガボルト,		1800,  1,  3,  +10,   -,  70, 115, AACA,  +10, 魔Ｍ投L1


########　・モンスター特殊攻撃
サイケデリックウィスパー,   0,  1,  3,  +20,   -,  20, 110, AAAA,  +40, 乱
リ・インカーネイト,		   0,  1,  1,  -20,   -,  20, 130, AAAA,  +30, 憑Ｑ攻
エンシェントカース,		   0,  1,  4,   +0,   -,  50, 130, AAAA,  +30, 魔術石Ｍ扇L3
死人ゴケ,				   0,  1,  4,  -20,   -,  30, 120, AAAA,  +50, 魔術毒黙
ナイトメア,			   0,  1,  2,  +10,   -,  20,   -, AAAA,  +20, 眠Ｍ投L1
魅了凝視,			   0,  1,  2,  -10,   -,  40, 110, AAAA,  +20, 魅
マヒ凝視,			   0,  1,  2,  -10,   -,  30,   -, AAAA,  +20, 痺
花粉,				   0,  1,  2,  +10,   -,  10,   -, AAAA,   +0, 痺
毒液,				   0,  1,  3,  -10,   -,  10,   -, AACA,  +30, 毒
打撃,				 700,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
かみつき,			 900,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
突く,				 900,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
鼻息,				 900,  1,  3,  -10,   -,  10,   -, AAAA,   +0, 侵Ｓ
サミング,			1000,  1,  1,  +30,   -,   -,   -, AAAA,  +30, 突盲
毒噛みつき,			1000,  1,  1,  +20,   -,   -,   -, AAAA,  +20, 突毒
溶解液,				1000,  1,  3,  -10,   -,  15,   -, AAAA,  +15, 水劣
スクラッチ,			1000,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
毒ガス,				1000,  1,  3,  -10,   -,  10,   -, AAAA,  +20, 毒侵
ハチの巣,			1000,  1,  3,  -10,   -,   5,   -, AAAA,   +0, -
樹液,				1000,  1,  3,  +20,   -,   5,   -, AACA,   +0, -
ブラッディガス,		1000,  1,  3,  -10,   -,  10,   -, AAAA,  +20, 毒侵
スピットファイア,	1000,  1,  4,  -10,   -,   5,   -, AAAA,   +0, 火
吸血,				1000,  1,  1,   +0,   -,  10,   -, AAAA,   +0, 突吸
ほる,				1100,  1,  1,  +20,   -,   -,   -, -AA-,   +0, 突
牙,					1100,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 突
サウンドブラスター,		1100,  1,  2,  +10,   -,   -,   -, AAAA,   +0, 魔術音
刺す,				1100,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
旋風打,				1100,  1,  1,  +10,   -,   5,   -, AAAA,   +0, 突ＫL1
ダスト,				1100,  1,  1,  +10,   -,  10,   -, AAAA,   +0, 侵
ソニックプレッシャー,	1200,  2,  5,  +10,   -,   5,   -, AAAA,   +0, 魔術音
駆け抜ける,			1200,  1,  1,   +0,   -,   5,   -, AAAA,  +10, 突ＫL0
シューティングスター,	1200,  1,  5,  +20,   -,   -,   -, AAAA,  +15, -
ロトンブレス,			1200,  1,  5,  +20,   -,   5,   -, AACA,  +30, 魔術毒Ｂ
ヘビーキック,		1200,  1,  1,   +0,   -,   -,   -, AAAA,   +0, 突
花粉ガス,			1200,  1,  4,   +0,   -,   5,   -, AAAA,  +30, 魔術毒侵
噴火,					1200,  1,  4,  -10,   -,  10,   -, AAAA,  +15, 火
地爆撃,					1200,  1,  3,  +10,   -,  20,   -, -AAA,   +0, 地Ｍ投L1
振動波,				1200,  1,  4,  +15,   -,   5,   -, AACA,   +0, 音
酸のスプレー,		1200,  1,  3,  -10,   -,  10,   -, AAAA,   +0, 水侵
ボディ・ダブル,		1200,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突
グリフィススクラッチ,		1200,  1,  1,  +10,   -,  20,   -, AAAA,  +10, 突即
火炎ブレス,			1300,  1,  4,   +0,   -,  10,   -, AACA,   +0, 火
冷気ブレス,			1300,  1,  4,   +0,   -,  10,   -, AACA,   +0, 冷
ファング,			1300,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 突
スタークエイク,			1300,  3,  3,  -20,   -,  30,   -, AAAA,  +30, Ｍ投L1
シザーブレイク,			1300,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 突
ハイ・ライズ,			1300,  1,  3,  +10,   -,  10,   -, -AAA,   +0, 地
クローハンマー,		1300,  1,  1,   +0,   -,   5,   -, AAAA,  +20, 突魔射恐乱
ビッグハンマー,		1300,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 突
貫き,				1300,  1,  2,  -10,   -,  10,   -, AAAA,   +0, 突格Ｐ
叫ぶ,				1400,  1,  3,  -10,   -,  15,   -, AACA,   +0, 音
グライダースパイク,	1400,  1,  2,  -10,   -,  10,   -, AAAA,  +20, 突格Ｐ
デッドリーループ,	1400,  1,  1,   +0,   -,   -, 105, AAAA,   +0, 突
ストーンランス,		1400,  1,  1,  -10,   -,  15,   -, AAAA,  +10, 武石Ｑ
見えざる波動,			1500,  1,  4,   +0,   -,  15,   -, AAAA,   +0, 魔術Ｂ
紅葉の舞,			1500,  1,  3,  +10,   -,  10,   -, AAAA,   +0, 魔術
森の怒り,			1500,  1,  3,   +0,   -,  40,   -, AAAA,   +0, Ｍ全
ヴォルカノ・クラッシュ,	1500,  1,  1,   +0,   -,  15,   -, AAAA,  +10, 突ＫL0
落雷,				1500,  1,  4,  -10,   -,  30,   -, AACA,  +10, 魔術雷
ワイドショット,		1500,  1,  3,  +10,   -,  20,   -, AACA,   +0, 風
スチームサイクロン,	1600,  1,  3,   +0,   -,  30,   -, AACA,   +0, 火
絶叫,				1600,  1,  3,  +10,   -,  30,   -, AACA,   +0, 音
ブリザード,			1600,  1,  3,  +10,   -,  30,   -, AACA,  +10, 冷
連打,				1600,  1,  1,  -10,   -,  25,   -, AAAA,   +0, 突
ドラコニアンスプライサー,	1600,  1,  1,  +15,   -,  20, 105, AAAA,   +30, 突
烈風,				1700,  1,  3,  +10,   -,  40,   -, AACA,   +0, 風
大地のビート,			1700,  1,  3,  +30,   -,  30,   -, AAAA,  +20, 魔術音
角払い,				1700,  1,  1,   +0,   -,  30,   -, AAAA,   +0, 突
ゼノサイド,				1800,  1,  3,  +30,   -,  50, 130, AAAA,  +20, Ｍ投L2
ステップイン,		1800,  1,  1,  +10,   -,  40, 120, AAAA,   +0, 突
ぶちかまし,					1800,  1,  2,   +0,   -,  40, 105, AAAA,   +0, 突格Ｐ
大噴火,					1800,  1,  3,  +15,   -,  40, 115, AAAA,  +10, 火Ｍ全
リバースドロップ,	1800,  1,  1,   +0,   -,  50, 110, AAAA,   +0, 突
スパイダーサーフ,	1800,  1,  1,  -10,   -,  40, 110, AAAA,   +0, 突
バーニングチャージ,	1900,  1,  1,   +0,   -,  40, 115, AAAA,   +0, 火突
大回転,				1900,  1,  1,   +0,   -,  50, 115, AAAA,  +20, 突
森の真理,			1900,  1,  3,  -10,   1,   -, 110, AAAA,  +10, Ｍ投L1
世界の合い言葉は森,		2000,  1,  1,  +20,   -,  80, 130, AAAA,   +0, 魔術ＱＭ投L2
メテオスウォーム,		2000,  1,  2,   +0,   -,  60, 130, AAAA,  +15, 火痺Ｍ投L1
最強打,					2100,  1,  1,  -10,   -,  40, 130, AAAA,   +0, 突


