

#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_AuraDragon,bmp
#　EFFECT_Pyramid.bmp

サガフロ２
パンチ, 打突
ファイアーストーム(準備), 炎
ファイアーストーム(攻撃), ＭＡＰ炎
ファイアーストーム(命中), 炎
焼殺(準備), 炎
焼殺(攻撃), 六芒星 相手ユニットＩＤ
焼殺(命中), 火柱
生命の息吹(準備), 炎
生命の息吹(使用), 魔法放射 赤
生命の息吹(発動), 光噴出 赤
アクアバイパー(準備), 発光 青
アクアバイパー(攻撃), 実弾発射 EFFECT_AuraDragon,bmp 発光
アクアバイパー(命中), 噛み付き
毒音波(準備), 発光 青
毒音波(攻撃), ＭＡＰ音波
毒音波(命中), 音波
召雷(準備), 発光 青
召雷(攻撃), 放電
召雷(命中), 落雷
天雷(準備), 発光 青
天雷(攻撃), 放電
天雷(命中), 大落雷
石の記憶(準備), @戦闘アニメ_音符命中 対象ユニットＩＤ
石の記憶(攻撃), 魔法放射 白
石の記憶(命中), 石柱
スポイルウェイブ(準備), @戦闘アニメ_音符命中 対象ユニットＩＤ
スポイルウェイブ(攻撃), 大ビーム 白
スポイルウェイブ(命中), 発光 白
ソニックバーナー(準備), @戦闘アニメ_音符命中 対象ユニットＩＤ
ソニックバーナー(攻撃), 火炎放射 青
ソニックバーナー(命中), 炎 青
清歌(準備), @戦闘アニメ_音符命中 対象ユニットＩＤ
清歌(攻撃), 音波
清歌(命中), 音符
音の聖域(準備), @戦闘アニメ_音符命中 対象ユニットＩＤ
音の聖域(発動), 音符
マインドスケープ(準備), 発光 黒
マインドスケープ(使用), 魔法放射 緑
マインドスケープ(発動), 木の葉乱舞
ハウリングへヴン(準備), 発光 黒
ハウリングへヴン(攻撃), 魔法放射 青
ハウリングへヴン(命中), 音波
暗殺術・蛇, 実弾発射 EFFECT_AuraDragon,bmp
コメットフォール(準備), 発光
コメットフォール(攻撃), 周囲回転 EVENT\スペシャルパワー\lucky_3_02.bmp 16 - 相手ユニットＩＤ 5
コメットフォール(命中), 落下
メガボルト(準備), 発光
メガボルト(攻撃), ＭＡＰオーラ 青
メガボルト(命中), 光噴出 白
サイケデリックウィスパー, 音波
リ・インカーネイト, 発光 黒
エンシェントカース, ＭＡＰ波動放射 ブラック
死人ゴケ, 粒子集中
ナイトメア, 泡
魅了凝視, 発光 桃
マヒ凝視, 発光 桃
花粉, 煙噴射
毒液, 炎投射 青
打撃, 打突
かみつき, 噛み付き
突く, タックル
鼻息, 煙噴射
サミング, キック
毒噛みつき, 噛み付き
溶解液, 炎投射 青
スクラッチ, 爪撃
毒ガス, 煙噴射 緑
ハチの巣, ニードル連射
樹液, 炎投射 青
ブラッディガス, 煙噴射 赤
スピットファイア, 炎
吸血, 噛み付き
ほる, タックル
牙, 噛み付き
サウンドブラスター, 音波
刺す, 刺突
旋風打, スピンアタック
ダスト, 煙噴射 黒
ソニックプレッシャー, 音波
駆け抜ける, スーパータックル
シューティングスター, 光長距離
ロトンブレス, 煙噴射
ヘビーキック, キック
花粉ガス, 煙噴射
噴火, 炎長距離
地爆撃, 石柱
振動波, 音波
酸のスプレー, 煙噴射 青
ボディ・ダブル, タックル
グリフィススクラッチ, 爪撃
火炎ブレス, 火炎放射
冷気ブレス, 火炎放射 青
ファング, 噛み付き
スタークエイク(準備), -
スタークエイク(攻撃), -
スタークエイク(命中), 地表衝撃波
シザーブレイク, 爪撃
ハイ・ライズ, 石柱
クローハンマー, ハンマー
ビッグハンマー, ハンマー
貫き, 刺突
叫ぶ, 音波
グライダースパイク, スーパーキック
デッドリーループ, タックル
ストーンランス, スピア
見えざる波動(準備), -
見えざる波動(攻撃), -
見えざる波動(命中), デフォルト
紅葉の舞, 木の葉乱舞
森の怒り, ＭＡＰニードル
ヴォルカノ・クラッシュ, タックル
落雷, 落雷
ワイドショット, 気斬
スチームサイクロン, 旋風 赤
絶叫, 音波
ブリザード, 吹雪
連打, 連打
ドラコニアンスプライサー, 乱打
烈風, 強風
大地のビート, ＭＡＰ地震
角払い, 回転斬撃
ゼノサイド, ＭＡＰ波動放射 ブラック
ステップイン, タックル
ぶちかまし, タックル
大噴火, ＭＡＰ火炎弾
リバースドロップ, ジャンプバスター
スパイダーサーフ, タックル
バーニングチャージ, スーパータックル レッド
大回転, スピンアタック ホワイト
森の真理, ＭＡＰオーラ 緑
世界の合い言葉は森, ＭＡＰ煙 緑
メテオスウォーム, 隕石
最強打, タックル

汎用
炎, 炎
妖精王のリラ, 弓
音波弾(準備), 弓;音波
音波弾(攻撃), 弓矢
音波弾(命中), 矢
ベオウルフ, 剣
樹, 木の葉乱舞
音, 音波
水, 泡
エッグ, 発光
