
宇宙警察
ＳＰシューター(準備), 射撃武器 EFFECT_SEN28_SPShooter.bmp
グリーンクラッシュ(攻撃), 粒子集中 緑 対象ユニットＩＤ;スーパータックル 緑
グリーンクラッシュ(命中), 光斬撃 緑 Crash.wav;大爆発 緑
ブルーＦ＆グリーンＣ(準備), 同時振る武器 画像ファイル=EFFECT_SEN28_D-Rod(Green).bmp=EFFECT_SEN28_D-Rod(Blue).bmp
ブルーＦ＆グリーンＣ(攻撃), 同時粒子集中 色=緑=青;同時スーパータックル 色=緑=青
ブルーＦ＆グリーンＣ(命中), 光なぎ払い 緑 Slash.wav;光なぎ払い 青 Slash.wav;光斬撃 緑 Crash.wav;光斬撃 青 Crash.wav;大爆発 緑;大爆発 青;超爆発


デカイエロー
ディースティック(準備), 振る武器 EFFECT_SEN28_D-Stick(Yellow).bmp
ディーショット(準備), 射撃武器 EFFECT_SEN28_D-Shot(Yellow).bmp
ディーショット(攻撃), 中ビーム 黄
ディーショット(命中), 中ビーム 黄
ミラージュディメンション(攻撃), 特殊光線 黄
ミラージュディメンション(命中), 大爆発 黄
ツインカムアタック(準備), 同時振る武器 画像ファイル=EFFECT_SEN28_D-Stick(Yellow).bmp=EFFECT_SEN28_D-Stick(Pink).bmp
ツインカムアタック(攻撃), 同時斬撃
ツインカムアタック(命中), 超打 Whip.wav
ツインカムシュート(準備), 同時射撃武器 画像ファイル=EFFECT_SEN28_D-Shot(Yellow).bmp=EFFECT_SEN28_D-Shot(Pink).bmp
ツインカムシュート(攻撃), 中ビーム 黄;中ビーム 桃 partner(1)
ツインカムシュート(命中), 交差ビーム 黄 桃
ツインカムラブリーキック, 同時スーパーキック 色=黄=桃
メリーゴーランドシュート(準備), 同時射撃武器 画像ファイル=EFFECT_SEN28_D-Shot(Yellow).bmp=EFFECT_SEN28_D-Shot(Pink).bmp
メリーゴーランドシュート(攻撃), 中ビーム 黄;中ビーム 桃 partner(1);中ビーム 黄;中ビーム 桃 partner(1);中ビーム 黄;中ビーム 桃 partner(1)
メリーゴーランドシュート(命中), 交差ビーム 黄 桃;交差ビーム 黄 桃;交差ビーム 黄 桃


デカイエロー・ＳＷＡＴモード
ラブリータイフーン(準備), 同時射撃武器 EFFECT_SEN28_D-Revolver.bmp
ラブリータイフーン(攻撃), 内蔵ガトリング;内蔵ガトリング partner(1);内蔵ガトリング;内蔵ガトリング partner(1);内蔵ガトリング;内蔵ガトリング partner(1)
ラブリータイフーン(命中), 連続大爆発;大爆発
ツインＤＲマックスパワー(準備), 同時射撃武器 EFFECT_SEN28_D-Revolver.bmp
ツインＤＲマックスパワー(攻撃), 同時実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav
ツインＤＲマックスパワー(命中), 超爆発


デカピンク
ディースティック(準備), 振る武器 EFFECT_SEN28_D-Stick(Pink).bmp
ディーショット(準備), 射撃武器 EFFECT_SEN28_D-Shot(Pink).bmp
ディーショット(攻撃), 中ビーム 桃
ディーショット(命中), 中ビーム 桃
ウメコ爆弾キック(斬撃), 粒子集中 桃
ウメコ爆弾キック(攻撃), キック
ウメコ爆弾キック(命中), 強打;大爆発 桃
ツインカムアタック(準備), 同時振る武器 画像ファイル=EFFECT_SEN28_D-Stick(Pink).bmp=EFFECT_SEN28_D-Stick(Yellow).bmp partner(1)
ツインカムアタック(攻撃), 同時斬撃
ツインカムアタック(命中), 超打 Whip.wav
ツインカムシュート(準備), 同時射撃武器 画像ファイル=EFFECT_SEN28_D-Shot(Pink).bmp=EFFECT_SEN28_D-Shot(Yellow).bmp partner(1)
ツインカムシュート(攻撃), 中ビーム 桃;中ビーム 黄 partner(1)
ツインカムシュート(命中), 交差ビーム 桃 黄
ツインカムラブリーキック, 同時スーパーキック 色=桃=黄
メリーゴーランドシュート(準備), 同時射撃武器 画像ファイル=EFFECT_SEN28_D-Shot(Pink).bmp=EFFECT_SEN28_D-Shot(Yellow).bmp partner(1)
メリーゴーランドシュート(攻撃), 中ビーム 桃;中ビーム 黄 partner(1);中ビーム 桃;中ビーム 黄 partner(1);中ビーム 桃;中ビーム 黄 partner(1)
メリーゴーランドシュート(命中), 交差ビーム 桃 黄;交差ビーム 桃 黄;交差ビーム 桃 黄


デカピンク・ＳＷＡＴモード
ラブリータイフーン(準備), 同時射撃武器 EFFECT_SEN28_D-Revolver.bmp
ラブリータイフーン(攻撃), 内蔵ガトリング;内蔵ガトリング partner(1);内蔵ガトリング;内蔵ガトリング partner(1);内蔵ガトリング;内蔵ガトリング partner(1)
ラブリータイフーン(命中), 連続大爆発;大爆発
ツインＤＲマックスパワー(準備), 同時射撃武器 EFFECT_SEN28_D-Revolver.bmp
ツインＤＲマックスパワー(攻撃), 同時実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav
ツインＤＲマックスパワー(命中), 超爆発


マーフィーＫ９
高速突進(攻撃), 振る武器突撃 _.bmp
高速突進(命中), 強打 Crash.wav
噛み付き(攻撃), 振る武器突撃 _.bmp
噛み付き(命中), 噛み付き


デカブレイク
阻止(ライトニングフィスト), @戦闘アニメ_乱打攻撃 相手ユニットＩＤ
トルネードフィスト(準備), 魔法集中 白 Engine.wav
トルネードフィスト(攻撃), 旋風
トルネードフィスト(命中), 旋風
エレクトロフィスト(準備), 魔法集中 白 Engine.wav
エレクトロフィスト(攻撃), 地表衝撃波 黄
エレクトロフィスト(命中), 放電;爆発
ファイヤーフィスト(準備), 魔法集中 白 Engine.wav
ファイヤーフィスト(攻撃), 大キャノン砲 Whiz.wav
ファイヤーフィスト(命中), 爆発
ライトニングフィスト(準備), 魔法集中 白 Engine.wav
ライトニングフィスト(攻撃), 乱打
ライトニングフィスト(命中), 乱打;強打 Crash.wav
パワーフィスト(準備), 魔法集中 白 Engine.wav
パワーフィスト(攻撃), 打突
パワーフィスト(命中), 投げ飛ばし
Ｈ・エレクトロフィスト(準備), 魔法集中 白 Engine.wav
Ｈ・エレクトロフィスト(攻撃), 放電 対象ユニットＩＤ;打突
Ｈ・エレクトロフィスト(命中), 打撃;大放電
Ｓ・ライトニングフィスト(準備), 魔法集中 白 Engine.wav
Ｓ・ライトニングフィスト(攻撃), スーパーパンチ 黄
Ｓ・ライトニングフィスト(命中), スーパーパンチ 黄
ライトニングアッパー(準備), 魔法集中 白 Engine.wav
ライトニングアッパー, 超アッパー
ソニックハンマー(準備), 魔法集中 白 Engine.wav
ソニックハンマー(攻撃), 急降下
ソニックハンマー(命中), 急降下 黄;大爆発
#
# インパルスフィスト
# Ｓ・インパルスフィスト


デカマスター
ディーソードベガ(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp
ディーソードベガ(攻撃), 斬撃
ディーソードベガ(命中), 斬撃
ディーソードベガライフル(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp
ディーソードベガライフル(攻撃), 大キャノン砲
ディーソードベガライフル(命中), 爆発
ベガスラッシュ(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp
ベガスラッシュ(攻撃), 振る武器突撃 EFFECT_SEN28_D-SwordVega.bmp
ベガスラッシュ(命中), 横大斬撃
ベガトルネードスラッシュ(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp
ベガトルネードスラッシュ(攻撃), 円月殺法 白
ベガトルネードスラッシュ(命中), 横大斬撃
ベガインパルス(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp;エナジーブレード 青
ベガインパルス(攻撃), 斬撃
ベガインパルス(命中), 超斬撃


デカスワン
スワンレインボー(攻撃), 強風 対象ユニットＩＤ Sharara.wav
スワンレインボー(命中), 飛沫 白 Sharara.wav
スワンイリュージョン, ＭＡＰオーラ 白 Sharara.wav


デカブライト
サンダーフィスト(準備), 魔法集中 白 Engine.wav
サンダーフィスト(攻撃), 落雷
サンダーフィスト(命中), 爆発
ハイエストハンマー(準備), 魔法集中 白 Engine.wav
ハイエストハンマー, 波動放射 白


デカゴールド
ディースマッシャー(攻撃), 重機関砲
ディースマッシャー(命中), 重機関砲
ダブルショット(攻撃), 重機関砲;重機関砲;重機関砲
ダブルショット(命中), 重機関砲;重機関砲;重機関砲


マリー＝ゴールド
ディースマッシャー(攻撃), 重機関砲
ディースマッシャー(命中), 重機関砲
ダブルショット(攻撃), 重機関砲;重機関砲;重機関砲
ダブルショット(命中), 重機関砲;重機関砲;重機関砲


特捜戦隊デカレンジャー
格闘戦, 斬撃
ディーアームズ, 拡散ビーム
フォーメーション, 格闘;拡散ビーム


特捜戦隊デカレンジャー・ＳＷＡＴモード
格闘戦, 斬撃
ＤＲマックスパワー(準備), 射撃武器 EFFECT_SEN28_D-Revolver.bmp
ＤＲマックスパワー(攻撃), 実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav
ＤＲマックスパワー(命中), 超爆発


ドロイド
アーナナイフ, ナイフ
アーナビームガン, 小ビーム
バーツソード, 斬撃
バーツショット, 中ビーム 青
イーガソード, 斬撃
クロスバースト(攻撃), 粒子集中 黄;振り上げ
クロスバースト(命中), 大爆発
イーガブレード, 大斬撃
ソード＆ブレード, 斬撃;大斬撃
クロー, タックル
イーガマグナム, キャノン砲



######################################################################



宇宙警察
ジャイロバルカン, 内蔵ガトリング
ジャッジメントソード(準備), 振る武器 EFFECT_SEN28_JudgementSword.bmp
ジャッジメントソード, 斬撃
シグナルキャノン(準備), 射撃武器 EFFECT_SEN28_SignalCannon.bmp
シグナルキャノン, キャノン砲
フライングクラッシュ(準備), 振る武器 EFFECT_SEN28_JudgementSword.bmp
フライングクラッシュ(攻撃), 急降下
フライングクラッシュ(命中), 急降下 青
シグナルキャノン連射(準備), 射撃武器 EFFECT_SEN28_SignalCannon.bmp
シグナルキャノン連射, キャノン砲;キャノン砲;キャノン砲;キャノン砲
ジャッジメントクラッシュ(準備), 振る武器 EFFECT_SEN28_JudgementSword.bmp
ジャッジメントクラッシュ(攻撃), 斬撃
ジャッジメントクラッシュ(命中), 斬撃乱舞
ジャスティスフラッシャー(準備), 射撃武器 EFFECT_SEN28_SignalCannon.bmp
ジャスティスフラッシャー(攻撃), 大ビーム
ジャスティスフラッシャー(命中), 大ビーム;大爆発
ストライカーアーム, タックル
スライディングソード(準備), 振る武器 EFFECT_SEN28_JudgementSword.bmp
スライディングソード, なぎ払い
マグネワイヤー, 実弾発射 -.bmp 有線
キャッチロープ, 実弾発射 -.bmp 有線
ライトフラッシュ(攻撃), 発光 黄 対象ユニットＩＤ
アーマーアタック, タックル
スリーブソード(準備), 振る武器 EFFECT_SEN28_SleeveSword.bmp 二刀流
スリーブソード(攻撃), なぎ払い;なぎ払い
スリーブソード(命中), なぎ払い;なぎ払い
ソニックブーム(準備), 振る武器 EFFECT_SEN28_SleeveSword.bmp 二刀流
ソニックブーム, 気斬
ソードトルネード(準備), 振る武器 EFFECT_SEN28_SleeveSword.bmp 二刀流
ソードトルネード(攻撃), 強風 対象ユニットＩＤ Storm.wav;振る武器突撃 _.bmp
ソードトルネード(命中), 斬撃乱舞;大爆発
二門ビーム砲, ２連中ビーム
パンチ(攻撃), 打突
パンチ(命中), 強打 Crash.wav
ガトリングパンチ(攻撃), 連打
ガトリングパンチ(命中), 連打;連打;連続爆発;大爆発
ダイナマイトアッパー(準備), -
ダイナマイトアッパー(攻撃), 連打
ダイナマイトアッパー(命中), 連打;連打;@戦闘アニメ_アッパー攻撃;超アッパー;大爆発
Ｒジャスティスフラッシャー(準備), 射撃武器 EFFECT_SEN28_SignalCannon.bmp
Ｒジャスティスフラッシャー(攻撃), 大ビーム
Ｒジャスティスフラッシャー(命中), 大ビーム;大爆発
ビーム, 中ビーム 橙
ブラストランチャー(準備), 射撃武器 EFFECT_SEN28_BlastLauncher.bmp
ブラストランチャー(攻撃), 重機関砲
ブラストランチャー(命中), 重機関砲
スピニングブラスト(準備), 射撃武器 EFFECT_SEN28_BlastLauncher.bmp
スピニングブラスト(攻撃), ＭＡＰニードル;ＭＡＰ爆発
スピニングブラスト(命中), 大爆発
フルブラストランチャーMAP(準備), 射撃武器 EFFECT_SEN28_BlastLauncher.bmp
フルブラストランチャーMAP(攻撃), 超ビーム
フルブラストランチャーMAP(命中), 超ビーム
フルブラストランチャー(準備), 射撃武器 EFFECT_SEN28_BlastLauncher.bmp
フルブラストランチャー(攻撃), 超ビーム
フルブラストランチャー(命中), 超ビーム
ニーブレスビーム, 特殊光線 青
フィンガーミサイル, ミサイル 5;ミサイル 5
ボルカニックバスター(攻撃), 必殺光線 黄
ボルカニックバスター(命中), 必殺光線 黄;超爆発
クローラービーム, 特殊光線 青
ベースビーム, 特殊光線 青
パトマグナム(準備), 射撃武器 EFFECT_SEN28_PatoMagnum.bmp
パトマグナム(攻撃), ピストル _.bmp
パトマグナム(命中), ピストル _.bmp
ダブルショット(準備), 振る武器 EFFECT_SEN28_PatoMagnum.bmp 二刀流
ダブルショット(攻撃), ピストル _.bmp;ピストル _.bmp;ピストル _.bmp
ダブルショット(命中), ピストル _.bmp;ピストル _.bmp;ピストル _.bmp
ジュウクンドー(準備), 射撃武器 EFFECT_SEN28_PatoMagnum.bmp
ジュウクンドー(攻撃), 格闘;ピストル _.bmp
ジュウクンドー(命中), 強打;ピストル _.bmp
ダブルヒールスマッシュ(攻撃), 格闘突撃;浴びせ蹴り
ダブルヒールスマッシュ(命中), 強打;大爆発
ファイナルバスター(攻撃), 超ビーム
ファイナルバスター(命中), 超ビーム
ファイナルバスター(近接)(攻撃), 格闘突撃
ファイナルバスター(近接)(命中), @戦闘アニメ_超ビーム攻撃;超ビーム
スーパーファイナルバスター(攻撃), 超ビーム
スーパーファイナルバスター(命中), 超ビーム;超爆発
ＴＲアルティメットバスター(攻撃), 透明化 反映;@戦闘アニメ_射撃武器準備 SEN28_DekaWingCannon.bmp partner(1);超ビーム partner(1);透明化 解除
ＴＲアルティメットバスター(命中), 超ビーム;連続爆発;超爆発
ＡＳアルティメットバスター(攻撃), 明化 反映;@戦闘アニメ_射撃武器準備 SEN28_DekaWingCannon.bmp partner(1);巨大ビーム partner(1);透明化 解除
ＡＳアルティメットバスター(命中), 巨大ビーム


パトウイング１
光弾, ニードルレーザー連射 赤


パトウイング２
光弾, ニードルレーザー連射 青
レーザー, 小ビーム 青


パトウイング３
光弾, ニードルレーザー連射 緑


パトウイング４
照明弾(攻撃), 発光 黄 対象ユニットＩＤ
光弾, ニードルレーザー連射 黄


パトウイング５
光弾, ニードルレーザー連射 桃
突撃, スーパータックル 桃
