
大神勇吾
クリティカルアッパー(攻撃), タックル
マーシーラビット(命中), 強打;瞬間変形 BLRO_TsukagamiAliceU.bmp;@BLRO_TsukagamiAlice.bmp;「やっやっやっやっ！」;連打;連打;「ハッハッハッハッ！」;連打;連打;「とぉっ！」;強打;「えいやーっ！」;@戦闘アニメ_ジャンプ攻撃;乱打;「大サービス！」;@戦闘アニメ_タックル攻撃;超打
マーシーラビット(命中), 強打;瞬間変形 BLRO_TsukagamiAliceU.bmp;@BLRO_TsukagamiAlice.bmp;「やっやっやっやっ！」;連打;連打;「ハッハッハッハッ！」;連打;連打;「とぉっ！」;強打;「えいやーっ！」;@戦闘アニメ_ジャンプ攻撃;乱打;「いい感じ！」;@戦闘アニメ_タックル攻撃;超打

野々村アリス(超獣化)
マーシーラビット(攻撃), タックル
マーシーラビット(命中), 強打;連打;連打;連打;連打;強打;@戦闘アニメ_ジャンプ攻撃;乱打;@戦闘アニメ_タックル攻撃;超打

塚神アリス
スイッチムーンサルト(攻撃), 反転上昇;急降下
スイッチムーンサルト(命中), 打撃
ガードエルボーアタック, 打突
素早い連続攻撃, キック;キック;キック;キック
素早い連続攻撃, 連打;連打;キック
素早い連続攻撃, 打突;キック;キック;連打
素早い連続攻撃, 打突;打突
素早い連続攻撃, 打突;キック
素早い連続攻撃, 打突;打突;連打
素早い連続攻撃, キック;キック
素早い連続攻撃, 浴びせ蹴り;バック転;浴びせ蹴り
ラビットスパイラル(攻撃), ジャンプ
ラビットスパイラル(攻撃), 乱打
トリプルサマーソルト(攻撃), サマーソルト;サマーソルト;サマーソルト
トリプルサマーソルト(命中), 打撃;打撃;打撃

爆龍
影縛り(攻撃), @戦闘アニメ_ダメージ命中;大電撃
影縛り(クリティカル), 放電
天人雷光脚, スーパーキック イエロー
加東流忍術, 格闘
加東流忍術, キック;打突;キック
煙陣螺旋脚(攻撃), 煙;スピンキック
煙陣螺旋脚(命中), スピンキック
昇天掻き上げ(攻撃), 振り上げ
昇天掻き上げ(命中), 超打
飯綱落とし(攻撃), ジャンプ
飯綱落とし(命中), バックドライバー
硬気流撃破(攻撃), 打突
硬気流撃破(命中), 乱打
頭豪苦突き(攻撃), 刺突
頭豪苦突き(命中), 大刺突
邪舞牢頭豪苦突き(攻撃), 連突;斬撃;刺突
邪舞牢頭豪苦突き(命中), 連突;斬撃;大刺突
分身火炎地獄(攻撃), 刺突
分身火炎地獄(命中), 刺突突撃;透明化;@戦闘アニメ_周囲回転攻撃 Anime\Fire\EFFECT_FlameThrower(Red)04.bmp 3 速;炎;透明化 解除;分身刺突
飯綱雷光脚(攻撃), ジャンプ;キック;ジャンプ
飯綱雷光脚(攻撃), 強打;バックドライバー;@戦闘アニメ_スーパーキック攻撃 レッド;スーパーキック レッド
分身, 煙

大神翔(獣化)
土神覚醒四界陣(準備), 煙
土神覚醒四界陣(攻撃), 透明化;飛びかかり;透明化 解除
土神覚醒四界陣(命中), 瞬間変形 BLRO_OgamiKakeruU.bmp;@BLRO_OgamiKakeru.bmp;「はっ！ はっ！ はっ！ せやっ！」;スーパーパンチ乱舞;「でやあっ！」;バックドライバー

大神翔(超獣化)
土神覚醒四界陣(準備), 煙
土神覚醒四界陣(攻撃), 透明化;飛びかかり;透明化 解除
土神覚醒四界陣(命中), スーパーパンチ乱舞;バックドライバー

野々村宇理子
駆流駆流(攻撃), タックル
駆流駆流(命中), @戦闘アニメ_周囲回転攻撃 Info(ユニット, 対象ユニットＩＤ, グラフィック);回転
平和, 爪撃
平和, 飛びかかり;爪撃
飛燕落, スーパーキック
護符額掌, 飛びかかり;打突
心意六合拳, 格闘
四方神五重, キック;キック;キック
四方神五重, スピンキック;キック;キック
四方神五重, バックキック;キック;キック
富嶽三十六文, キック
六合鳳輪式(攻撃), キック;打突;キック;打突;キック;打突
六合鳳輪式(命中), キック;打突;キック;打突;キック;打突;@戦闘アニメ_打突攻撃;強打
六合鳳輪式(命中), キック;打突;キック;打突;キック;打突;@戦闘アニメ_飛びかかり攻撃;強打
六合鳳輪式(命中), キック;打突;キック;打突;キック;打突;@戦闘アニメ_キック攻撃;強打
六合鳳輪式(命中), キック;打突;キック;打突;キック;打突;@戦闘アニメ_キック攻撃;連打
六合鳳輪式(命中), キック;打突;キック;打突;キック;打突;@戦闘アニメ_乱打攻撃;乱打
扇天鳳翼(攻撃), 打突;打突;キック;打突;キック;打突;キック;打突
扇天鳳翼(命中), 強打;打突;キック;打突;キック;打突;キック;爪撃
吃驚猫転(攻撃), 飛びかかり
吃驚猫転(命中), 透明化 相手ユニットＩＤ;瞬間変形 Anime\Common\EFFECT_Shine(Blue)04.bmp;スーパータックル乱舞;@戦闘アニメ_ジャンプ攻撃;超打;透明化 解除 相手ユニットＩＤ
摩爪平和乱撃(攻撃), 爪撃;爪撃;爪撃;爪撃;爪撃;爪撃
摩爪平和乱撃(命中), 爪撃;爪撃;爪撃;爪撃;爪撃;爪撃
摩爪平和乱撃(クリティカル), @戦闘アニメ_振り下ろし攻撃;強打;@戦闘アニメ_振り上げ攻撃;強打;@戦闘アニメ_振り下ろし攻撃;強打

野々村宇理子(獣化)
鳳輪天舞・龍破天驚脚(攻撃), ジャンプ;
鳳輪天舞・龍破天驚脚(命中), 飛びかかり;乱打;投げ飛ばし;瞬間変形 BLRO_NonomuraUrikoU.bmp;@BLRO_NonomuraUriko.bmp;「やぁーっ！」;@戦闘アニメ_スーパータックル攻撃 ブルー;スーパータックル ブルー

野々村宇理子(超獣化)
鳳輪天舞・龍破天驚脚(攻撃), ジャンプ;
鳳輪天舞・龍破天驚脚(命中), 飛びかかり;乱打;投げ飛ばし;@戦闘アニメ_スーパータックル攻撃 ブルー;スーパータックル ブルー

#　　敵と反対に向かって走っていくのはどう表現したものか。

野々村宇理子(暴走)(獣化)
パルテノスアドウェントス(攻撃), 魔法放射 ホワイト
パルテノスアドウェントス(命中), ダメージ
ペルペトゥムトルトニス(攻撃), 放電
ペルペトゥムトルトニス(命中), 放電;落下
パルテノステンプルム, 地上衝撃波
目にも止まらぬ速度, タックル
目にも止まらぬ速度, キック;キック;キック
目にも止まらぬ速度, 連打;サマーソルト
目にも止まらぬ速度, アッパー
目にも止まらぬ速度, ブレーンバスター

野々村宇理子(キマイラ)
ペルペトゥムトルトニス(攻撃), 放電
ペルペトゥムトルトニス(命中), 放電;落下
底知れぬパワー(攻撃), 打突
底知れぬパワー(攻撃), タックル
底知れぬパワー(命中), 強打
アブソルートゥムクルクス(攻撃), 回転 10 速
アブソルートゥムクルクス(命中), 乱打
ウルティムムコメーテース, 投げ飛ばし

アラン＝ガドウ
軍隊格闘術, 格闘
軍隊格闘術, キック;浴びせ蹴り
軍隊格闘術, タックル;投げ飛ばし;キック
軍隊格闘術, 投げ飛ばし
デンジャースピン, キック
ネイルスクラッチ, 爪撃;爪撃
カウンターシェル, スーパーパンチ グリーン
ライジングレイザー, 爪撃
アサルトブロウ(攻撃), 粒子集中 ブラック;ディレイ 5 -.wav;打突
アサルトブロウ(命中), 超打
デモリションファング(攻撃), タックル;噛み付き
デモリションファング(命中), 噛み付き
Ｇキャノン(攻撃), アッパー
Ｇキャノン(命中), アッパー;超打;投げ飛ばし
プレッシャーオブタイラント(攻撃), キック;打突;打突;ディレイ 5 -.wav;打突
プレッシャーオブタイラント(攻撃), キック;超打;超打;超打
Ｇボンバー(攻撃), 打突
Ｇボンバー(命中), 打突;粒子集中 ブルー;爆発;投げ飛ばし
スクラッチトラップ(攻撃), ヘッドバッド;ヘッドバッド;爪撃;爪撃;タックル
スクラッチトラップ(命中), ヘッドバッド;ヘッドバッド;爪撃;爪撃;噛み付き;超打

アラン＝ガドウ(獣化)
Ｇボンバー(攻撃), 打突
Ｇボンバー(命中), 打突;瞬間変身 BLRO_AranGadoU.bmp;@BLRO_AranGado.bmp;粒子集中 ブルー;爆発;「ハァッ！」;投げ飛ばし

アラン＝ガドウ(超獣化)
Ｇボンバー(攻撃), 打突
Ｇボンバー(命中), 打突;粒子集中 ブルー;爆発;投げ飛ばし

マーベル
軍隊格闘術, 格闘
軍隊格闘術, キック;キック;キック
軍隊格闘術, ブレーンバスター
トライデントシュート(攻撃), キック;キック;キック;キック;キック
トライデントシュート(命中), 乱突
リバースレッグスルー(攻撃), ジャンプ;キック
リバースレッグスルー(命中), バックドライバー
バイオレントクロー, 爪撃
ライジングレイザー, 爪撃
アサルトブロウ(攻撃), ディレイ 5 -.wav;打突
アサルトブロウ(命中), 超打
デモリションファング(攻撃), タックル;噛み付き
デモリションファング(命中), 噛み付き
マッドトラップ(準備), エネルギーフィールド展開
マッドトラップ(攻撃), 噛み付き
マッドトラップ(命中), 噛み付き;立ち固め 3;@戦闘アニメ_爪撃攻撃;斬撃乱舞
クロスブレードザッパー(攻撃), 爪撃;爪撃;爪撃
クロスブレードザッパー(命中), 爪撃;爪撃;爪撃;投げ飛ばし;@戦闘アニメ_ジャンプ攻撃;@戦闘アニメ_爪撃攻撃;斬撃乱舞
トルネードブラスト(攻撃), タックル
トルネードブラスト(命中), 投げ飛ばし;@戦闘アニメ_ジャンプ攻撃;乱打;投げ飛ばし

ジェニー＝バートリー
ダーティングヒール, キック
ブリリアントスラッシュ, 打突
華麗な足技, サマーソルト
華麗な足技, キック;キック;キック;キック;キック
華麗な足技, バックキック;キック
華麗な足技, キック;キック;スピンキック
華麗な足技, 打突;キック;キック;キック
ドリルタロン, スーパーキック 反転
エキセントリックキック(攻撃), 飛びかかり;キック;キック;キック;キック;キック;キック;キック
エキセントリックキック(命中), 斬撃乱舞
バットウイングブレード, 斬撃突撃
空中からの連撃, キック;キック;キック
空中からの連撃, キック;キック;反転上昇;打撃突撃;キック
空中からの連撃, キック;キック;反転上昇;斬撃突撃
空中からの連撃, キック;キック;肩乗り 1;投げ飛ばし
ツイスト(攻撃), キック;キック;キック;キック;キック;スピンキック
ツイスト(命中), 乱打
ツイスト(命中), 連打;連打;連打
ツイスト(命中), 乱打;強打
ツイスト(クリティカル), @戦闘アニメ_斬撃乱舞命中
クリムゾンスライダー(攻撃), 反転上昇;スーパータックル乱舞
クリムゾンスライダー(命中), 斬撃乱舞;踏み潰し

ジェニー＝バートリー(獣化)
スカイハイテンペスト(攻撃), ジャンプ;飛びかかり
スカイハイテンペスト(命中), 投げ飛ばし;乱打;強打;踏み潰し;瞬間変身 BLRO_JennyBartleyU.bmp;@BLRO_JennyBartley.bmp;「Ｏｈ、Ｉ’ｍ ｓｏｒｒｙ」
吸血(攻撃), タックル
吸血(命中), 噛み付き;吸収 レッド;瞬間変身 BLRO_JennyBartleyU.bmp;@BLRO_JennyBartley.bmp;「あぁっ……」;@戦闘アニメ_打突攻撃;「ふふっ」;@戦闘アニメ_キック攻撃;「あら、ごめんなさ～い」;強打

ジェニー＝バートリー(超獣化)
スカイハイテンペスト(攻撃), ジャンプ;飛びかかり
スカイハイテンペスト(命中), 投げ飛ばし;乱打;強打;踏み潰し
吸血(攻撃), タックル
吸血(命中), 噛み付き;吸収 レッド;@戦闘アニメ_打突攻撃;;@戦闘アニメ_キック攻撃;強打

進龍
心意六合拳, 格闘
心意六合拳, 打突;キック
心意六合拳, キック;キック
爪撃, 爪撃
外門頂肘, 打突
前疾歩, 打撃突撃
六合鴻輪式(攻撃), 打突;キック;打突;キック;打突;キック
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_打突攻撃;強打
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_タックル攻撃;強打
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_キック攻撃;強打
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_乱打攻撃;乱打
六合虎輪式(攻撃), 爪撃;爪撃;キック;爪撃;キック;爪撃
六合虎輪式(命中), 爪撃;爪撃;キック;爪撃;キック;爪撃;@戦闘アニメ_打突攻撃;強打
六合虎輪式(命中), 爪撃;爪撃;キック;爪撃;キック;爪撃;@戦闘アニメ_タックル攻撃;強打
六合虎輪式(命中), 爪撃;爪撃;キック;爪撃;キック;爪撃;@戦闘アニメ_キック攻撃;強打
六合虎輪式(命中), 爪撃;爪撃;キック;爪撃;キック;爪撃;@戦闘アニメ_乱打攻撃;乱打
頸絶牙(攻撃), 打撃突撃
頸絶牙(攻撃), 噛み付き
金剛鴻輪式(準備), 魔法放射 ブルー Shock(Low).wav
金剛鴻輪式(攻撃), 打突;キック;打突;キック;打突;キック;打突
金剛鴻輪式(命中), 打突;キック;打突;キック;打突;キック;強打

進龍(獣化)
猛虎靠爬山(攻撃), タックル;スーパーパンチ ブルー
猛虎靠爬山(命中), 投げ飛ばし;@戦闘アニメ_虎炎攻撃 ブルー;虎炎 ブルー;瞬間変身 BLRO_JinglongU.bmp;@BLRO_JinRong.bmp;「見たか、猛虎靠爬山！」
霍打頂肘(攻撃), 魔法放射 ブルー;瞬間変身 BLRO_JinglongU.bmp;@BLRO_Jinglong.bmp;乱打
霍打頂肘(命中), ダメージ;乱打;@戦闘アニメ_打突攻撃;超打
連珠靠爬山(準備), 魔法放射 ブルー Shock(Low).wav
連珠靠爬山(攻撃), タックル;キック
連珠靠爬山(命中), キック;瞬間変身 BLRO_JinglongU.bmp;@BLRO_Jinglong.bmp;乱打;「ほぉーっ！ ほ！ ほ！ ほ！ ほ！」;@戦闘アニメ_タックル攻撃;「ほぉぁーっ！！」;超打

進龍(超獣化)
猛虎靠爬山(攻撃), タックル;スーパーパンチ ブルー
猛虎靠爬山(命中), 投げ飛ばし;@戦闘アニメ_虎炎攻撃 ブルー;虎炎 ブルー
霍打頂肘(攻撃), 魔法放射 ブルー;乱打
霍打頂肘(命中), ダメージ;乱打;@戦闘アニメ_打突攻撃;超打
連珠靠爬山(準備), 魔法放射 ブルー Shock(Low).wav
連珠靠爬山(攻撃), タックル;キック
連珠靠爬山(命中), キック;乱打;@戦闘アニメ_タックル攻撃;超打

野々村光子
母のビンタ, 打突
勢い任せに攻撃, 打突
勢い任せに攻撃, 格闘
勢い任せに攻撃, キック
地球割り(攻撃), 飛びかかり;振動
地球割り(攻撃), ダメージ
頭突き, ヘッドバッド
頭突き, ヘッドバッド;ヘッドバッド
猪突猛進, タックル
猪突爆進, ＭＡＰ移動タックル ホワイト

グレゴリー＝ジョーンズ
ガードスプラッシュキック, キック
あふれ出るほどのパワー, 打突
あふれ出るほどのパワー, キック
豪快な投げ技, 投げ飛ばし
豪快な投げ技, ジャイアントスイング
豪快な投げ技, ドライバー
ヒップアタックファイナル, 飛びかかり
アルティメットパンチ, スーパーパンチ ホワイト

桐島凪
荒削りなコンビネーション, アッパー;打突
荒削りなコンビネーション, 打突;打突;打突;打突
荒削りなコンビネーション, 打突;打突;キック;キック
荒削りなコンビネーション, 打突;キック;キック
荒削りなコンビネーション, キック;スピンキック
ステップアップ, 打撃突撃
ステップアップ, サマーソルト
ラピッドシュート, キック
右手のカッター, アッパー;なぎ払い;スピンキック;スピンキック;なぎ払い
右手のカッター, アッパー;振り下ろし
右手のカッター, 打突;打突;打突;打突;連続なぎ払い
右手のカッター, 打突;打突;打突;打突;なぎ払い;なぎ払い
右手のカッター, 打突;なぎ払い;スピンキック;スピンキック;なぎ払い
右手のカッター, 連続なぎ払い
右手のカッター, なぎ払い;振り上げ;なぎ払い
右手のカッター, なぎ払い;斬撃;なぎ払い;斬撃;刺突
右手のカッター, 乱突
右手のカッター, 連突;なぎ払い
リヤカウンター, 振り下ろし
ブラッディフリット,	回転斬撃;回転斬撃;刺突
ストライカー(攻撃), 振り下ろし;振り上げ
ストライカー(命中), 振り下ろし;投げ飛ばし
ファーウェル(攻撃), 振り上げ
ファーウェル(命中), 振り上げ;乱打;大刺突;投げ飛ばし
ハラキリ(攻撃), 斬撃突撃
ハラキリ(命中), 超斬撃
大切断(攻撃), 刺突
大切断(命中), 大刺突;投げ飛ばし;「これで……」;@戦闘アニメ_ジャンプ攻撃;「終わりにするっ！」;@戦闘アニメ_縦分割とどめ

陵鳳＆神城眞那
狐牙(準備), 瞬間変形 BLRO_RyouhouU.bmp;しもべ BLRO_KamishiroMana(NineTales)U.bmp
狐牙(攻撃), 実弾発射 BLRO_KamishiroMana(NineTales)U.bmp
狐牙(命中), 噛み付き
狐牙(命中), 乱打
力強い一撃, 格闘
力強い一撃, 打突
力強い一撃, キック
力強い一撃, スピンキック
大地(攻撃), キック
大地(命中), 強打
六道(攻撃), 魔法陣;実弾発射 Anime\Magic\EFFECT_MagicEmblem(Red)01.bmp
六道(命中), 強打
天譴連打, 振り下ろし;振り下ろし;振り上げ;打突;連打
涅槃寂静拳(攻撃), @BLRO_Ryouhou.bmp;「マナ、頼む！」;実弾発射 BLRO_KamishiroMana(NineTales)U.bmp
涅槃寂静拳(命中), 噛み付き;瞬間変形 BLRO_RyouhouAndKamishiroManaU.bmp;@BLRO_KamishiroMana.bmp;「はい！ 行きます！」;魔方陣;落下
壊劫(攻撃), 打突;波動放射 レッド
壊劫(命中), 超打
壊劫(涅槃寂静拳)(準備), @BLRO_Ryouhou.bmp;「覚悟せい！」
壊劫(涅槃寂静拳)(攻撃), @BLRO_Ryouhou.bmp;「そぉりゃあ！」;打突;波動放射 レッド
壊劫(涅槃寂静拳)(命中), 超打
解脱の儀(攻撃), 打突
解脱の儀(命中), 強打;@BLRO_Ryouhou.bmp;「マナ、頼む！」;瞬間変形 BLRO_RyouhouAndKamishiroManaU.bmp;@BLRO_KamishiroMana.bmp;「はい！」;魔方陣;「えぇぇい！」;落下
銃引(攻撃), 瞬間変形 BLRO_RyouhouAndKamishiroManaU.bmp;@BLRO_Ryouhou.bmp;「覚悟せい！」;乱打;瞬間変形 BLRO_KamishiroManaU.bmp;「うんしょ……いっくよー！」;スーパータックル ブルー;「えぇぇい！」
銃引(命中), 乱打;スーパータックル ブルー

陵鳳
力強い一撃, 格闘
力強い一撃, 打突
力強い一撃, キック
力強い一撃, スピンキック
大地(攻撃), キック
大地(命中), 強打
六道(攻撃), 魔法陣;実弾発射 Anime\Magic\EFFECT_MagicEmblem(Red)01.bmp
六道(命中), 強打
天譴連打, 振り下ろし;振り下ろし;振り上げ;打突;連打
成却(攻撃), 打突;波動放射 レッド
成却(命中), 超打
火焔, 火炎弾
昇竜(攻撃), ジャンプ
昇竜(命中), 斬撃
牙，噛み付き
尻尾(攻撃)，タックル
尻尾(命中)，乱打
神炎, 大ビーム レッド

陵鳳(獣化)
龍陣, 火炎放射
乱打(攻撃), 瞬間変形 BLRO_RyouhoU.bmp;@BLRO_Ryouho.bmp;「はぁぁぁぁ！」;タックル
乱打(命中), 強打;@BLRO_Ryouho.bmp;「ふん！ ふんふんふんふん！」;打突;乱打;「おらぁぁぁぁっ！」;強打

陵鳳(超獣化)
龍陣, ジャンプ;火炎弾;火炎弾;火炎弾;火炎弾;火炎弾;火炎弾
乱打(攻撃), 「はぁぁぁぁ！」;タックル
乱打(命中), 強打;「ふん！ ふんふんふんふん！」;打突;乱打;「おらぁぁぁぁっ！」;強打


コウリュウ
風縫い, オーラ ブルー
加東流忍術, 格闘
加東流忍術, キック;打突;キック
煙陣螺旋脚, 煙;スピンキック
煙陣螺旋脚, 煙;スーパーキック イエロー
煙陣螺旋脚, 煙;スピンアタック
煙陣螺旋脚, 煙;バックドライバー
昇天掻き上げ(攻撃), 振り上げ
昇天掻き上げ(命中), 超打
飯綱落とし(攻撃), ジャンプ
飯綱落とし(命中), バックドライバー
鋼流影陣(攻撃), 打突
鋼流影陣(命中), 連打
雷斗忍具真愚南無, ロケットパンチ
ホーミングミサイル, 小型ミサイル 12
射多乃逆洲(攻撃), 透明化;飛びかかり;透明化 解除
射多乃逆洲(命中), アッパー;小型ミサイル 20;小型ミサイル 20;落下
分身, 煙

コウリュウ(獣化)
闇神楽(攻撃), タックル
闇神楽(命中), 打突;瞬間変形 BLRO_KohryuU.bmp;@BLRO_Kohryu.bmp;「行くぞっ！」;@戦闘アニメ_分身打撃攻撃;「やっ！ やっ！ やっ！ やっ！」;分身打撃;「てやっ！」;超斬撃

コウリュウ(超獣化)
闇神楽(攻撃), タックル
闇神楽(命中), 打突;@戦闘アニメ_分身打撃攻撃;分身打撃;超斬撃

ハンス＝ターブマン
シャイネスソードブレーカー, 振り上げ
鋭い動き, 斬撃
鋭い動き, 連斬撃
鋭い動き, 刺突
鋭い動き, 連突
敵を切り裂く爪, 斬撃
敵を切り裂く爪, 連斬撃
キャノンスラッシュ, 斬撃突撃

スティーブン＝ゴールドバーグ
バイオショック, 放電
力任せの打撃, 打突
力任せの打撃, キック
グラスホッパーレッグ, キック
ビートルヘッド, ヘッドバッド
バイオリジェクト, 大放電
多彩な投げ技, 投げ飛ばし
多彩な投げ技, 立ち固め 1;放電
多彩な投げ技, ブレーンバスター
アントラーボム(攻撃), 打突
アントラーボム(命中), 投げ飛ばし
ブレインクラッシュボム(攻撃), タックル
ブレインクラッシュボム(命中), スーパーバックブリーカー;バックドライバー;ドライバー
ダークサンクションコンボ(攻撃), タックル
ダークサンクションコンボ(命中), 投げ飛ばし;フォール 1;ドライバー
ＶＴＯＬバスター(攻撃), スーパータックル ブルー
ＶＴＯＬバスター(命中), 刺突;バックドライバー
ブースティングバースト(攻撃), タックル
ブースティングバースト(命中), 投げ飛ばし;@戦闘アニメ_スーパータックル ブルー;大刺突
急降下放電攻撃(攻撃), 反転上昇;急降下;大放電
急降下放電攻撃(命中), 落下;大放電

毒島一
舌スルー(攻撃), 触手 レッド
舌スルー(命中), 投げ飛ばし
トリッキーな動き, 格闘
毒島ホームラン, 打突
伸びーる舌, 触手 レッド
愚乱怒伸びーる(攻撃), 触手 グリーン
愚乱怒伸びーる(命中), 乱打
毒島エクササイズ(攻撃), 回転;キック;キック;キック;キック;キック;キック;キック;キック;キック;キック;キック
毒島エクササイズ(命中), 乱打;強打
大成仏スルー(攻撃), 触手 レッド
大成仏スルー(命中), 投げ飛ばし;投げ飛ばし;投げ飛ばし
ブ・ス・ジ・マパンチ列伝(攻撃), 打突;打突;打突;打突;打突;スーパーパンチ ホワイト
ブ・ス・ジ・マパンチ列伝(命中), 打突;打突;打突;打突;打突;超打
曼荼羅浣(攻撃), 透明化;分身打撃;刺突;透明化 解除
曼荼羅浣(命中), 透明化;乱打;超打
毒島オリンピック(攻撃), 乱打;触手 レッド;触手 グリーン
毒島オリンピック(攻撃), 乱打;投げ飛ばし;超打

深龍
心意六合拳, 格闘
心意六合拳, 打突;キック
心意六合拳, キック;キック
爪撃, 爪撃
擒拿単欄手, 打突
絶招蛇形拳, 打撃突撃
六合蛇輪式(攻撃), 打突;キック;打突;キック;打突;キック
六合蛇輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_打突攻撃;強打
六合蛇輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_タックル攻撃;強打
六合蛇輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_キック攻撃;乱打
頸絶牙(攻撃), 打撃突撃
頸絶牙(攻撃), 噛み付き
金剛鴻輪式(準備), 魔法放射 ブラック Shock(Low).wav
金剛鴻輪式(攻撃), 打突;キック;打突;キック;打突;キック;打突
金剛鴻輪式(命中), 打突;キック;打突;キック;打突;キック;強打
猛虎靠爬山(攻撃), 打突;キック;打突;キック;打突;キック;スーパーパンチ ブラック
猛虎靠爬山(命中), 打突;キック;打突;キック;打突;キック;投げ飛ばし;@戦闘アニメ_虎炎攻撃 ブラック 残像;虎炎 ブラック
六合鴻輪式(攻撃), 打突;キック;打突;キック;打突;キック
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_打突攻撃;強打
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_タックル攻撃;強打
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_キック攻撃;強打
六合鴻輪式(命中), 打突;キック;打突;キック;打突;キック;@戦闘アニメ_乱打攻撃;乱打
外門頂肘, 打突
絶招歩法, 打撃突撃

深龍(獣化)
暗剄(攻撃), 瞬間変身 BLRO_ShenlongU.bmp;@BLRO_Shenlong.bmp;「消えろ！」;打突
暗剄(命中), 打突;魔法集中 ブラック;「……おら！」;@戦闘アニメ_打突攻撃;「ひゃーっはっはっはっは！」;魔法放射 ブラック Slash.wav
金剛絶招連環飛腿(準備), 魔法放射 ブラック Shock(Low).wav
金剛絶招連環飛腿(攻撃), タックル
