
#このアニメでは、ＳＲＣ汎用データコーナーで配布されているもの以外に、
#以下のアイコンを使用しています。
#
# RMZ_PantheonHunterU.bmp
# RMZ_SpikimgU.bmp
# RMZ_PantheonZombieU.bmp
# RMZ4_BonsectU.bmp
# RMZ4_BeamWalkerU.bmp
# RMZ_FenriiLunaedgeU.bmp
# Unit\RMZ_Hanumachine.bmp
# Unit\RMZ2_BurbleHekelot.bmp
# Unit\RMZ3_ChilldreInarabitta.bmp
# Unit\RMZ3_GlacierLeCactank.bmp
# Unit\RMZ3_TretestaKerberian.bmp
#
#以下は登録式画像パックに収録されています。
# RMZ_BlazingFlizardU.bmp
# RMZ_HellbatSiltU.bmp
# RMZ_DeathtantsMantiskU.bmp
# RMZ_KyubitFoxtarU.bmp
# RMZ_VolteelBiblioU.bmp

ゼロ(ＲＭＺ)
バスターショット, 光弾銃 黄 速
氷月刃(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 32 Whiz.wav 速
氷月刃(命中), 気斬 青
昇焔牙(攻撃), アッパー
昇焔牙(命中), 振り上げ大炎斬撃
墜磐撃(攻撃), ジャンプ
墜磐撃(命中), 唐竹割り 緑
フレイムチップ, @戦闘アニメ_火柱命中
アイスチップ, 凍結
サンダーチップ, 放電
エレメント解除, Reload(4).wav;@戦闘アニメ_クリティカル斬撃命中 -.wav


賢将ハルピュイア
ソニックブレード, エナジーカッター 二刀流
ソニックブーム, 気斬 桃
プラズマビット, ３ＷＡＹ射出
ミラージュダッシュ, スーパータックル 緑
ライジングブレード, 振り上げ大斬撃 桃
イズナドロップ, スクリューバックドライバー
サンダーストライク, 落雷 桃
サンダープリズン(準備), 炎 黄 Charge(high).wav
サンダープリズン(攻撃), ２連ショックビーム 白;竜巻
サンダープリズン(命中), 竜巻;放電
スーパーソニックブーム(準備), 炎 緑 Charge(high).wav
スーパーソニックブーム(攻撃), シュートカッター 緑;シュートカッター 緑;シュートカッター 緑;シュートカッター 緑
スーパーソニックブーム(命中), 光斬撃乱舞 緑 大
トルネードキャプチャー, 旋風 緑
ミサイル, ミサイル 5
エアアサルト, スーパータックル 緑
エアラッシュ, スーパーダイブ 緑
サンダーワイパー, 大電撃 桃
マグネットタイフーン(攻撃), 重力弾
マグネットタイフーン(命中), 強風 Storm.wav;ホーミングミサイル -.wav


闘将ファーブニル
ロケットアッパー, 超アッパー
ソドム＆ゴモラ, 竜弾銃 橙 Weapon\EFFECT_SFLauncher01.bmp 40
グランドブレイク(攻撃), Swing.wav;飛びかかり -.wav;Shock(Low).wav;実弾発射 Bullet\EFFECT_GroundCutter(Orange)01.bmp 32 Shock(Low).wav
グランドブレイク(命中), 打撃 橙 Crash.wav
Ｆ・エクスプロージョン(攻撃), キャノン砲長距離;全拡散ビーム 橙 Acid.wav 相手ユニットＩＤ チャージなし
Ｆ・エクスプロージョン(命中), 拡散ビーム 橙
チャージショット(準備), 光噴出 白 Charge.wav;射撃武器 Weapon\EFFECT_SFLauncher01.bmp 40
チャージショット(攻撃), 手持ち発射 Weapon\EFFECT_SFLauncher01.bmp 40 対象ユニットＩＤ Fire\EFFECT_FlameThrowerHit(Orange)06.bmp 36 fire.wav
チャージショット(命中), 大爆発 橙
チャージブレイク(準備), 光噴出 白 Charge.wav
チャージブレイク(攻撃), 地面衝撃 橙 対象ユニットＩＤ
チャージブレイク(命中), 岩柱
チャージアッパー(準備), 光噴出 白 Charge.wav
チャージアッパー(攻撃), 振る武器突撃 -.bmp
チャージアッパー(命中), Reload.wav;2;背負い固め -.wav 1 遅;アッパー Crash.wav
メテオレイン(準備), 炎 黄 Charge(high).wav
メテオレイン(攻撃), ＭＡＰ火炎弾;ＭＡＰ炎
メテオレイン(命中), 炎
ヘルファイア(準備), 炎 橙 Charge(high).wav
ヘルファイア(攻撃), 魔法放射 橙 AntiShipMissile.wav
ヘルファイア(命中), @ＳＰアニメ_激闘 相手パイロット;@戦闘アニメ_火柱命中 -.wav
ブラストボム, キャノン砲長距離
ファイアショット, 火炎弾 橙
ヴァイタルバーナー, 火炎放射 橙
ファイアウェーブ(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Orange)01.bmp 48 Breath.wav 発光 残像
ファイアウェーブ(命中), 炎


妖将レヴィアタン
フロストジャベリン, 刺突武器 LightWeapon\EFFECT_LightSpear(Red)01.bmp 48
氷の輪(攻撃), 中心回転武器 LightWeapon\EFFECT_LightSpear(Red)01.bmp 48;拡散ビームランチャー 白 -.bmp 16 チャージなし
氷の輪(命中), 拡散ビーム 白
ホーミング弾, 小型ミサイル 3
マリンスノー(準備), 周囲回転 Ice\EFFECT_Blizzard(White)08.bmp Sharara.wav 2
マリンスノー(攻撃), 周囲回転 Ice\EFFECT_Blizzard(White)08.bmp Sharara.wav 2
マリンスノー(命中), 飛沫 白
ウォーターサークル(攻撃), 回転大炎斬撃 青
ウォーターサークル(命中), 泡球
Ｓ・Ｏ・ジ・オーシャン(準備), 炎 黄 Charge(high).wav
Ｓ・Ｏ・ジ・オーシャン(攻撃), 竜炎 青
Ｓ・Ｏ・ジ・オーシャン(命中), 竜炎 青 凍結
トルネードスピア(準備), 炎 青 Charge(high).wav
トルネードスピア(攻撃), 旋風 青;小型ミサイル 6
トルネードスピア(命中), 連続爆発;旋風 青;@戦闘アニメ_突く武器急降下攻撃 LightWeapon\EFFECT_LightSpear(Red)01.bmp;突く武器急降下 LightWeapon\EFFECT_LightSpear(Red)01.bmp;大氷柱 Freeze.wav
アイスアロー(攻撃), 氷弾;氷弾;氷弾
アイスアロー(命中), つらら
アイスレーザー(攻撃), 小ビーム 青
アイスレーザー(命中), 小ビーム 青;凍結
ヴォルテックスダッシュ, スーパータックル 青
アイスケイジ(攻撃), ホーミングレーザー 青
アイスケイジ(命中), ホーミングレーザー 青;ユニット変色 水色 Freeze.wav
クレイジーダンス(攻撃), ６ＷＡＹ射出;スーパーダイブ 青
クレイジーダンス(命中), スーパーダイブ 青;連続爆発;連続爆発


隠将ファントム
闇駆け, 突く武器突撃 Weapon\EFFECT_NinjaBlade01.bmp 32 斬撃
闇十文字(攻撃), 回転投擲武器 Weapon\EFFECT_BigShuriken01.bmp 32 発光 速
闇十文字(命中), 黒斬撃
鋼時雨(準備), クナイ 二刀流
鋼時雨(攻撃), 投擲武器 Weapon\EFFECT_Kunai01.bmp 32 速 残像;投擲武器 Weapon\EFFECT_Kunai01.bmp 32 速 残像 下投げ
鋼時雨(命中), 連突
螺旋凶車, スーパーキック 黒
朧舞・月無(準備), 炎 黄 Charge(high).wav
朧舞・月無(攻撃), フラッシュ 黒;@戦闘アニメ_テレポート発動 -.wav " ";透明化;投擲武器 Weapon\EFFECT_Kunai01.bmp 32 速;投擲武器 Weapon\EFFECT_Kunai01.bmp 32 速 下投げ
朧舞・月無(命中), クナイ;クナイ;@戦闘アニメ_テレポート発動 -.wav " "
当て身技(朧舞・空蝉), 分身 -.wav 別名=朧舞・空蝉
刃二重(命中), 忍者刀急降下
鋼吹雪(命中), 乱突
墨染九葉(攻撃), 実弾投下 Weapon\EFFECT_IronBall01.bmp 32 速
墨染九葉(命中), 大爆発
黄泉駆け(攻撃), 蹴り飛ばし武器 Weapon\EFFECT_IronBall01.bmp 32 遅 残像;スーパータックル 黒
黄泉駆け(命中), スーパータックル 黒;連続大爆発


クラフト(ＲＭＺ)
ニーボム, グレネード 3
Ｓマイン(攻撃), ソーサー;@戦闘アニメ_飛沫命中 白 Acid.wav
Ｓマイン(命中), ベアリング
ホーミングミサイル(準備), 射撃武器 Weapon\EFFECT_BusterBeamLauncher01.bmp 64
ホーミングミサイル(攻撃), 手持ち発射 Weapon\EFFECT_BusterBeamLauncher01.bmp 64 対象ユニットＩＤ Bullet\EFFECT_Missile01.bmp 32
ホーミングミサイル(命中), 爆発
ブレードダッシュ(準備), 射撃武器変形 Weapon\EFFECT_BusterBeamLauncher01.bmp 64 Weapon\EFFECT_Blade(T)01.bmp 48 
ブレードダッシュ(攻撃), 突く武器突撃 Weapon\EFFECT_Blade(T)01.bmp 48
ブレードダッシュ(命中), 超斬撃
ビームキャノン, ビームランチャー 青 Weapon\EFFECT_BusterBeamLauncher01.bmp 64
メガビームスウィープ, ＭＡＰビーム 青
エンドオブザ・ワールド(攻撃), 巨大ビーム 青;ＭＡＰミサイル
エンドオブザ・ワールド(命中), 連続大爆発;連続爆発

コピーエックス(ＲＭＺ)
スライディング, 格闘
エックスバスター, 光弾 青 速
ノヴァストライク, スーパーパンチ 黄
ファイアショット, 炎投射
アイスショット, 氷弾
エレキショット(攻撃), 回転発射 Common\EFFECT_LargeElectric(Blue)01.bmp 32 Thunder.wav 発光 遅
エレキショット(命中), 放電
チャージショット(準備), 粒子集中 青
チャージショット(攻撃), 実弾発射 Bullet\EFFECT_AuraBall(Blue)01.bmp 32 発光
チャージショット(命中), 強打 Crash.wav
リフレクトレーザー(準備), 粒子集中 黄
リフレクトレーザー(攻撃), 実弾発射 Common\EFFECT_LightningBall03.bmp 32 Beam.wav 発光 残像
リフレクトレーザー(命中), ダメージ 黄 Crash.wav
Ｒ・エクスチャージ, 光柱

コピーエックス第二形態(ＲＭＺ)
バインドリング(攻撃), 画像前面発射 Common\EFFECT_Circle(White)01.bmp Glass(2).wav 発光
バインドリング(命中), 飛沫 白
天帝レーザー, 拡散ビーム 黄
メギドフレイム(攻撃), 持続ビーム 白
メギドフレイム(命中), 火柱
ギガパニッシャー(攻撃), 音波;落盤 黄
ギガパニッシャー(命中), 乱打


エルピス(ＲＭＺ)
サーベルダッシュ, ビームサーベル突撃
ディストーションオーラ(準備), 魔法放射 紫
ディストーションオーラ(攻撃), 実弾発射 RMZ_PantheonHunterU.bmp 32 遅
ディストーションオーラ(攻撃), 回転発射 RMZ_SpikimgU.bmp 32 遅
ディストーションオーラ(命中), ダメージ
ダークドレイン, 吸収
スプラッシュレーザー, 拡散ビームライフル 紫 BeamWeapon\EFFECT_BeamSaberT(Pink)02.bmp 48 発光
グランドバースト(準備), 炎 紫 Charge(high).wav
グランドバースト(攻撃), @戦闘アニメ_光柱命中
グランドバースト(命中), 落盤
阻止(ガード), 切り払い

エルピス第二形態(ＲＭＺ)
もっと力を(攻撃), ２ＷＡＹ射出
もっと力を(命中), 交差ビーム 青 青
錆びて朽ちろ, 液体噴射 緑 発光
お別れです(攻撃), ８ＷＡＹ射出
お別れです(命中), オールレンジ


オメガ(ＲＭＺ)
オメガレーザー(準備), 魔法集中 緑
オメガレーザー(攻撃), 実弾発射 Effect\EFFECT_TelePort(Green)01.bmp 64 Beam.wav 速 発光 残像
オメガレーザー(命中), ダメージ 緑
フープショット(攻撃), ２ＷＡＹ射出
フープショット(命中), ホーミングレーザー 緑
ピアッシングソード, ロケットパンチ LightWeapon\EFFECT_LightSword(Pink)02.bmp 48

オメガ第二形態(ＲＭＺ)
バインディングボール(攻撃), 実弾発射 Effect\EFFECT_TelePort(Orange)01.bmp 80 MoveUp.wav 遅 発光
バインディングボール(命中), ユニット変色 橙 Inori.wav
スパークチェイサー(攻撃), 実弾発射 Common\EFFECT_LightBall01.bmp 32 BeamSaber.wav 遅 発光 残像
スパークチェイサー(命中), ダメージ 白
エクシードバスター(準備), 粒子集中 緑
エクシードバスター(攻撃), 回転発射 Common\EFFECT_LargeElectric(Green)01.bmp 64 Beam.wav 速 発光 残像
エクシードバスター(命中), 飛沫 緑
エクシードバスターネオ(準備), 粒子集中 白
エクシードバスターネオ, ＭＡＰビーム 白
トリプルレーザー, ニードルレーザー連射 橙

オリジナルゼロ(ＲＭＺ)
アークブレード(攻撃), スピン拡散 紫 発光
アークブレード(命中), 拡散ビーム 紫
アルティメットセイバー(準備), エナジーブレード 紫
アルティメットセイバー(攻撃), 斬撃
アルティメットセイバー(命中), 光斬撃 紫 中
アルティメットセイバー(クリティカル), @戦闘アニメ_斬撃乱舞攻撃;@戦闘アニメ_光斬撃乱舞命中 紫 中;デフォルト
滅閃光(攻撃), 地面衝撃 対象ユニットＩＤ;全拡散ビーム 白 LaserGun.wav チャージなし
滅閃光(命中), 拡散ビーム 白
龍炎刃(攻撃), アッパー
龍炎刃(命中), 振り上げ大斬撃 紫
裂光覇(攻撃), 大光柱 対象ユニットＩＤ
裂光覇(命中), 飛沫 白
ダブルチャージウェーブ(準備), 粒子集中 白;光弾銃
ダブルチャージウェーブ(攻撃), 手持ち発射 Weapon\EFFECT_LightBulletGun01.bmp 32 対象ユニットＩＤ Bullet\EFFECT_AuraBall(White)01.bmp 32 発光;手持ち発射 Weapon\EFFECT_LightBulletGun01.bmp 32 対象ユニットＩＤ Bullet\EFFECT_AuraBall(White)01.bmp 32 発光;斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 32 Whiz.wav 速
ダブルチャージウェーブ(命中), 強打 Crash.wav;強打 Crash.wav;飛沫 青
チャージセイバー(準備), オーラ上昇 白;エナジーブレード 紫
チャージセイバー(攻撃), 斬撃
チャージセイバー(命中), 連続描画 Light\EFFECT_LightGeyser(Purple)[01-03].bmp 136 1 1 下辺 Inori.wav 相手ユニットＩＤ;1;落盤


ベビーエルフ(ＲＭＺ)
Ｗダンス, 飛びかかり
ループショット, 光球 水色
シャイニングヴェール, 光投射 橙
ダブルタイフーン, 同時タックル
エルブズスパーク(攻撃), 同時スーパータックル 橙;@戦闘アニメ_光球放出命中
エルブズスパーク(命中), 飛沫 橙
スインギングスパークル, 同時スーパータックル 橙
ティアドロップ, 同時必殺光線 中


バイル(ＲＭＺ)
エナジーリカバリー, 吸収
アシッドレイン, 液体噴射 紫
メテオイリュージョン, 落盤 白
エネミーインフェルノ(準備), 粒子集中 白
エネミーインフェルノ(攻撃), 実弾発射 RMZ_BlazingFlizardU.bmp 32 遅;実弾発射 Unit\RMZ3_ChilldreInarabitta.bmp 32 遅;実弾発射 RMZ_HellbatSiltU.bmp 32 遅;実弾発射 RMZ_DeathtantsMantiskU.bmp 32 遅
エネミーインフェルノ(攻撃), 実弾発射 RMZ_KyubitFoxtarU.bmp 32 遅;実弾発射 Unit\RMZ3_GlacierLeCactank.bmp 32 遅;実弾発射 RMZ_VolteelBiblioU.bmp 32 遅;実弾発射 Unit\RMZ3_TretestaKerberian.bmp 32 遅
エネミーインフェルノ(命中), ダメージ 連続
デスピアス, 連投剣
デススパーク, ２連ショックビーム 桃
デスプリズム(準備), 召喚 Ice\EFFECT_FallingIceRock01.bmp 48
デスプリズム(攻撃), ベアリング Freeze.wav
デスプリズム(命中), ベアリング

バイル第二形態(ＲＭＺ)
シールド防御(外殻), 外殻防御 橙
捕獲ネット, ネット
角, 岩弾
アシッドレイン, 液体噴射 紫
ボンセクト召喚(準備), 魔法集中 緑
ボンセクト召喚(攻撃), 実弾発射 RMZ4_BonsectU.bmp 32 遅;実弾発射 RMZ4_BonsectU.bmp 32 遅
ボンセクト召喚(命中), 連続爆発
レーザー, 超ビーム 黄
分裂弾(準備), 粒子集中 赤
分裂弾, 大拡散ビーム 赤
拡散弾(準備), 粒子集中 青
拡散弾(攻撃), 光子魚雷 青;ＭＡＰビーム 青 チャージなし
拡散弾(命中), 拡散ビーム 青


ロックマンゼロ
#-----ミュートスレプリロイド-----
吸い寄せ(攻撃), 放電 対象ユニットＩＤ
吸い寄せ(命中), 放電
ダッシュ, スーパータックル 桃
アロー(攻撃), 実弾発射 LightWeapon\EFFECT_LightArrow(Blue)01.bmp 32 Beam.wav
アロー(命中), ダメージ 青
トリプルアロー(攻撃), 実弾発射 LightWeapon\EFFECT_LightArrow(Blue)04.bmp 32 Beam.wav
トリプルアロー(命中), ダメージ 青
ライトニングフォール(攻撃), ジャンプ;地表衝撃波 青 速 Thunder.wav
ライトニングフォール(命中), 放電
死人還し(準備), 召喚 RMZ_PantheonZombieU.bmp 32
死人還し(攻撃), 実弾発射 RMZ_PantheonZombieU.bmp 32 遅
死人還し(命中), ダメージ
スピニングケイン, 回転投擲武器 Weapon\EFFECT_MagicRod03.bmp 32 遅
砂柱攻撃, 石柱
デッドケイン, 回転投擲武器 Weapon\EFFECT_MagicRod03.bmp 32
サンドジャグリング(攻撃), フラッシュ 黄
サンドジャグリング(命中), ダメージ
コフィンプレス(準備), 召喚 DGoods\EFFECT_Coffin01.bmp 32
コフィンプレス(攻撃), 実弾発射 DGoods\EFFECT_Coffin01.bmp 32 遅
コフィンプレス(命中), ダメージ
スピンクローラー, 回転投擲武器 Weapon\EFFECT_MagicRod03.bmp 32 速
タスクブーメラン, 回転発射 Bullet\EFFECT_ShootingCutter(White)01.bmp 32
張り手, 打突
ローリングアタック, ＭＡＰ移動タックル 青
ぶら下がり攻撃, 踏み潰し
ブリザード, ＭＡＰ吹雪
角ミサイル, 氷弾
フローズンボム(攻撃), 気弾
フローズンボム(命中), 煙;氷柱
踏みつけ, 飛びかかり
ダブルブリザード, ＭＡＰ氷弾
ツインフローズンボム(攻撃), 連気弾
ツインフローズンボム(命中), 煙;氷柱
テイルファイア(準備), 周囲回転 Fire\EFFECT_Fire(Red)04.bmp Fire.wav 1
テイルファイア(攻撃), 炎投射
テイルファイア(命中), 炎
突進, 格闘
ミニハヌズ(攻撃), 煙 対象ユニットＩＤ;実弾発射 Unit\RMZ_Hanumachine.bmp 16;実弾発射 Unit\RMZ_Hanumachine.bmp 16;実弾発射 Unit\RMZ_Hanumachine.bmp 16
ミニハヌズ(命中), ダメージ 連続
ファイアバウンド, スーパータックル 橙
旋棍猿舞(準備), @戦闘アニメ_ロックオン攻撃
旋棍猿舞(攻撃), 大斬撃
旋棍猿舞(命中), 唐竹割り
墜裂棍, ロッド急降下
焔昇猿舞, 回転大炎斬撃 赤
回転攻撃, スピンアタック 桃
ジャンプ斬り(攻撃), 飛びかかり
ジャンプ斬り(命中), 斬撃
ヘルジャグラー, 回転投擲武器 Weapon\EFFECT_Scimitar01.bmp 32
オールレンジアタック, ４ＷＡＹ射出
ビートタックル, スーパータックル 桃
ビートアンカー(Ｈ)(攻撃), 触手 緑;スーパータックル 桃
ビートアンカー(Ｈ)(命中), スーパータックル 桃
ビートプラズマ(攻撃), 回転発射 Common\EFFECT_LargeElectric(Green)01.bmp 32 Thunder.wav 発光 遅
ビートプラズマ(命中), 放電
ダブルサイクロン(準備), 同時粒子集中 黄
ダブルサイクロン(攻撃), ＭＡＰ球電
ダブルサイクロン(命中), 放電
ダブルダッシュ, 同時スーパータックル 桃
サイクロン, 旋風
マンディブルクラッチ(攻撃), 振る武器突撃 -.bmp
マンディブルクラッチ(命中), 立ち固め
ビートアンカー(Ｋ), ４ＷＡＹ射出
スピニングブレード, ＭＡＰ移動タックル 黄
スプラッシュハリケーン, スピン拡散 青
バウンド攻撃, 急降下
ツイスターホールド(攻撃), 振る武器突撃 -.bmp
ツイスターホールド(命中), 立ち固め
ナイトメアブロー, 打突
スプラッシュボム(攻撃), スピン拡散 青
スプラッシュボム(命中), 連続爆発;連続爆発
アイスドロップ, 急降下
ボディハーデニング(攻撃), 振動
ボディハーデニング(命中), @戦闘アニメ_落盤攻撃
ポイズンホールド, 触手 紫
スーパールーパー(攻撃), 回転発射 DGoods\EFFECT_Hoop01.bmp 24 遅 残像
スーパールーパー(命中), 爆発
アサルトバイパー, タックル
シグナルショット(攻撃), 実弾発射 Common\EFFECT_LargeElectric(Purple)01.bmp 32 Beam.wav 発光
シグナルショット(命中), だめーじ 紫
アームウィップ, 触手 紫
ジョイントレーザー, ２連小ビーム 紫
プッシングアイス(準備), しもべ Ice\EFFECT_FallingIceRock01.bmp 48
プッシングアイス(攻撃), 実弾発射 Ice\EFFECT_FallingIceRock01.bmp 48
プッシングアイス(命中), 飛沫 青
クラッキングアイス(攻撃), 投擲武器 Common\EFFECT_IceBurg01.bmp 32
クラッキングアイス(命中), 飛沫 青
ウォールクラッシュ(準備), しもべ Ice\EFFECT_FallingIceRock01.bmp 48
ウォールクラッシュ(攻撃), ベアリング Freeze.wav
ウォールクラッシュ(命中), ベアリング
ラッシングクロウ, 爪撃 連続
緊急テレポート(分身), 分身 -.wav 別名=分身
ヒノトリ, スーパータックル 橙
ファイアアロー, ミサイル 5
幻影(攻撃), ユニット変色 水色;分身打撃
幻影(命中), 分身打撃
噴火, 火柱
ライジングフレイム, スーパータックル乱舞 橙
ブーメランクロウ(攻撃), 斬撃;回転発射 Bullet\EFFECT_ShootingCutter(pink)01.bmp 32
ブーメランクロウ(命中), ダメージ
クロウショット(攻撃), 気斬 緑 遅 残像
クロウショット(命中), 光連続なぎ払い 緑
スパークボール(攻撃), 投擲武器 Common\EFFECT_LightningBall03.bmp 32 発光 速 BeamSaber.wav;投擲武器 Common\EFFECT_LightningBall03.bmp 32 発光 速 BeamSaber.wav 下投げ
スパークボール(命中), 放電
ジャンプキック, スーパーキック
テイルスパーク, ＭＡＰ放電
エナジータング, 舌
スプリングキック(攻撃), 実弾発射 Hand\EFFECT_ShiningHand(Green)01.bmp 32 Whiz.wav 遅 有線
スプリングキック(命中), 打撃
キャタプル捕食, @戦闘アニメ_舌攻撃;@戦闘アニメ_振る武器変形準備 -.bmp 32 Unit\RMZ2_BurbleHekelot.bmp 64 Bazooka.wav
バブルブレス, 泡球
ベイビーミサイル, 小型ミサイル 6
スピンプレッシャー, ＭＡＰ移動タックル 緑
シールド防御(テイルウィップ), シールド防御 Weapon\EFFECT_Sansetsukon01.bmp 32 別名=テイルウィップ
テイルウィップ(殴打), 殴打武器 Weapon\EFFECT_Sansetsukon01.bmp 32
テイルフレイム, 炎長距離
チェインバーナー, ＭＡＰ炎
フリルブーメラン, 回転投擲武器 Bullet\EFFECT_BeamRingCutter(Red)01.bmp 32
ファイアスプリンクラー, ＭＡＰ火炎弾
ガイデッドミサイル, 小型ミサイル 4
スプリットマイン(攻撃), ソーサー
スプリットマイン(命中), 爆発
スクリューアイス, スピンジャンプアタック 青
イヤーショット, シュートカッター 青
スーパーイヤーショット(攻撃), 実弾発射 Wind\EFFECT_WindCutter(Blue)01.bmp 64
スーパーイヤーショット(命中), 光なぎ払い 青 大
シールド防御(ウイングバインダー), コウモリの翼
バットシャワー, 蝙蝠;蝙蝠;蝙蝠
エコーウェーブ, 音波
サンダーリバーブ(攻撃), 実弾発射 Common\EFFECT_LargeElectric(Blue)01.bmp 32 Beam.wav 発光
サンダーリバーブ(命中), 放電
レーザークリーパー(攻撃), 持続ビーム 青
レーザークリーパー(命中), 放電
ギロチンドロップ, 大斬撃
ダンシングサイズ(攻撃), 回転投擲武器 Bullet\EFFECT_BeamRingCutter(Green)01.bmp 32
ダンシングサイズ(命中), 光斬撃 緑 大
ロックブレイカー(準備), しもべ Rock\EFFECT_LargeRock01.bmp 48
ロックブレイカー(攻撃), ベアリング Slash(4).wav
ロックブレイカー(命中), ベアリング
レイザーアーム, ロケットパンチ Weapon\EFFECT_LongArcBlade(T)01.bmp 48
鬼火連弾, ８ＷＡＹ射出
炎ワープ(攻撃), 透明化;ＭＡＰ炎;透明化 解除
炎ワープ(命中), 炎
火焔車(準備), 周囲回転 Fire\EFFECT_Fire(Red)04.bmp Fire.wav 3
火焔車(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)04.bmp Fire.wav 3
火焔車(命中), 炎
火雨, ＭＡＰ炎
カクタスプレス, 踏み潰し
アイスレイン, つらら
アイスカーニバル(攻撃), 回転斬撃;ＭＡＰ氷弾
アイスカーニバル(命中), 飛沫 青
ハンマーパンチ, 鎖鉄球
スパークチェイサー(攻撃), 回転発射 Common\EFFECT_LargeElectric(Blue)01.bmp 32 Thunder.wav 発光 遅
スパークチェイサー(命中), 放電
ワイヤーショット, 触手 青
エレクトリックケージ, ＭＡＰ放電
Ｖレーザー, ２連小ビーム 黄
メガストンピング, 踏み潰し
ブレスガス(攻撃), 回転発射 Common\EFFECT_LargeElectric(Blue)01.bmp 32 -.wav 遅
ブレスガス(命中), ダメージ 紫
ヘルバウンサーズ, 狼;狼
鉄パイプ投げ(準備), 回転投擲武器変形 DGoods\EFFECT_ElectricPole01.bmp 36 Weapon\EFFECT_Boomerang01.bmp 40
鉄パイプ投げ(攻撃), 回転投擲武器 Weapon\EFFECT_Boomerang01.bmp 40 遅
鉄パイプ投げ(命中), ダメージ
コンテナ投げ, 投擲武器 DGoods\EFFECT_Brick01.bmp 64
レーザークロウ, エナジーカッター突撃 紫
パニッシュメントフォーム, エネルギーフィールド展開
ライジングマイン(攻撃), ソーサー
ライジングマイン(命中), 火柱
フレイムファン, スーパーブーメラン 赤
