
ボクサー
ジャブ, 連打
スペクトル・エコー(命中), 吹雪 BeamCoat.wav
エルボー・ブレイク(命中), ダメージ Shock(Low).wav
ブローイング・シャワー, 急降下
ライトニング・プラズマ(攻撃), 中ビーム 黄 Bazooka.wav
ライトニング・プラズマ(命中), 中ビーム 黄 Thunder.wav
アナザー・ワールド(命中), @戦闘アニメ_ＭＡＰダークネス攻撃 Interference.wav
Ｃ・メイルストローム(攻撃), 旋風 対象ユニットＩＤ
Ｃ・メイルストローム(命中), 落下 Crash.wav
ゴッド・イリュージョン(攻撃), Charge(long).wav
ゴッド・イリュージョン(命中), 大爆発;落下 -.wav
阿修羅拳術, 打突
阿修羅・破邀撃(攻撃), スーパーパンチ 黒
阿修羅・破邀撃(命中), スーパーパンチ 黒 Crash.wav
分身(残像), 分身 - 残像
阿修羅・聖帝陣(攻撃), 分身打撃
阿修羅・聖帝陣(命中), 分身打撃
阿修羅・流水覇(攻撃), アッパー Splash.wav
阿修羅・流水覇(命中), 落下 Crash.wav
阿修羅・魄撃衝(攻撃), 打突
阿修羅・魄撃衝(命中), 強打 Shock(Low).wav
阿修羅・鬼門拳(攻撃), なぎ払い
阿修羅・鬼門拳(命中), 落下 Crash.wav
阿修羅・垂剛拳(攻撃), 急降下
阿修羅・垂剛拳(命中), 急降下 Shock(Low).wav
阿修羅・獅子拳陣(攻撃), Bazooka.wav
阿修羅・獅子拳陣(命中), 超打 Crash.wav
阿修羅・夢幻衝(攻撃), 乱打
阿修羅・夢幻衝(命中), 強打 Shock(Low).wav
鋼拳(攻撃), 打突
鋼拳(命中), 超打 Crash.wav
阿修羅・総拳陣(攻撃), Whiz.wav
阿修羅・総拳陣(命中), 強打 Crash.wav
ネオ・バイブル(攻撃), 光噴出 白 対象ユニットＩＤ
ネオ・バイブル(命中), 落下 Crash.wav
