ＳＯ２
フェイズガン, BeamShot.wav 
ディメンジョンウィップ(命中), 3;Whip.wav;2;Whip.wav
ソニックウィップ, Whip.wav
ソニックウィップ(命中), 3;Saber.wav;2;Saber.wav;2;Saber.wav
スパイラルウィップ, Wind.wav
スパイラルウィップ(命中), 3;Saber.wav;2;Saber.wav;2;Storm.wav
ブロークンハート, Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav
ブロークンハート(命中), 3;Whip.wav;2;Whip.wav;2;Whip.wav;
ファイアボルト, Cannon.wav
エクスプロード(命中), Explode(Far).wav
エナジーアロー, Charge.wav
エナジーアロー(命中), 2;Slash.wav;3;Slash.wav;3;Slash.wav
レイ(命中), 2;BeamCoat.wav
イラプション, Breath.wav
イラプション(命中), Fire.wav
ウインドブレイド, Wind.wav
メテオスウォーム(命中), 3;Bomb(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
フレイムスロアー, AntiShipMissile.wav
昇竜(命中), Combo.wav
チアーガス, Breath.wav
バーニングカーズ, Swing.wav
バーニングカーズ(命中), Saber.wav
旋風, Combo.wav
プレパレーション(命中), 3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
アースグレイブ, Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav
アースグレイブ(命中), 2;Slash.wav;3;Slash.wav
グレイブ(命中), 2;Slash.wav;3;Slash.wav
マグナムトルネード, Storm.wav
フェーン, Storm.wav
テタナスウィンド, Storm.wav
アースクエイク, Bazooka.wav
アースクエイク(命中), 3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav;3;Crash.wav
ヒール, Sharara.wav
キュアライト, Sharara.wav
キュアオール, Sharara.wav
フェアリーヒール, Sharara.wav
フェアリーライト, Sharara.wav
ソニックセイバー, Saber.wav
ロケットぱーんち, Cannon.wav
モール, Drill.wav 
ブラッディマリー(命中), Drill.wav 
ぽかぽかアタック(命中), Combo.wav
パラボラビーム, LaserGun.wav
朱雀双爪撃, AntiShipMissile.wav
死方陣, Fold.wav
死方陣(命中), Combo.wav
桜花連撃(命中), Combo.wav
旋風掌, Storm.wav
炸裂掌(命中), Crash.wav
毒気弾(命中), Bomb(Small).wav
気功撃, Cannon.wav
紋章学大辞典, Swing.wav
ブラックセイバー(命中), Saber.wav
アシッドレイン, Shower.wav
シャドウボルト(命中), Snap(E).wav;3;Snap(E).wav;3;Snap(E).wav
グレムリンレアー(命中), 2;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav
ノア(命中), Splash.wav
ディープフリーズ(命中), 3;EvilEye.wav
ディープフリーズ(クリティカル), 3;EvilEye.wav;3;EvilEye.wav
アイスニードル, EvilEye.wav
デモンズゲート, 8;Charge.wav;3;Shock(Low).wav;4;Shock(Low).wav
デモンズゲート(命中), 5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav


十賢者
ノア(命中), Splash.wav
デモンズゲート, 8;Charge.wav;3;Shock(Low).wav;4;Shock(Low).wav
デモンズゲート(命中), 5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav
スピキュール(命中), Explode.wav
マインドブラスト, Breath.wav
マインドブラスト(命中), Explode.wav
亡びの風, Storm.wav
エクスプロード(命中), Explode(Far).wav
神曲(命中), Explode.wav



